session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,278,4.29018,0.218681,7,0
2,277,4.09382,0.190975,6,0
3,218,4.17927,0.197947,6,0
4,276,4.13091,0.191461,6,0
5,315,4.42533,0.213482,7,0
6,216,4.29127,0.216083,7,0
7,216,4.26787,0.184465,6,0
8,233,4.13382,0.189127,6,0
9,257,4.09673,0.188621,6,0
10,243,3.94691,0.154782,5,0
11,255,4.28909,0.22128,7,0
12,292,4.09382,0.190975,6,0
13,232,4.23369,0.18166,6,0
14,333,4.09382,0.190975,6,0
15,229,4.54205,0.239859,8,0
16,218,4.28909,0.22128,7,0
17,194,4.42642,0.210965,7,0
18,238,4.21284,0.147083,5,0
19,218,3.94218,0.156812,5,0
20,250,4.13091,0.191461,6,0
21,259,4.44655,0.246156,8,0
22,276,4.13673,0.186797,6,0
23,276,4.38642,0.212889,7,0
24,177,4.36775,0.177333,6,0
25,227,4.47987,0.223058,7,0
26,257,3.77455,0.125723,4,0
27,265,4.20811,0.148976,5,1
28,219,4.23078,0.183933,6,0
29,212,4.38473,0.226406,7,0
30,295,3.93745,0.158847,5,0
31,307,4.01745,0.155684,5,1
32,224,4.09673,0.188621,6,0
33,188,4.23369,0.18166,6,0
34,272,4.09382,0.190975,6,0
35,189,4.36775,0.177333,6,0
36,244,4.22315,0.166356,5,0
37,275,4.29018,0.218681,7,0
38,276,4.38642,0.212889,7,0
39,251,4.21927,0.19607,6,0
40,269,4.25018,0.220739,7,0
41,320,4.29018,0.218681,7,0
42,229,4.13382,0.189127,6,0
43,183,4.29127,0.216083,7,0
44,205,4.21927,0.19607,6,0
45,276,4.09382,0.190975,6,0
46,241,3.93745,0.158847,5,0
47,219,4.25018,0.220739,7,0
48,242,4.07042,0.154731,5,0
49,226,4.09673,0.188621,6,0
50,254,4.21927,0.19607,6,0
51,215,4.38642,0.212889,7,0
52,252,4.38642,0.212889,7,0
53,218,4.09673,0.188621,6,0
54,229,4.23078,0.183933,6,0
55,279,4.18218,0.195635,6,0
56,231,4.13091,0.191461,6,0
57,228,4.29018,0.218681,7,0
58,213,4.09673,0.188621,6,0
59,281,4.28909,0.22128,7,0
60,187,4.36775,0.177333,6,0
61,298,4.38642,0.212889,7,0
62,248,4.29018,0.218681,7,0
63,190,4.18218,0.195635,6,0
64,265,4.38642,0.212889,7,0
65,212,4.01855,0.162881,5,0
66,267,4.29018,0.218681,7,0
67,210,4.43927,0.235911,7,0
68,221,4.38642,0.212889,7,0
69,210,4.29018,0.218681,7,0
70,232,4.09382,0.190975,6,0
71,198,4.45029,0.1863,6,0
72,236,4.34473,0.22849,7,0
73,215,4.31624,0.190823,6,0
74,229,4.26787,0.184465,6,0
75,290,4.26787,0.184465,6,0
76,260,4.17091,0.189625,6,0
77,241,4.13091,0.191461,6,0
78,198,3.94691,0.154782,5,0
79,211,4.36775,0.177333,6,0
80,272,4.09382,0.190975,6,0
81,246,4.23078,0.183933,6,0
82,210,4.27078,0.182211,6,0
83,267,4.22787,0.18621,6,0
84,218,4.09382,0.190975,6,0
85,257,4.09673,0.188621,6,0
86,194,4.48096,0.220569,7,0
87,303,4.13091,0.191461,6,0
88,292,3.93745,0.158847,5,0
89,234,4.25018,0.220739,7,0
90,218,4.09673,0.188621,6,0
91,254,4.13382,0.189127,6,0
92,350,4.20811,0.148976,5,0
93,262,4.42642,0.210965,7,0
94,219,3.94691,0.154782,5,0
95,241,4.09673,0.188621,6,0
96,192,4.27078,0.182211,6,0
97,220,4.29018,0.218681,7,0
98,324,4.29018,0.218681,7,0
99,244,4.42533,0.213482,7,0
100,225,4.29018,0.218681,7,0
101,268,4.24811,0.147574,5,0
102,228,4.29018,0.218681,7,0
103,238,4.48096,0.220569,7,0
104,291,4.25018,0.220739,7,0
105,230,4.38642,0.212889,7,0
106,199,4.07987,0.150807,5,0
107,208,4.38642,0.212889,7,0
108,237,4.22787,0.18621,6,0
109,207,4.23369,0.18166,6,0
110,224,3.94691,0.154782,5,0
111,263,4.13673,0.186797,6,0
112,246,4.17636,0.200261,6,0
113,217,4.34473,0.22849,7,0
114,247,4.31624,0.190823,6,0
115,228,4.13091,0.191461,6,0
116,270,4.23078,0.183933,6,0
117,188,4.07987,0.150807,5,0
118,203,3.79418,0.120759,4,0
119,251,4.38642,0.212889,7,0
120,204,4.35333,0.191285,6,0
121,190,4.23369,0.18166,6,0
122,240,4.29018,0.218681,7,0
123,284,4.09964,0.186269,6,0
124,250,4.54205,0.239859,8,0
125,298,4.17636,0.200261,6,0
126,224,4.23369,0.18166,6,0
127,239,4.27078,0.182211,6,0
128,193,3.98218,0.155237,5,0
129,209,4.29018,0.218681,7,0
130,248,4.34473,0.22849,7,0
131,212,4.34473,0.22849,7,0
132,276,4.07042,0.154731,5,0
133,220,4.13382,0.189127,6,0
134,242,3.93745,0.158847,5,0
135,213,4.25236,0.215495,7,0
136,250,4.09382,0.190975,6,0
137,258,4.17636,0.200261,6,0
138,222,4.22787,0.18621,6,0
139,202,4.17382,0.187315,6,0
140,248,3.79418,0.120759,4,0
141,236,3.94218,0.156812,5,0
142,226,4.09382,0.190975,6,0
143,228,4.31624,0.190823,6,0
144,251,4.38642,0.212889,7,0
145,210,4.22787,0.18621,6,0
146,227,4.23078,0.183933,6,0
147,231,4.17382,0.187315,6,0
148,215,4.25018,0.220739,7,0
149,204,4.13382,0.189127,6,0
150,243,4.26473,0.204638,6,0
151,237,4.09673,0.188621,6,1
152,205,4.68642,0.248765,8,0
153,237,4.09673,0.188621,6,1
154,234,4.13673,0.186797,6,0
155,246,4.09382,0.190975,6,0
156,231,3.94218,0.156812,5,0
157,186,4.28447,0.154808,5,0
158,222,4.54205,0.239859,8,0
159,219,4.25018,0.220739,7,0
160,284,4.09382,0.190975,6,0
161,209,4.18218,0.195635,6,0
162,219,4.13673,0.186797,6,0
163,340,4.29018,0.218681,7,0
164,199,4.42533,0.213482,7,0
165,200,3.94691,0.154782,5,0
166,239,4.44655,0.246156,8,0
167,257,4.26182,0.206911,6,0
168,218,3.79418,0.120759,4,0
169,221,4.38473,0.226406,7,0
170,212,3.79418,0.120759,4,0
171,221,3.94218,0.156812,5,0
172,293,4.42642,0.210965,7,0
173,217,3.94691,0.154782,5,0
174,307,3.93745,0.158847,5,0
175,203,4.42642,0.210965,7,0
176,236,4.21927,0.19607,6,0
177,192,4.26473,0.204638,6,0
178,210,4.07987,0.150807,5,0
179,262,3.94218,0.156812,5,0
180,272,4.07987,0.150807,5,0
181,233,4.21284,0.147083,5,0
182,250,4.13382,0.189127,6,0
183,220,4.09673,0.188621,6,0
184,243,3.94218,0.156812,5,1
185,225,4.09673,0.188621,6,0
186,214,4.09382,0.190975,6,0
187,229,4.38364,0.228951,7,0
188,225,3.93745,0.158847,5,0
189,190,4.38751,0.210349,7,0
190,252,4.58205,0.237766,8,0
191,246,4.23078,0.183933,6,0
192,290,4.44582,0.243334,8,0
193,185,4.13673,0.186797,6,0
194,235,4.36484,0.179534,6,0
195,210,4.55091,0.257291,8,0
196,275,3.97273,0.159268,5,0
197,245,3.93273,0.160888,5,0
198,211,4.38364,0.228951,7,0
199,218,4.09382,0.190975,6,0
200,311,3.93745,0.158847,5,0
201,249,4.55091,0.257291,8,0
202,220,3.93273,0.160888,5,0
203,194,4.31624,0.190823,6,0
204,245,4.38364,0.228951,7,0
205,235,4.09382,0.190975,6,0
206,216,4.34473,0.22849,7,0
207,237,4.09382,0.190975,6,0
208,233,4.25636,0.196497,6,0
209,260,3.93745,0.158847,5,0
210,231,4.23369,0.18166,6,0
211,240,4.13382,0.189127,6,0
212,286,4.26182,0.206911,6,0
213,265,4.22787,0.18621,6,0
214,294,3.93745,0.158847,5,0
215,243,4.22787,0.18621,6,0
216,223,4.23078,0.183933,6,0
217,239,4.26787,0.184465,6,0
218,287,3.94218,0.156812,5,0
219,297,4.25018,0.220739,7,0
220,240,4.01855,0.162881,5,0
221,266,4.54205,0.239859,8,0
222,197,4.01855,0.162881,5,0
223,222,3.77455,0.125723,4,0
224,211,4.29018,0.218681,7,0
225,268,4.23078,0.183933,6,0
226,230,4.38473,0.226406,7,0
227,197,4.35333,0.191285,6,0
228,225,4.09673,0.188621,6,0
229,233,4.52265,0.205511,7,0
230,229,4.31624,0.190823,6,0
231,222,4.5018,0.173264,6,0
232,202,4.30182,0.204987,6,0
233,253,4.57442,0.230372,7,0
234,200,4.48096,0.220569,7,0
235,232,4.29018,0.218681,7,0
236,231,4.51987,0.221084,7,0
237,212,4.44655,0.246156,8,0
238,192,4.23369,0.18166,6,0
239,228,4.38642,0.212889,7,0
240,267,3.79418,0.120759,4,0
241,214,4.17091,0.189625,6,0
242,264,4.47987,0.223058,7,0
243,245,4.09673,0.188621,6,0
244,227,3.94218,0.156812,5,0
245,260,4.09382,0.190975,6,0
246,280,4.07042,0.154731,5,0
247,219,4.42642,0.210965,7,0
248,207,4.09673,0.188621,6,0
249,219,4.07987,0.150807,5,0
250,240,4.22787,0.18621,6,0
251,221,3.97273,0.159268,5,0
252,225,4.09382,0.190975,6,0
253,225,4.38642,0.212889,7,0
254,231,4.01745,0.155684,5,0
255,245,4.38642,0.212889,7,0
256,274,4.34473,0.22849,7,0
257,248,4.38642,0.212889,7,0
258,238,4.54205,0.239859,8,0
259,226,3.79418,0.120759,4,0
260,244,4.07042,0.154731,5,0
261,245,4.34473,0.22849,7,0
262,204,4.58205,0.237766,8,0
263,247,4.38642,0.212889,7,0
264,202,3.98218,0.155237,5,0
265,217,4.54205,0.239859,8,0
266,243,4.55091,0.257291,8,0
267,195,4.38751,0.210349,7,0
268,255,4.34473,0.22849,7,0
