session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,3.323,0.0548902,4,2
2,229,3.806,0.0695744,4,1
3,227,4.776,0.0912898,4,2
4,224,4.864,0.0888158,4,3
5,186,4.992,0.0921474,4,0
6,227,4.363,0.0738941,4,1
7,267,4.59,0.0759913,4,0
8,236,3.97727,0.0441174,3,0
9,213,3.76,0.0638298,4,1
10,217,5.35,0.0913645,4,0
11,245,4.024,0.0805169,4,1
12,186,4.747,0.085612,4,0
13,207,4.846,0.0835328,4,1
14,232,4.456,0.0834829,4,1
15,216,3.587,0.0653471,4,1
16,221,4.768,0.0855705,4,1
17,238,5.158,0.087786,4,2
18,269,4.648,0.0877797,4,1
19,204,4.232,0.0831758,4,0
20,214,3.323,0.0548902,4,1
21,205,3.678,0.0643828,4,0
22,210,3.802,0.0728038,4,2
23,222,3.368,0.0700713,4,0
24,174,4.424,0.0831826,4,1
25,230,4.64,0.0818966,4,1
26,192,4.328,0.0794824,4,0
27,200,4.651,0.084799,4,1
28,199,5.044,0.0959556,4,0
29,202,3.448,0.0684455,4,1
30,221,4.52,0.0867257,4,1
31,207,4.555,0.0813172,4,2
32,203,3.738,0.0686998,4,3
33,189,4.995,0.086967,4,1
34,224,3.811,0.0751509,4,3
35,220,4.272,0.082397,4,0
36,210,3.48,0.0724138,4,1
37,198,3.995,0.0736921,4,0
38,212,4.992,0.0921474,4,1
39,206,3.48,0.0689655,4,1
40,203,4.608,0.0885417,4,0
41,201,5.158,0.087786,4,1
42,262,5.664,0.0846045,4,2
43,243,3.184,0.0577889,4,3
44,186,5.222,0.0882421,4,1
45,223,5.478,0.094341,4,0
46,215,4.292,0.0866729,4,1
47,203,4.163,0.0774442,4,0
48,186,4.896,0.0890523,4,1
49,197,3.352,0.0632458,4,1
50,198,3.448,0.0684455,4,1
51,209,3.272,0.0647922,4,1
52,223,4.284,0.0802988,4,0
53,198,3.579,0.0666108,4,1
54,197,4.648,0.0877797,4,0
55,239,3.59,0.0581616,4,2
56,224,3.312,0.0640097,4,1
57,202,4.371,0.0801647,4,1
58,230,4.704,0.085034,4,1
