session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,2.87431,0.171768,4,34
2,178,1.984,0.15121,4,41
3,176,1.77771,0.0932176,3,16
4,187,1.664,0.0480769,2,11
5,172,2.97149,0.164997,4,3
6,187,1.72571,0.0496689,2,34
7,176,1.77771,0.0932176,3,13
8,220,1.56571,0.0419708,2,10
9,189,3,0.24,5,23
10,221,1.44,0,1,2
11,190,1.82057,0.136535,4,17
12,181,1.60571,0.0409253,2,11
13,232,1.81714,0.141509,4,52
14,219,1.72571,0.0496689,2,36
15,267,1.63771,0.076762,3,49
16,196,1.99431,0.127219,4,10
17,170,2.61714,0.167031,4,20
18,199,2.61143,0.126915,3,20
19,188,2.80806,0.1164,3,2
20,223,1.72571,0.0496689,2,31
21,197,2.33143,0.107843,3,18
22,198,1.64571,0.0520833,2,6
23,191,3.03889,0.216621,5,3
24,238,2.61714,0.167031,4,43
25,191,1.63771,0.076762,3,37
26,187,2.61143,0.126915,3,18
27,253,1.44,0,1,32
28,193,1.44,0,1,1
29,188,2.06743,0.169983,4,57
30,181,1.664,0.0480769,2,49
31,169,2.02343,0.17368,4,11
32,213,1.48571,0.0307692,2,33
33,210,1.95774,0.125217,4,2
34,208,2.87431,0.171768,4,27
35,219,1.60571,0.0409253,2,61
36,174,1.63771,0.076762,3,30
37,182,1.77771,0.0932176,3,12
38,234,1.44,0,1,1
39,184,3.03889,0.216621,5,5
40,216,1.73143,0.0990099,3,16
41,167,1.664,0.0480769,2,9
42,212,1.84,0.108696,3,56
43,176,1.664,0.0480769,2,22
44,194,2.01714,0.157224,4,44
45,165,2.33143,0.107843,3,3
46,161,1.664,0.0480769,2,14
47,204,1.60571,0.0409253,2,11
48,188,2.97149,0.164997,4,2
49,171,1.60571,0.0409253,2,14
50,191,2.61714,0.167031,4,24
51,203,1.44,0,1,20
52,202,1.73143,0.0990099,3,2
53,181,2.83774,0.170961,4,4
54,178,1.664,0.0480769,2,3
55,234,1.744,0.0917431,3,31
56,167,1.664,0.0480769,2,11
57,200,1.60571,0.0409253,2,12
58,220,2.83774,0.170961,4,21
59,206,2.61143,0.126915,3,12
60,190,2.43771,0.117206,3,15
61,202,1.95774,0.125217,4,15
62,183,1.60571,0.0409253,2,19
63,224,1.85714,0.138462,4,15
64,206,1.44,0,1,2
65,174,1.57486,0.0399129,2,14
66,182,1.44,0,1,18
67,177,1.57486,0.0399129,2,6
68,170,1.664,0.0480769,2,21
69,170,1.664,0.0480769,2,4
70,216,1.44,0,1,5
71,242,1.44,0,1,2
72,185,1.67143,0.0786325,3,5
73,180,1.77771,0.0932176,3,9
74,246,1.60571,0.0409253,2,12
75,164,2.15431,0.145621,4,8
76,217,1.44,0,1,13
77,240,1.44,0,1,22
78,268,1.48571,0.0307692,2,65
79,154,2.47143,0.117919,3,8
80,180,1.60571,0.0409253,2,16
81,213,1.73771,0.0953634,3,4
82,201,1.73771,0.0953634,3,8
83,186,2.78343,0.190926,4,13
84,223,1.44,0,1,20
85,186,1.72571,0.0496689,2,13
86,208,2.91717,0.183936,4,10
87,213,1.48571,0.0307692,2,10
88,198,2.96057,0.239336,5,10
89,206,1.77143,0.0967742,3,4
90,196,1.72571,0.0496689,2,38
91,184,1.92463,0.0433479,2,30
92,235,1.82057,0.136535,4,3
93,182,1.99431,0.127219,4,26
94,199,1.95431,0.129823,4,13
95,192,1.85714,0.138462,4,11
96,184,2.87431,0.171768,4,2
97,215,1.86974,0.0904632,3,17
98,188,3,0.24,5,6
99,203,1.86974,0.0904632,3,28
100,223,1.53143,0.0597015,3,39
101,201,2.99946,0.215658,5,4
102,244,1.63143,0.0805604,3,13
103,193,2.99946,0.215658,5,3
104,180,1.664,0.0480769,2,5
105,202,1.73771,0.0953634,3,14
106,241,1.44,0,1,35
107,195,2.61143,0.126915,3,8
108,167,1.77771,0.0932176,3,15
109,218,1.70057,0.110887,4,34
110,177,1.81143,0.0946372,3,24
111,181,1.72571,0.0496689,2,17
112,184,2.74057,0.178274,4,4
113,190,2.78343,0.190926,4,3
114,234,2.61143,0.126915,3,40
115,169,1.81143,0.0946372,3,22
116,220,1.53143,0.0597015,3,35
117,208,1.85714,0.138462,4,41
118,203,1.85714,0.138462,4,25
119,178,1.73143,0.0990099,3,2
120,191,1.73771,0.0953634,3,14
121,167,1.86057,0.1336,4,5
122,184,2.74057,0.178274,4,12
123,194,2.66,0.180451,4,36
124,209,2.07774,0.146863,4,31
125,203,1.44,0,1,5
126,198,1.63771,0.076762,3,27
127,166,1.77771,0.0932176,3,5
128,211,1.86057,0.1336,4,26
129,200,2.66,0.180451,4,21
130,264,1.64571,0.0520833,2,39
131,198,1.87603,0.0871141,3,40
132,190,2.66,0.180451,4,4
133,192,1.81143,0.0946372,3,25
134,214,1.72571,0.0496689,2,15
135,240,1.44,0,1,18
136,188,1.72571,0.0496689,2,14
137,186,2.99946,0.215658,5,34
138,205,1.82057,0.136535,4,7
139,218,2.61143,0.126915,3,54
140,254,1.67143,0.0786325,3,41
141,184,2.87431,0.171768,4,2
142,178,1.664,0.0480769,2,26
143,175,1.664,0.0480769,2,16
144,203,1.85714,0.138462,4,20
145,193,2.91717,0.183936,4,24
146,193,2.78343,0.190926,4,3
147,191,1.60571,0.0409253,2,29
148,199,1.44,0,1,59
149,221,1.81143,0.0946372,3,30
150,192,2.61143,0.126915,3,22
151,215,2.87431,0.171768,4,15
152,194,1.48571,0.0307692,2,34
153,233,1.82057,0.136535,4,19
154,185,1.60571,0.0409253,2,3
155,194,1.72571,0.0496689,2,8
156,197,1.72571,0.0496689,2,10
157,193,1.48571,0.0307692,2,28
158,223,1.744,0.0917431,3,30
159,207,3.09603,0.231079,5,28
160,171,1.744,0.0917431,3,32
161,177,1.77771,0.0932176,3,7
162,207,2.86343,0.2275,5,13
163,186,2.87431,0.171768,4,5
164,207,2.56974,0.112518,3,14
165,184,2.66,0.180451,4,16
166,200,1.844,0.10846,3,59
167,204,1.76974,0.0729727,3,30
168,176,1.63771,0.076762,3,17
169,165,2.78343,0.190926,4,2
170,222,2.99946,0.215658,5,10
171,166,1.72571,0.0496689,2,29
172,170,2.544,0.125786,3,2
173,198,1.73771,0.0953634,3,10
174,193,1.60571,0.0409253,2,18
175,201,1.86057,0.1336,4,11
176,196,1.664,0.0480769,2,12
177,195,1.64571,0.0520833,2,17
178,219,2.33143,0.107843,3,30
179,198,2.61143,0.126915,3,2
180,204,1.44,0,1,16
181,186,2.43771,0.117206,3,42
182,198,3.09603,0.231079,5,17
183,253,1.77771,0.0932176,3,64
184,192,1.72571,0.0496689,2,12
185,200,1.744,0.0917431,3,2
186,216,2.71431,0.159788,4,17
187,193,2.87431,0.171768,4,12
188,183,2.61143,0.126915,3,20
189,219,1.73771,0.0953634,3,6
190,191,1.63143,0.0805604,3,12
191,201,1.48571,0.0307692,2,22
192,184,1.57486,0.0399129,2,29
193,255,1.44,0,1,13
194,208,1.44,0,1,6
195,185,1.87603,0.0871141,3,27
196,199,2.83774,0.170961,4,3
197,203,1.664,0.0480769,2,22
198,206,2.82,0.191489,4,13
199,180,2.33143,0.107843,3,2
200,178,1.77771,0.0932176,3,7
201,213,1.73771,0.0953634,3,2
202,178,2.87431,0.171768,4,3
203,165,1.77771,0.0932176,3,5
204,192,1.95431,0.129823,4,23
205,177,2.80806,0.1164,3,2
206,202,1.72571,0.0496689,2,8
207,221,1.82057,0.136535,4,6
208,211,1.44,0,1,2
209,166,2.544,0.125786,3,3
210,181,1.63771,0.076762,3,9
211,183,3,0.24,5,14
212,215,1.77143,0.0967742,3,30
213,197,1.72571,0.0496689,2,26
214,175,1.86057,0.1336,4,13
215,193,1.48571,0.0307692,2,1
216,209,1.73143,0.0990099,3,41
217,173,1.664,0.0480769,2,19
218,236,2.71431,0.159788,4,13
219,185,1.77143,0.0967742,3,42
220,184,1.73771,0.0953634,3,7
221,200,2.20571,0.0569948,2,4
222,195,1.95774,0.125217,4,14
223,205,1.44,0,1,45
224,240,1.72571,0.0496689,2,109
225,200,1.87603,0.0871141,3,11
226,230,1.73143,0.0990099,3,39
227,196,1.70057,0.110887,4,10
228,200,1.81143,0.0946372,3,17
229,184,1.744,0.0917431,3,30
230,199,1.99431,0.127219,4,33
231,228,2.83431,0.174192,4,3
232,183,1.90974,0.0885684,3,12
233,206,1.81143,0.0946372,3,33
234,174,3.09603,0.231079,5,6
235,235,1.64571,0.0520833,2,15
236,222,1.73714,0.113487,4,68
237,171,1.664,0.0480769,2,21
238,210,1.44,0,1,13
239,216,1.664,0.0480769,2,21
240,175,1.664,0.0480769,2,6
241,171,2.45714,0.153488,4,2
242,189,2.61714,0.167031,4,14
243,216,1.82057,0.136535,4,6
244,189,1.72571,0.0496689,2,19
245,180,3.03889,0.216621,5,3
246,176,1.70517,0.037868,2,30
247,194,1.44,0,1,27
248,193,2.91717,0.183936,4,8
249,194,1.72571,0.0496689,2,10
250,194,2.83774,0.170961,4,4
251,220,1.744,0.0917431,3,35
252,183,1.73771,0.0953634,3,14
253,179,2.83774,0.170961,4,4
254,200,2.71431,0.159788,4,4
255,183,1.77771,0.0932176,3,23
256,181,1.48571,0.0307692,2,13
257,165,1.44,0,1,23
258,197,1.90974,0.0885684,3,37
259,215,1.64571,0.0520833,2,3
260,193,2.66,0.180451,4,20
261,206,1.82057,0.136535,4,13
262,210,1.73771,0.0953634,3,14
263,187,1.72571,0.0496689,2,18
264,239,1.60571,0.0409253,2,10
265,168,2.61714,0.167031,4,10
266,221,1.48571,0.0307692,2,49
267,220,2.71431,0.159788,4,38
268,192,1.64571,0.0520833,2,2
269,205,1.664,0.0480769,2,13
270,246,1.93831,0.102003,3,65
271,177,1.664,0.0480769,2,12
272,207,1.60571,0.0409253,2,16
273,171,1.44,0,1,5
274,236,1.72571,0.0496689,2,25
275,196,1.75314,0.0554107,2,6
276,197,2.33143,0.107843,3,55
277,197,1.80629,0.107561,3,25
278,164,1.86057,0.1336,4,8
279,181,2.77714,0.179012,4,19
280,190,1.82057,0.136535,4,21
281,196,1.63771,0.076762,3,19
282,191,2.80806,0.1164,3,28
283,226,1.99431,0.127219,4,49
284,207,1.63771,0.076762,3,12
285,195,2.83431,0.174192,4,8
286,216,1.98057,0.155799,4,37
287,166,2.99946,0.215658,5,3
288,199,1.90974,0.0885684,3,24
289,169,2.74057,0.178274,4,10
290,204,2.33143,0.107843,3,24
291,178,1.664,0.0480769,2,10
292,184,2.61143,0.126915,3,14
293,208,1.73714,0.113487,4,33
294,210,1.57486,0.0399129,2,2
295,196,1.664,0.0480769,2,4
296,228,1.72571,0.0496689,2,14
297,192,1.87603,0.0871141,3,54
298,187,2.80806,0.1164,3,7
299,176,1.664,0.0480769,2,5
300,193,1.81143,0.0946372,3,17
301,216,1.85714,0.138462,4,13
302,196,1.86974,0.0904632,3,5
303,180,1.664,0.0480769,2,19
304,200,1.93831,0.102003,3,21
305,172,1.664,0.0480769,2,8
306,206,1.664,0.0480769,2,15
307,235,1.44,0,1,74
308,201,1.72571,0.0496689,2,23
309,226,2.87431,0.171768,4,31
310,167,1.86057,0.1336,4,22
311,209,1.44,0,1,6
312,249,2.20571,0.0569948,2,2
313,188,2.83774,0.170961,4,4
314,199,1.77143,0.0967742,3,2
315,150,1.72571,0.0496689,2,4
316,207,2.61143,0.126915,3,16
317,200,1.73771,0.0953634,3,13
318,239,1.44,0,1,1
319,204,1.44,0,1,6
320,177,1.664,0.0480769,2,10
321,210,1.44,0,1,2
322,182,1.48571,0.0307692,2,38
323,209,2.20571,0.0569948,2,2
324,202,2.80806,0.1164,3,5
325,223,1.63143,0.0805604,3,20
326,183,1.63771,0.076762,3,15
327,268,2.20571,0.0569948,2,89
328,175,2.61143,0.126915,3,16
329,184,1.95774,0.125217,4,25
330,169,1.744,0.0917431,3,30
331,198,2.61143,0.126915,3,6
332,264,1.44,0,1,77
333,198,1.72571,0.0496689,2,37
334,194,2.5,0.128,3,13
335,184,1.44,0,1,15
336,205,1.44,0,1,10
337,198,2.61143,0.126915,3,8
338,198,3,0.24,5,2
339,179,2.87431,0.171768,4,6
340,174,2.90343,0.224365,5,10
341,207,1.72571,0.0496689,2,12
342,174,2.99946,0.215658,5,3
343,175,1.60571,0.0409253,2,20
344,208,2.78343,0.190926,4,25
345,211,1.82057,0.136535,4,7
346,212,2.03717,0.14558,4,53
347,171,2.544,0.125786,3,2
348,197,1.86057,0.1336,4,2
349,188,2.83774,0.170961,4,3
350,207,1.664,0.0480769,2,28
351,204,2.43143,0.119859,3,17
352,185,1.72571,0.0496689,2,24
353,187,2.58057,0.166076,4,20
354,203,2.83774,0.170961,4,28
355,207,1.73771,0.0953634,3,12
356,188,1.48571,0.0307692,2,41
357,179,1.86057,0.1336,4,5
358,173,1.77771,0.0932176,3,18
359,205,1.8,0.111111,3,15
360,201,1.63143,0.0805604,3,47
361,170,1.77771,0.0932176,3,8
362,233,1.81143,0.0946372,3,55
363,225,2.20571,0.0569948,2,2
364,202,1.75429,0.0651466,2,57
365,180,1.60571,0.0409253,2,35
366,165,1.664,0.0480769,2,11
367,187,1.72571,0.0496689,2,7
368,197,1.81143,0.0946372,3,24
369,175,1.664,0.0480769,2,12
370,207,1.744,0.0917431,3,15
371,197,1.63771,0.076762,3,38
372,236,1.44,0,1,63
373,233,1.73143,0.0990099,3,66
