session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,225,2.28655,0.023855,2,2
2,193,2.31636,0.0243328,2,1
3,235,2.34909,0.0294118,2,6
4,215,2.16,0,1,2
5,226,2.41624,0.023026,2,2
6,242,2.76727,0.0387648,2,2
7,285,2.20364,0.019802,2,6
8,220,3.65624,0.0535076,2,7
9,228,2.42909,0.0284431,2,2
10,204,2.20364,0.019802,2,2
11,265,2.42909,0.0284431,2,3
12,236,2.27636,0.0247604,2,1
13,231,2.41624,0.023026,2,5
14,244,2.54182,0.0321888,2,3
15,221,2.31636,0.0243328,2,2
16,209,2.34909,0.0294118,2,3
17,236,2.27636,0.0247604,2,2
18,207,2.54182,0.0321888,2,1
19,241,2.20364,0.019802,2,1
20,225,2.54182,0.0321888,2,2
21,232,2.16,0,1,1
22,213,2.65455,0.0356164,2,3
23,222,2.34909,0.0294118,2,2
24,219,2.31636,0.0243328,2,2
25,207,2.16,0,1,0
26,224,2.34909,0.0294118,2,5
27,261,2.76727,0.0387648,2,2
28,215,2.31636,0.0243328,2,2
29,223,2.41624,0.023026,2,2
30,222,2.34909,0.0294118,2,3
31,250,3.05404,0.030005,2,3
32,223,2.42909,0.0284431,2,3
33,252,2.28655,0.023855,2,3
34,266,3.37745,0.0549096,2,2
35,229,2.34909,0.0294118,2,4
36,203,3.26664,0.0317257,2,4
37,248,2.31636,0.0243328,2,2
38,211,2.27636,0.0247604,2,4
39,246,2.16,0,1,1
40,225,2.42909,0.0284431,2,4
41,247,2.41624,0.023026,2,1
42,202,2.28655,0.023855,2,2
43,217,2.20364,0.019802,2,2
44,237,2.54182,0.0321888,2,4
45,213,2.20364,0.019802,2,1
46,211,2.20364,0.019802,2,1
47,258,2.42909,0.0284431,2,5
48,211,2.42909,0.0284431,2,2
49,287,2.31636,0.0243328,2,2
50,270,2.20364,0.019802,2,4
51,217,2.54909,0.0271041,2,3
52,262,2.62884,0.0257286,2,3
53,209,2.54182,0.0321888,2,2
54,223,2.31636,0.0243328,2,7
55,212,2.34909,0.0294118,2,3
56,245,2.20364,0.019802,2,5
57,241,2.34909,0.0294118,2,4
58,247,2.31636,0.0243328,2,5
59,255,2.36945,0.0276243,2,5
60,257,2.76727,0.0387648,2,3
61,304,2.31636,0.0243328,2,5
62,226,2.42182,0.0337838,2,2
63,226,2.27636,0.0247604,2,2
64,240,2.16,0,1,2
65,236,2.34909,0.0294118,2,4
66,210,2.16,0,1,0
67,218,2.76727,0.0387648,2,4
68,240,2.42909,0.0284431,2,3
69,227,2.54182,0.0321888,2,3
70,215,2.16,0,1,3
71,227,2.16,0,1,2
72,260,2.28655,0.023855,2,3
73,213,2.28655,0.023855,2,3
74,251,2.20364,0.019802,2,1
75,219,2.16,0,1,3
76,276,2.32545,0.028147,2,2
77,186,2.16,0,1,1
78,215,2.16,0,1,1
79,234,2.16,0,1,6
80,285,2.42909,0.0284431,2,7
81,261,2.76727,0.0387648,2,2
82,216,2.34909,0.0294118,2,3
83,221,2.34909,0.0294118,2,3
84,231,2.31636,0.0243328,2,1
85,254,2.27636,0.0247604,2,4
86,233,2.41624,0.023026,2,5
87,214,2.99273,0.0443499,2,4
88,285,2.28655,0.023855,2,6
89,248,2.42909,0.0284431,2,4
90,266,2.16,0,1,3
91,251,2.64,0.0454545,2,3
92,238,2.88,0.0416667,2,1
93,243,2.16,0,1,2
94,234,2.34909,0.0294118,2,3
95,235,2.16,0,1,1
96,295,2.32545,0.028147,2,2
97,195,2.45236,0.0311388,2,1
98,260,3.85598,0.0503586,2,2
99,269,2.42182,0.0337838,2,4
100,267,2.27636,0.0247604,2,6
101,260,2.36945,0.0276243,2,2
102,223,2.16,0,1,2
103,235,2.31636,0.0243328,2,2
104,234,2.31636,0.0243328,2,5
105,227,2.16,0,1,5
106,243,2.41624,0.023026,2,2
107,240,2.65455,0.0356164,2,6
108,238,2.16,0,1,3
109,222,2.88,0.0416667,2,6
110,199,2.20364,0.019802,2,2
111,205,2.31636,0.0243328,2,1
112,222,2.16,0,1,10
113,266,2.31636,0.0243328,2,6
114,259,2.31636,0.0243328,2,8
115,230,2.28655,0.023855,2,4
116,244,2.42909,0.0284431,2,3
117,240,2.28655,0.023855,2,4
118,218,2.31636,0.0243328,2,1
119,226,2.76727,0.0387648,2,2
120,237,2.28655,0.023855,2,1
121,286,2.45236,0.0311388,2,3
122,225,2.34909,0.0294118,2,1
123,252,2.76727,0.0387648,2,8
124,237,2.42909,0.0284431,2,2
125,265,2.54182,0.0321888,2,3
126,228,2.16,0,1,0
127,269,2.41624,0.023026,2,2
128,205,2.28655,0.023855,2,1
129,229,2.28655,0.023855,2,0
130,215,2.20364,0.019802,2,3
131,247,2.27636,0.0247604,2,2
132,282,2.16,0,1,4
133,225,2.31636,0.0243328,2,2
134,254,2.27636,0.0247604,2,2
135,223,2.28655,0.023855,2,5
136,218,2.28655,0.023855,2,4
137,258,2.42909,0.0284431,2,2
138,232,2.42909,0.0284431,2,5
139,261,2.31636,0.0243328,2,2
140,237,2.54182,0.0321888,2,2
141,240,2.20364,0.019802,2,4
142,237,2.34909,0.0294118,2,2
143,249,2.28655,0.023855,2,3
144,212,2.54182,0.0321888,2,4
145,211,2.16,0,1,1
146,256,2.20364,0.019802,2,5
147,227,2.34909,0.0294118,2,1
148,208,2.31636,0.0243328,2,1
149,232,2.41624,0.023026,2,4
150,223,2.42909,0.0284431,2,3
151,221,2.31636,0.0243328,2,2
152,253,2.41624,0.023026,2,4
153,222,2.31636,0.0243328,2,2
154,237,2.34909,0.0294118,2,4
155,228,3.34764,0.0548555,2,4
156,270,2.20364,0.019802,2,4
157,220,2.42909,0.0284431,2,2
158,216,2.28655,0.023855,2,2
159,266,2.34909,0.0294118,2,3
160,230,2.27636,0.0247604,2,1
161,224,2.20364,0.019802,2,5
162,211,2.42909,0.0284431,2,2
163,223,3.75611,0.0518912,2,6
164,246,2.16,0,1,3
165,216,2.27636,0.0247604,2,3
166,261,2.31636,0.0243328,2,4
167,196,2.36945,0.0276243,2,1
168,208,2.16,0,1,2
169,256,2.28655,0.023855,2,2
170,241,2.42909,0.0284431,2,4
171,259,3.35636,0.0585049,2,2
172,229,2.34909,0.0294118,2,1
173,261,2.41624,0.023026,2,3
174,206,2.27636,0.0247604,2,3
175,254,2.20364,0.019802,2,2
176,248,2.42909,0.0284431,2,4
177,236,2.27636,0.0247604,2,5
178,204,2.28655,0.023855,2,1
179,215,2.42182,0.0337838,2,4
180,260,2.16,0,1,3
181,247,2.65455,0.0356164,2,4
182,231,2.42909,0.0284431,2,1
183,221,2.31636,0.0243328,2,4
184,255,2.20364,0.019802,2,2
185,256,2.41624,0.023026,2,5
186,290,2.20364,0.019802,2,6
187,211,2.34909,0.0294118,2,4
188,227,2.42909,0.0284431,2,4
189,272,2.42909,0.0284431,2,1
190,197,2.31636,0.0243328,2,1
191,206,2.20364,0.019802,2,2
192,194,2.61818,0.0375,2,1
193,217,2.16,0,1,0
194,235,2.34909,0.0294118,2,3
195,222,2.16,0,1,6
196,212,2.16,0,1,4
197,271,2.70109,0.0403877,2,3
198,231,2.31636,0.0243328,2,7
199,220,2.28655,0.023855,2,3
200,226,2.20364,0.019802,2,5
201,205,2.20364,0.019802,2,2
202,223,2.54182,0.0321888,2,2
203,235,2.34909,0.0294118,2,5
204,231,2.31636,0.0243328,2,5
