session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,219,2.59855,0.0902603,4,2
2,185,2.94836,0.107301,4,1
3,197,3.20593,0.107528,4,1
4,215,3.03636,0.123952,4,1
5,226,2.92387,0.0832022,4,2
6,241,4.22616,0.128808,4,2
7,252,3.12,0.115385,4,1
8,185,3.14473,0.124884,4,2
9,216,3.10751,0.111636,4,1
10,195,3.24,0.111111,4,1
11,257,3.93491,0.104427,3,2
12,232,2.90182,0.110902,4,0
13,193,3.00715,0.10992,4,1
14,235,3.24545,0.131092,4,0
15,203,2.90618,0.116366,4,1
16,193,3.04,0.118421,4,0
17,221,2.86218,0.118155,4,0
18,207,3.14727,0.12305,4,1
19,237,2.68364,0.105691,4,1
20,225,3.65455,0.129851,4,2
21,232,3.57091,0.137475,4,1
22,183,3.00715,0.10992,4,0
23,214,3.35636,0.130011,4,2
24,208,4.0664,0.123943,4,0
25,205,3.38387,0.125085,4,1
26,194,3.11187,0.116738,4,2
27,254,3.50109,0.133984,4,1
28,199,3.57091,0.137475,4,1
29,214,2.73696,0.0848983,4,3
30,209,3.24569,0.118647,4,1
31,229,3.28945,0.129339,4,0
32,213,3.11382,0.122621,4,1
33,234,2.9086,0.094891,4,0
34,260,3.73769,0.135134,4,1
35,209,3.00715,0.10992,4,2
36,179,3.67913,0.113268,4,1
37,240,2.66545,0.0920873,4,1
38,195,3.11187,0.116738,4,2
39,246,2.85273,0.0956023,4,0
40,211,3.20593,0.107528,4,2
41,242,2.86182,0.112452,4,0
42,192,3.06836,0.103105,4,1
43,203,3.48229,0.120924,4,2
44,212,3.24375,0.113001,4,1
45,212,2.72,0.110294,4,0
46,211,3.10751,0.111636,4,2
47,243,3.61455,0.131288,4,2
48,201,2.65273,0.10281,4,1
49,268,3.19707,0.0986129,4,0
50,244,2.76364,0.102632,4,0
51,204,3.08024,0.10377,4,1
52,250,3.25865,0.0974189,4,1
53,204,3.14727,0.12305,4,1
54,181,3.75865,0.132349,4,1
55,209,3.47636,0.125523,4,2
56,233,2.38909,0.0707763,4,2
57,236,3.24545,0.131092,4,1
58,206,3.34847,0.11924,4,1
59,227,3.24945,0.130931,4,1
