session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,226,5.71393,0.26275,11,0
2,225,5.8492,0.255761,11,0
3,259,5.1492,0.236153,11,0
4,206,5.60253,0.262262,11,0
5,220,5.27393,0.261917,11,0
6,243,5.46593,0.267353,11,0
7,215,5.56253,0.264148,11,0
8,273,4.8606,0.23207,11,0
9,228,5.71453,0.271122,11,0
10,247,5.80787,0.255286,11,0
11,291,6.00253,0.264777,11,0
12,220,5.3012,0.244473,11,0
13,239,5.20727,0.252468,11,0
14,265,5.6726,0.262314,11,0
15,262,5.62727,0.262057,11,0
16,227,5.30253,0.246926,11,0
17,284,5.56253,0.264148,11,0
18,237,5.36727,0.244942,11,0
19,213,5.49453,0.252857,11,0
20,271,5.61927,0.276667,11,0
21,229,5.90787,0.278047,11,0
22,219,5.5612,0.261814,11,0
23,256,5.60253,0.262262,11,0
24,229,5.30253,0.246926,11,0
25,229,5.91587,0.264148,11,0
26,228,6.0692,0.272853,11,0
27,238,5.01393,0.243588,11,0
28,222,6.06787,0.270716,11,0
29,213,5.5606,0.25321,11,0
30,224,5.62727,0.262057,11,0
31,222,5.6726,0.262314,11,0
32,260,5.5612,0.261814,11,0
33,225,5.65587,0.248002,11,0
34,278,5.4092,0.254381,11,0
35,264,5.51927,0.252691,11,0
36,223,5.45453,0.254712,11,0
37,257,5.86593,0.269579,11,0
38,236,5.16593,0.251907,11,0
39,280,5.01393,0.243588,11,0
40,253,5.5206,0.255045,11,0
41,201,5.05393,0.24166,11,0
42,250,5.1492,0.236153,11,0
43,251,5.8492,0.255761,11,0
44,281,5.64787,0.262518,11,0
45,271,5.34253,0.245077,11,0
46,268,5.4092,0.254381,11,0
47,226,5.3012,0.244473,11,0
48,219,5.05393,0.24166,11,0
49,250,5.56253,0.264148,11,0
50,274,5.7806,0.271252,11,0
51,258,5.31393,0.259946,11,0
52,212,5.77927,0.269008,11,0
53,260,5.56253,0.264148,11,0
54,251,5.97393,0.278097,11,0
55,224,5.8092,0.257523,11,0
56,205,5.01393,0.243588,11,1
57,265,5.7806,0.271252,11,0
58,226,5.62727,0.262057,11,0
59,223,5.2726,0.259455,11,0
60,262,5.35927,0.260235,11,0
61,226,5.31393,0.259946,11,0
62,240,5.61927,0.276667,11,0
63,246,5.30253,0.246926,11,0
64,265,5.35927,0.260235,11,0
65,251,5.01393,0.243588,11,0
66,221,5.5206,0.255045,11,0
67,238,5.77927,0.269008,11,0
68,229,5.8492,0.255761,11,0
69,237,5.51927,0.252691,11,0
70,266,5.64787,0.262518,11,0
71,257,5.7126,0.260477,11,0
72,249,5.1492,0.236153,11,0
73,220,5.20727,0.252468,11,0
74,241,5.34253,0.245077,11,0
75,221,5.51927,0.252691,11,0
76,310,5.91587,0.264148,11,0
77,256,6.12593,0.284256,11,0
78,250,5.51927,0.252691,11,1
79,331,5.6726,0.262314,11,0
80,203,5.3012,0.244473,11,0
81,231,5.20727,0.252468,11,0
82,240,5.9726,0.275927,11,0
83,211,5.60253,0.262262,11,0
84,320,5.46727,0.269726,11,0
85,280,5.5612,0.261814,11,0
86,267,5.30253,0.246926,11,0
87,306,5.64787,0.262518,11,0
88,272,5.8206,0.269388,11,0
89,216,5.20727,0.252468,11,0
90,247,5.27393,0.261917,11,0
91,255,5.8492,0.255761,11,0
92,264,5.8492,0.255761,11,0
93,219,5.5606,0.25321,11,0
94,270,5.7806,0.271252,11,0
95,255,6.06787,0.270716,11,0
96,211,5.60253,0.262262,11,0
97,268,5.1206,0.251533,11,0
98,246,5.30253,0.246926,11,0
