session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.17094,4.31624,0.190823,6,603
2,1.07046,2.66545,0.0920873,4,268
3,1.10825,2.86884,0.0821366,4,411
4,1.19747,2.45236,0.0311388,2,761
5,1.10326,2.88133,0.125195,5,394
6,1.08772,2.49818,0.055313,3,302
7,1.05115,2.45236,0.0311388,2,208
8,1.032,2.43491,0.0537634,3,165
9,1.07463,2.712,0.117994,5,337
10,1.06045,3.99296,0.118299,4,244
11,1.1126,3.36,0.0714286,3,406
12,1.0625,2.54182,0.0321888,2,209
13,1.00924,2.69273,0.101283,4,59
14,1.29469,2.16,0,1,1169
15,1,4.05793,0.114523,4,22
16,1,2.16,0,1,19
17,1.06107,2.45236,0.0311388,2,245
18,1.03636,2.65951,0.0582473,3,151
19,1.01223,2.45236,0.0311388,2,57
20,1.03448,2.67673,0.116832,5,154
21,1.04,2.45236,0.0311388,2,177
22,1.05911,3.7166,0.106549,4,247
23,1.0198,2.63855,0.088892,4,117
24,1,2.56036,0.0610709,3,20
25,1.01485,4.07987,0.150807,5,82
26,1.10824,2.90229,0.0830692,4,448
27,1.07494,2.54182,0.0321888,2,319
28,1.0101,3.99296,0.118299,4,58
29,1.02364,2.16,0,1,111
30,1.02421,2.672,0.0898204,4,113
31,1.0316,2.58364,0.0633357,3,154
32,1.00924,2.58364,0.0633357,3,59
33,1.03488,2.63855,0.088892,4,157
34,1.08205,2.66582,0.0982131,4,327
35,1.06486,2.80387,0.0867631,4,250
36,1.09809,2.66582,0.0982131,4,372
37,1.02625,2.54182,0.0321888,2,115
38,1.09735,2.50364,0.0653595,3,448
39,1.09019,4.31624,0.190823,6,348
40,1.02459,2.20364,0.019802,2,132
41,1.0885,2.66545,0.0920873,4,401
42,1.04023,3.86109,0.121492,4,154
43,1.05641,2.28655,0.023855,2,225
44,1.02559,4.05793,0.114523,4,132
45,1.02857,2.52036,0.0620401,3,132
46,1.09146,2.56036,0.0610709,3,287
47,1.03822,2.16,0,1,169
48,1,4.15042,0.151748,5,23
49,1.03733,4.07987,0.150807,5,145
50,1.02451,2.49818,0.055313,3,104
51,1.02105,4.15042,0.151748,5,92
52,1.06599,2.62364,0.0623701,3,236
53,1.035,3.6,0.133333,5,140
54,1.03139,4.07987,0.150807,5,144
55,1.08312,4.07515,0.152766,5,298
56,1.15244,3.6,0.133333,5,441
57,1.07467,2.64182,0.0688231,3,258
58,1.09976,2.78364,0.130634,5,383
59,1.04071,2.16,0,1,150
60,1.06616,2.62,0.0763359,3,245
61,1,4.15042,0.151748,5,23
62,1.06824,2.55733,0.0534649,3,235
63,1.09375,2.80969,0.112856,5,329
64,1.03357,2.34909,0.0294118,2,136
65,1.11168,3.61091,0.0805639,3,391
66,1.01942,2.54182,0.0321888,2,84
67,1.08563,2.42909,0.0284431,2,253
68,1.05571,2.42909,0.0284431,2,190
69,1.06838,2.592,0.0617284,3,220
70,1.05542,2.42909,0.0284431,2,206
71,1.05556,3.92605,0.117536,4,210
72,1.02551,2.72278,0.0595647,3,105
73,1.03491,3.75636,0.116167,4,141
74,1.07692,2.65951,0.0582473,3,274
75,1.05598,3.81091,0.128817,4,217
76,1.15534,2.16,0,1,587
77,1.19835,2.59455,0.0903994,4,674
78,1.1073,2.62364,0.0623701,3,479
79,1.03457,2.33273,0.0483242,3,140
80,1.10619,2.20364,0.019802,2,357
81,1.0297,2.54182,0.0321888,2,125
82,1.12411,2.70327,0.0988701,4,488
83,1.02924,2.592,0.0617284,3,108
84,1.15038,2.74727,0.119126,5,578
85,1,2.56036,0.0610709,3,18
86,1.02145,3.73636,0.0846715,3,88
87,1.13928,3.36,0.0714286,3,452
88,1.0593,3.68945,0.115316,4,207
89,1.05208,2.52036,0.0620401,3,219
90,1.17984,2.16,0,1,643
91,1.09524,2.16,0,1,375
92,1.16,2.16,0,1,550
93,1.04592,2.49382,0.0809274,4,191
94,1.07027,2.62364,0.0623701,3,258
95,1.0274,3.99296,0.118299,4,113
96,1.1,2.42182,0.0337838,2,479
97,1.01914,2.41818,0.0571429,3,97
98,1.11321,2.73042,0.0870995,4,438
99,1.02545,2.16,0,1,112
100,1.1289,2.42909,0.0284431,2,627
101,1.07065,3.36,0.0714286,3,260
102,1.06,2.65927,0.100506,4,243
103,1.15686,2.54182,0.0321888,2,476
104,1.03581,2.58364,0.0633357,3,149
105,1.17241,2.47187,0.0450156,3,619
106,1.16087,2.42182,0.0337838,2,715
107,1,3.24,0.037037,2,20
108,1.11354,2.94205,0.095666,4,551
109,1.00805,2.42909,0.0284431,2,57
110,1.01923,2.77042,0.085842,4,98
111,1.12256,2.42909,0.0284431,2,434
112,1.06362,3.54764,0.0799508,3,322
113,1.03931,2.48727,0.0833333,4,171
114,1.01023,2.52036,0.0620401,3,59
115,1.01501,2.42182,0.0337838,2,96
116,1.06388,3.85491,0.127346,4,264
117,1.00899,2.16,0,1,56
118,1.01176,3.61091,0.0805639,3,56
119,1.00976,2.62569,0.0781093,4,60
120,1,2.58364,0.0633357,3,20
121,1.10753,2.45236,0.0311388,2,373
122,1.04717,2.56109,0.105069,5,191
123,1,3.92605,0.117536,4,20
124,1.07576,2.84144,0.0280268,2,262
125,1.06731,2.16,0,1,258
126,1.03218,2.78364,0.130634,5,154
127,1.07527,2.592,0.0925926,4,262
128,1,4.27078,0.182211,6,26
129,1.02649,3.9532,0.109279,4,140
130,1.04386,2.66545,0.0920873,4,196
131,1.13992,2.34109,0.0465983,3,599
132,1.10309,4.11865,0.120781,4,357
133,1.0101,2.52036,0.0620401,3,52
134,1.00495,2.52036,0.0620401,3,35
135,1.07,3.36,0.0714286,3,256
136,1.06393,2.16,0,1,255
137,1.03743,2.42655,0.0554473,3,135
138,1.15676,2.67673,0.116832,5,529
139,1.07568,3.48,0.103448,4,263
140,1.02051,2.78364,0.130634,5,90
141,1.0373,2.42182,0.0337838,2,153
142,1.12222,2.79769,0.0947535,4,395
143,1.00455,2.592,0.0925926,4,37
144,1.08738,2.16,0,1,319
145,1.17442,2.56036,0.0610709,3,528
146,1.07407,2.59855,0.0902603,4,287
147,1.0663,2.62364,0.0623701,3,221
148,1.0331,2.80969,0.112856,5,142
149,1.02564,2.24727,0.038835,3,119
150,1.11471,2.66545,0.0920873,4,409
151,1.11413,2.592,0.0925926,4,378
152,1.06763,2.72387,0.0893113,4,255
153,1.03008,2.80969,0.112856,5,127
154,1.05,2.50036,0.078534,4,193
155,1.38974,3.24,0.037037,2,1313
156,1.15464,2.72387,0.0893113,4,566
157,1.11917,2.62364,0.0623701,3,408
158,1.09223,2.16,0,1,340
159,1.19195,2.59855,0.0902603,4,553
160,1.08076,2.59855,0.0902603,4,372
161,1.08021,4.31624,0.190823,6,321
162,1.0303,2.52036,0.0620401,3,134
163,1.14257,2.76411,0.0734085,4,686
164,1.00955,4.21284,0.147083,5,64
165,1.07046,2.72364,0.104139,4,270
166,1.07981,2.43491,0.0537634,3,338
167,1.08717,2.592,0.0925926,4,359
168,1.25629,2.45236,0.0311388,2,1105
169,1,4.15042,0.151748,5,26
170,1.08889,3.64145,0.0838826,3,359
171,1.08877,2.79769,0.0947535,4,340
172,1,2.16,0,1,19
173,1.17647,2.16,0,1,749
174,1.08718,2.66582,0.0982131,4,344
175,1.00491,2.33273,0.0483242,3,38
176,1.02278,2.29091,0.0571429,4,116
177,1,3.78764,0.122408,4,24
178,1.0733,3.75636,0.116167,4,289
179,1.00541,3.92605,0.117536,4,42
180,1.06701,2.24727,0.038835,3,264
181,1.05327,2.42909,0.0284431,2,230
182,1.03582,3.86109,0.121492,4,134
183,1.20807,2.42182,0.0337838,2,938
184,1.04036,2.16,0,1,186
185,1,4.27078,0.182211,6,23
186,1.05543,2.42182,0.0337838,2,242
187,1.16166,2.45236,0.0311388,2,661
188,1.0883,2.62364,0.0623701,3,399
189,1.00588,2.46655,0.0545481,3,37
190,1.17098,3.91564,0.13373,4,652
191,1.2306,2.16,0,1,1003
192,1.04848,2.45236,0.0311388,2,166
193,1.07775,2.33273,0.0483242,3,352
194,1.02558,2.53455,0.0688666,3,111
195,1.02045,3.0686,0.145995,5,118
196,1.11991,3.24,0.037037,2,534
197,1.06504,3.75636,0.116167,4,247
198,1.04057,3.92182,0.127955,4,211
199,1.24363,2.64182,0.0688231,3,840
200,1.08617,2.16,0,1,380
201,1.08421,2.672,0.0898204,4,319
202,1.02242,4.1898,0.1117,4,114
203,1.03125,3.91564,0.13373,4,133
204,1,3.92605,0.117536,4,21
205,1.09632,4.31624,0.190823,6,348
206,1.0961,2.42909,0.0284431,2,312
207,1.08,4.28447,0.154808,5,280
208,1.23558,2.16,0,1,890
209,1.02364,2.20364,0.019802,2,102
210,1.09786,3.82764,0.121129,4,297
211,1.15569,2.86884,0.0821366,4,472
212,1.10724,2.16,0,1,378
213,1.01015,2.41818,0.0571429,3,51
214,1,4.13382,0.189127,6,28
215,1.06653,2.41818,0.0571429,3,297
216,1.08978,2.60509,0.0879397,4,328
217,1.0303,2.43491,0.0537634,3,121
218,1.00988,2.52036,0.0620401,3,53
219,1.16807,2.20364,0.019802,2,551
220,1.0292,2.16,0,1,119
221,1.14835,2.49818,0.055313,3,546
222,1.06731,2.592,0.0925926,4,295
223,1.03562,3.92182,0.127955,4,155
224,1.07312,2.50364,0.0653595,3,337
225,1.12938,2.43491,0.0537634,3,481
226,1.04494,2.45236,0.0311388,2,157
227,1.05263,2.50364,0.0653595,3,213
228,1.08081,2.592,0.0925926,4,302
229,1.01596,4.04751,0.130181,4,72
230,1.09302,2.62569,0.0781093,4,359
231,1.05641,2.83515,0.0954256,4,207
232,1.11144,4.01855,0.162881,5,348
233,1.13055,3.99296,0.118299,4,464
234,1.04938,2.20364,0.019802,2,188
235,1.01604,3.85491,0.127346,4,73
236,1.06799,2.54182,0.0321888,2,228
237,1.23502,2.64182,0.0688231,3,912
238,1.07507,2.45818,0.056213,3,258
239,1.10283,2.49818,0.055313,3,393
240,1.00955,2.43491,0.0537634,3,54
241,1.01511,2.58364,0.0633357,3,70
242,1.04908,2.16,0,1,224
243,1.07966,2.42182,0.0337838,2,367
244,1.08776,2.16,0,1,364
245,1.04278,3.73636,0.0846715,3,157
246,1.18966,2.16,0,1,601
247,1.04092,2.69673,0.101133,4,158
248,1.05556,3.36,0.0714286,3,206
249,1.03313,3.92182,0.127955,4,158
250,1.01802,2.45818,0.056213,3,90
251,1.07035,2.80387,0.0867631,4,262
252,1,2.80387,0.0867631,4,19
253,1.09497,2.73273,0.0998004,4,318
254,1.15522,2.62255,0.0665557,3,471
255,1.125,3.61636,0.0874811,3,499
256,1.25389,2.82764,0.128601,5,887
257,1.03902,2.16,0,1,164
258,1.11135,2.49818,0.055313,3,468
259,1.00487,4.31624,0.190823,6,39
260,1.00481,2.58364,0.0633357,3,37
261,1.01754,2.41818,0.0571429,3,98
262,1.02481,4.05138,0.116055,4,105
263,1.01852,2.45236,0.0311388,2,87
264,1.19797,2.41818,0.0571429,3,679
265,1.17778,2.54182,0.0321888,2,641
266,1.10674,2.24727,0.038835,3,351
267,1.04557,3.36,0.0714286,3,170
268,1,3.92605,0.117536,4,20
269,1.08232,2.62364,0.0623701,3,312
270,1.0137,2.20364,0.019802,2,69
271,1.13757,3.9532,0.109279,4,468
272,1.03871,2.16,0,1,174
273,1.11304,2.50364,0.0653595,3,457
274,1.03248,2.16,0,1,139
275,1.02584,2.65927,0.100506,4,105
276,1.16949,2.41818,0.0571429,3,642
277,1,4.21284,0.147083,5,24
278,1.00517,3.36,0.0714286,3,35
279,1.0344,3.99296,0.118299,4,141
280,1.14837,2.54182,0.0321888,2,442
281,1.05155,2.77042,0.085842,4,192
