session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.15761,4.9428,0.15732,7,30
2,1.07046,4.05333,0.121711,6,49
3,1.09278,3.5918,0.0855281,5,14
4,1.185,3.392,0.0660377,4,25
5,1.0404,4.35687,0.166236,8,35
6,1.10526,4.252,0.101599,5,12
7,1.04604,4.52,0.0867257,4,12
8,1.032,3.5,0.0868571,5,13
9,1.07463,4.01867,0.121102,6,6
10,1.06015,4.9486,0.134179,6,18
11,1.08043,4.252,0.101599,5,45
12,1.01786,3.86133,0.0966851,5,2
13,1.08284,3.52,0.0954545,5,41
14,1.31401,3.52,0.0909091,5,55
15,1,4.3886,0.1194,6,39
16,1.06393,3.42267,0.0825867,5,38
17,1.06931,3.31733,0.0450161,3,29
18,1.02078,4.6046,0.12683,6,13
19,1.01084,3.46,0.0878613,5,22
20,1.03448,3.46,0.0878613,5,33
21,1.06,3.52667,0.0937618,5,12
22,1.00985,4.7452,0.128129,6,53
23,1.09901,4.3734,0.143778,7,17
24,1.08095,3.7806,0.112152,6,58
25,1.01429,4.7254,0.155077,7,15
26,1,3.36,0.0714286,4,31
27,1.07963,3.52,0.0909091,5,46
28,1.03509,3.491,0.0602693,4,9
29,1.06619,3.91467,0.100817,5,22
30,1.02421,3.488,0.0676606,4,4
31,1.0316,3.46,0.0878613,5,84
32,1.00871,3.944,0.121704,6,49
33,1.17442,3.31733,0.0450161,3,14
34,1.10769,3.42267,0.0872614,5,30
35,1.06486,3.69847,0.0859455,5,31
36,1.08174,4.02133,0.104775,5,2
37,1.02625,3.52,0.0681818,4,45
38,1.09735,3.376,0.0687204,4,24
39,1.10938,4.2534,0.145954,7,22
40,1.11885,3.59867,0.118562,6,81
41,1.0885,3.67733,0.117839,6,24
42,1.14917,4.95333,0.144011,6,13
43,1.10633,3.63333,0.119266,6,18
44,1.03838,5.04607,0.105481,5,6
45,1.02857,3.384,0.0673759,4,57
46,1,4.5006,0.125317,6,24
47,1.07219,3.368,0.0700713,4,8
48,1.05405,4.12193,0.115803,6,32
49,1.03733,4.6854,0.147864,7,6
50,1.02439,4.91393,0.133769,6,4
51,1.01053,5.1934,0.164208,7,2
52,1.06533,3.52,0.0681818,4,12
53,1.055,4.624,0.1609,7,7
54,1.18386,3.356,0.0810489,5,37
55,1.06925,4.116,0.151603,7,55
56,1.10026,3.5,0.0868571,5,9
57,1.01985,4.16933,0.132715,6,7
58,1.08696,4.012,0.129611,6,8
59,1.06107,4.192,0.150763,7,14
60,1.06616,3.64,0.10989,5,26
61,1,5.0814,0.156807,7,13
62,1.15748,4.0574,0.129344,7,30
63,1.13021,3.5566,0.0967216,6,6
64,1.07194,3.832,0.114823,6,56
65,1.12183,3.83733,0.112926,6,102
66,1.04369,4.73987,0.12968,6,26
67,1.0565,3.296,0.0606796,4,2
68,1.19898,3.70247,0.0901741,5,40
69,1.05222,3.52667,0.089225,5,4
70,1.05486,3.83733,0.112926,6,41
71,1.04489,3.6686,0.104672,6,50
72,1.03226,3.70247,0.0901741,5,27
73,1.07925,3.49733,0.106748,6,45
74,1.03837,4.19127,0.117069,6,35
75,1.14249,3.80993,0.120037,6,26
76,1.18932,3.56,0.0898876,5,40
77,1.11646,3.516,0.0955631,5,43
78,1.17167,3.93867,0.123561,6,15
79,1.17284,3.5478,0.0865889,5,16
80,1.10973,3.67733,0.117839,6,23
81,1.02469,4.05333,0.121711,6,32
82,1.29647,3.564,0.0942761,5,13
83,1,4.32533,0.123305,6,4
84,1.15038,3.56,0.0898876,5,32
85,1.01247,3.87733,0.111761,6,3
86,1.07447,3.52,0.0681818,4,27
87,1.26741,3.65333,0.10219,5,39
88,1.13477,3.392,0.0625,4,83
89,1.06208,4.552,0.15993,7,50
90,1.09179,4.4822,0.176163,8,27
91,1.10025,3.356,0.0810489,5,9
92,1.12571,4.252,0.101599,5,32
93,1.04592,3.72533,0.105583,6,25
94,1.08625,3.619,0.0658746,4,3
95,1.05391,3.9558,0.0897922,5,8
96,1.1,3.568,0.0751121,4,44
97,1.03097,4.1734,0.139167,7,60
98,1.03906,4.6054,0.150432,7,59
99,1.09677,3.464,0.0750577,4,15
100,1.13721,3.86667,0.115517,6,91
101,1.04244,3.85733,0.0926374,5,27
102,1.06,4.196,0.158246,7,23
103,1.04119,4.06267,0.10896,5,49
104,1.05115,3.564,0.0942761,5,55
105,1.01542,3.99313,0.0942952,5,20
106,1,3.587,0.0742682,4,16
107,1.04494,4.67333,0.114123,5,25
108,1.15612,3.8358,0.0926013,5,78
109,1.12072,3.55733,0.095952,5,217
110,1.02404,4.1566,0.116441,6,3
111,1.1727,3.352,0.0632458,4,10
112,1.09543,3.5918,0.0855281,5,47
113,1.03931,3.45333,0.0895753,5,22
114,1.03581,3.6686,0.104672,6,13
115,1.01501,3.44667,0.0912959,5,101
116,1.13107,3.28,0.0634146,4,20
117,1.0809,3.49333,0.0885496,5,27
118,1.09302,4.65067,0.112385,5,26
119,1.06341,3.3838,0.0718719,5,41
120,1.01636,3.44,0.0697674,4,7
121,1.05584,3.396,0.0800942,5,18
122,1.16509,3.51333,0.0971537,5,33
123,1.016,4.4878,0.104104,5,20
124,1,4.1798,0.092636,5,30
125,1.08654,4.12667,0.127625,6,26
126,1.06437,5.39527,0.146548,6,14
127,1.01504,4.01333,0.122924,6,3
128,1.04865,4.58627,0.101404,5,12
129,1.02649,4.6054,0.150432,7,99
130,1.03947,4.05333,0.121711,6,8
131,1.13169,3.832,0.114823,6,25
132,1.10309,5.11453,0.137126,6,8
133,1.0101,3.46,0.0878613,5,8
134,1.00495,3.356,0.0810489,5,13
135,1.06147,3.59847,0.0838876,5,32
136,1.10046,4.52487,0.17244,8,27
137,1.17112,3.4878,0.0789036,5,23
138,1.03681,3.77527,0.114076,6,80
139,1.05656,5.1214,0.163393,7,16
140,1.12308,3.88,0.146392,7,15
141,1.02797,3.69793,0.107447,6,13
142,1.01087,5.11453,0.137126,6,2
143,1.00455,3.45333,0.0895753,5,7
144,1.08431,3.83733,0.112926,6,10
145,1.15116,3.86133,0.0966851,5,26
146,1.04587,3.34933,0.0828025,5,2
147,1.04688,4.05333,0.121711,6,46
148,1.09929,3.66327,0.106644,6,11
149,1.06838,3.8214,0.133145,7,38
150,1.17456,3.472,0.0737327,4,66
151,1.05081,3.44,0.0697674,4,23
152,1.06763,3.66327,0.106644,6,73
153,1.08521,3.65847,0.0868852,5,8
154,1.21033,4.2574,0.143938,7,45
155,1.30964,4.8492,0.129506,6,28
156,1.1203,3.9646,0.111991,6,5
157,1.0829,3.48,0.0689655,4,28
158,1.14563,4.5654,0.149998,7,4
159,1.04348,4.32,0.125,6,9
160,1.08076,3.46,0.0878613,5,16
161,1.08021,4.3908,0.140658,7,8
162,1.0303,3.46,0.0878613,5,15
163,1.09369,4.7294,0.154946,7,14
164,1.00955,4.9692,0.126378,6,13
165,1.06138,3.864,0.124224,6,35
166,1.07981,3.296,0.0606796,4,15
167,1.03874,4.48993,0.128584,6,3
168,1.2449,4.24267,0.108108,5,52
169,1.12698,3.46,0.0878613,5,43
170,1.08889,3.98933,0.11865,6,53
171,1.06266,4.8228,0.151281,7,2
172,1.04523,4.256,0.105263,5,45
173,1.19005,3.724,0.137487,7,43
174,1.08718,3.52667,0.0937618,5,11
175,1.05152,3.5566,0.0967216,6,18
176,1.041,3.44667,0.0912959,5,7
177,1,3.86667,0.115517,6,18
178,1.07292,5.056,0.169304,7,14
179,1.05195,4.19127,0.117069,6,43
180,1.06701,3.74193,0.111529,6,37
181,1.13559,3.60533,0.109098,6,28
182,1.05373,3.928,0.0977597,5,11
183,1.07407,4.42667,0.13253,6,14
184,1.17937,3.34933,0.0828025,5,30
185,1.00868,5.45453,0.139578,6,6
186,1.05543,3.28,0.0487805,3,38
187,1.16552,3.31733,0.0450161,3,80
188,1.11038,3.296,0.0606796,4,7
189,1.0181,3.87733,0.111761,6,10
190,1.16495,4.16,0.134615,6,98
191,1.25439,3.73793,0.106298,6,151
192,1.14327,3.42267,0.0872614,5,21
193,1.09302,3.12267,0.0392827,3,32
194,1.0642,4.91733,0.149132,6,14
195,1.06135,3.8846,0.114297,6,91
196,1.16274,3.768,0.07431,4,32
197,1.05168,3.72533,0.105583,6,51
198,1.04057,4.80753,0.177832,8,28
199,1.1746,4.7614,0.155584,7,8
200,1.17234,3.45333,0.0895753,5,42
201,1.05789,4.2174,0.135818,7,8
202,1.01774,4.6414,0.150989,7,22
203,1,4.98667,0.149733,6,12
204,1.0987,4.23393,0.122187,6,41
205,1.09632,5.1214,0.163393,7,17
206,1.06322,3.87733,0.111761,6,13
207,1.08,4.86993,0.134978,6,7
208,1.24537,3.424,0.0665888,4,34
209,1.06211,3.45333,0.0895753,5,28
210,1,5.01793,0.134983,6,26
211,1.05641,4.21987,0.112484,6,6
212,1.1126,3.62667,0.0955882,5,72
213,1.0203,3.45333,0.0895753,5,15
214,1,4.97793,0.136067,6,12
215,1.06653,3.376,0.0687204,4,16
216,1.04091,3.296,0.0606796,4,23
217,1.06061,3.58667,0.101115,5,20
218,1.00988,3.384,0.0673759,4,25
219,1.20168,3.85733,0.0926374,5,40
220,1.03893,3.376,0.0687204,4,37
221,1.12665,3.716,0.123789,6,28
222,1.11538,3.528,0.0759637,4,30
223,1.06623,3.91067,0.119332,6,86
224,1.12982,3.736,0.0792291,4,13
225,1.22642,3.45333,0.0895753,5,24
226,1.03893,3.31733,0.0450161,3,24
227,1.06993,3.36,0.0714286,4,6
228,1.08081,3.52,0.0909091,5,10
229,1.18734,4.05453,0.123648,6,25
230,1,4.28787,0.120029,6,3
231,1.05641,3.6958,0.0917799,5,6
232,1.08571,5.20533,0.123975,5,4
233,1.13055,4.0446,0.109776,6,21
234,1.05926,3.604,0.116537,6,17
235,1.00969,4.01733,0.12778,6,17
236,1.0201,3.56,0.0898876,5,21
237,1.23963,3.69733,0.100974,5,50
238,1.08579,3.252,0.0738007,5,16
239,1.14396,3.59867,0.118562,6,12
240,1.00955,3.74193,0.111529,6,6
241,1.05591,3.45333,0.0895753,5,42
242,1.05726,3.55733,0.095952,5,17
243,1.07966,3.45333,0.0895753,5,29
244,1.11085,3.85793,0.102991,6,76
245,1.05882,3.98933,0.11865,6,81
246,1.12534,3.48267,0.0949464,5,27
247,1.07161,3.55733,0.095952,5,24
248,1,4.7614,0.155584,7,30
249,1.08282,4.12,0.149515,7,77
250,1.01802,3.42267,0.0825867,5,57
251,1.19598,3.384,0.0673759,4,34
252,1,3.73793,0.106298,6,6
253,1.0102,3.664,0.100437,5,38
254,1.16716,3.69067,0.106936,5,7
255,1.12933,3.7118,0.100005,5,18
256,1.24742,4.0574,0.141174,7,31
257,1.07317,3.75733,0.0908446,5,32
258,1.12848,3.69847,0.0859455,5,77
259,1.00485,5.5534,0.17085,7,6
260,1.04808,4.05333,0.121711,6,14
261,1,4.2838,0.097857,5,23
262,1.00496,3.4878,0.0789036,5,8
263,1.01852,3.424,0.0665888,4,44
264,1.19797,3.411,0.0616828,4,4
265,1.12346,3.99467,0.0987984,5,20
266,1.00489,4.05333,0.121711,6,13
267,1.01013,3.56533,0.110322,6,20
268,1.00491,5.30893,0.11372,5,3
269,1.11084,3.352,0.0632458,4,94
270,1.04566,4.212,0.123457,6,6
271,1.05291,4.70253,0.123621,6,13
272,1.06882,3.64667,0.108227,5,15
273,1.11304,3.272,0.0647922,4,26
274,1.01392,3.52,0.0909091,5,28
275,1.02463,4.036,0.142716,7,25
276,1.16949,3.832,0.114823,6,7
277,1,5.0374,0.159765,7,6
278,1.24289,3.744,0.0940171,5,59
279,1.18692,3.48,0.091954,5,45
280,1.06286,3.392,0.0625,4,12
281,1,4.2534,0.13655,7,8
282,1.2449,3.356,0.0810489,5,201
283,1.01563,4.12493,0.0920581,5,19
284,1,4.21987,0.112484,6,42
285,1.06696,3.252,0.0738007,5,75
286,1.18879,4.38933,0.106926,5,25
287,1.21972,3.668,0.100327,5,23
288,1.08374,3.90667,0.114334,6,40
289,1.02857,3.38267,0.0835633,5,17
290,1.18182,3.356,0.0810489,5,26
291,1.06933,3.427,0.0590604,4,12
292,1.09669,4.05333,0.121711,6,14
293,1.17647,3.564,0.0942761,5,40
294,1.04615,3.70247,0.0901741,5,13
295,1.08152,3.98933,0.11865,6,25
