session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,4.15042,0.151748,5,0
2,187,2.36945,0.0276243,2,5
3,199,2.28655,0.023855,2,40
4,208,2.49382,0.0809274,4,11
5,194,4.0338,0.0773464,3,3
6,192,2.82545,0.0868726,4,11
7,172,3.03491,0.102444,4,0
8,220,2.34909,0.0294118,2,220
9,211,2.64182,0.0688231,3,12
10,224,2.31636,0.0243328,2,23
11,201,2.65927,0.100506,4,1
12,186,2.46655,0.0545481,3,2
13,228,3.21369,0.0663072,3,9
14,219,2.31636,0.0243328,2,2702
15,267,2.34109,0.0465983,3,24
16,203,3.15587,0.118913,5,3
17,192,2.54909,0.0271041,2,19
18,199,3.22182,0.0998871,4,46
19,201,3.16047,0.0883642,4,41
20,255,2.52727,0.0820144,4,18
21,206,2.90727,0.11257,5,36
22,219,2.82545,0.0868726,4,42
23,191,3.54242,0.132626,5,1
24,238,3.11455,0.068885,3,23
25,238,3.0286,0.0911312,4,10
26,202,2.49818,0.055313,3,22
27,253,2.28655,0.023855,2,9
28,193,2.31636,0.0243328,2,16
29,205,2.61818,0.0527778,3,211
30,177,2.46655,0.0545481,3,3
31,190,3.02291,0.122699,5,31
32,210,3.7286,0.141608,5,0
33,210,2.56569,0.0518733,3,38
34,208,3.40447,0.124328,5,1
35,208,3.15587,0.118913,5,1
36,202,3.24909,0.107443,4,13
37,204,2.33273,0.0483242,3,30
38,234,2.16,0,1,227
39,193,3.5966,0.110104,4,1
40,216,2.69673,0.101133,4,4
41,177,2.45236,0.0311388,2,4
42,217,3.48109,0.146245,5,0
43,184,2.45236,0.0311388,2,5
44,194,2.59636,0.106443,5,5
45,204,3.85478,0.112635,4,0
46,202,3.13333,0.0985302,4,1
47,204,3.06205,0.0919169,4,2
48,192,3.79344,0.103241,4,3
49,201,2.16,0,1,7
50,199,3.69333,0.140991,5,1
51,197,2.48727,0.0833333,4,2
52,234,2.50364,0.0653595,3,42
53,210,2.62569,0.0781093,4,8
54,201,2.36945,0.0276243,2,2
55,234,2.43491,0.0537634,3,5
56,168,2.45236,0.0311388,2,10
57,203,2.82545,0.0868726,4,7
58,256,2.41818,0.0571429,3,567
59,206,2.96364,0.0957055,4,73
60,215,2.34109,0.0465983,3,60
61,206,2.86884,0.0821366,4,1
62,188,3.18836,0.0992245,4,6
63,224,2.38909,0.0707763,4,32
64,215,2.39091,0.0547529,3,61
65,179,2.36945,0.0276243,2,10
66,189,2.34109,0.0465983,3,24
67,178,2.36945,0.0276243,2,5
68,203,2.34109,0.0465983,3,81
69,172,2.45236,0.0311388,2,4
70,228,2.43491,0.0537634,3,3
71,242,2.28655,0.023855,2,10
72,207,2.37273,0.0475096,3,71
73,218,2.36945,0.0276243,2,7
74,243,2.712,0.0589971,3,41
75,266,2.792,0.0859599,4,85
76,222,2.41818,0.0571429,3,33
77,248,2.16,0,1,136
78,267,2.712,0.0589971,3,53
79,176,2.712,0.0589971,3,12
80,222,3.0286,0.0911312,4,18
81,213,2.49382,0.0809274,4,33
82,206,2.48727,0.0833333,4,12
83,186,3.05927,0.133127,5,2
84,218,2.49818,0.055313,3,147
85,196,2.42909,0.0284431,2,43
86,230,3.61405,0.142072,5,1
87,218,2.33273,0.0483242,3,152
88,199,4.15151,0.158716,5,1
89,206,2.33273,0.0483242,3,32
90,206,2.16,0,1,73
91,212,2.82193,0.0569566,3,10
92,237,2.43491,0.0537634,3,31
93,198,2.66569,0.0769372,4,7
94,204,2.79115,0.0969299,4,0
95,192,2.38909,0.0707763,4,2
96,185,3.99296,0.118299,4,1
97,215,2.80969,0.112856,5,1
98,200,3.38727,0.114332,4,1
99,192,3.7286,0.141608,5,1
100,223,2.38909,0.0707763,4,38
