session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,4.27078,0.182211,6,0
2,252,4.09673,0.188621,6,0
3,236,4.29018,0.218681,7,0
4,251,4.09673,0.188621,6,0
5,220,4.52156,0.207973,7,0
6,222,4.29018,0.218681,7,0
7,176,4.29127,0.216083,7,0
8,228,4.38533,0.215429,7,0
9,217,4.21636,0.198361,6,0
10,261,4.00909,0.166893,5,0
11,248,4.17927,0.197947,6,0
12,302,4.13382,0.189127,6,0
13,257,4.38533,0.215429,7,0
14,254,4.40582,0.245543,8,0
15,272,4.17927,0.197947,6,0
16,203,4.42642,0.210965,7,0
17,193,4.38473,0.226406,7,0
18,199,4.13673,0.186797,6,0
19,201,4.3458,0.143587,5,0
20,255,4.17091,0.189625,6,0
21,234,4.13091,0.191461,6,0
22,235,4.09382,0.190975,6,0
23,198,4.23369,0.18166,6,0
24,291,4.42642,0.210965,7,0
25,256,4.38642,0.212889,7,0
26,218,4.29018,0.218681,7,0
27,258,4.38473,0.226406,7,0
28,243,4.13382,0.189127,6,0
29,207,4.13382,0.189127,6,0
30,238,4.13673,0.186797,6,0
31,239,4.34473,0.22849,7,0
32,246,4.17091,0.189625,6,0
33,250,4.27078,0.182211,6,0
34,237,4.36484,0.179534,6,0
35,229,4.17091,0.189625,6,0
36,204,4.55018,0.254535,8,0
37,264,4.29018,0.218681,7,0
38,244,4.38642,0.212889,7,0
39,193,4.42642,0.210965,7,0
40,225,4.09382,0.190975,6,0
41,179,3.94691,0.154782,5,0
42,230,4.12545,0.171,5,0
43,192,3.79418,0.120759,4,0
44,246,4.32909,0.219236,7,0
45,204,4.42642,0.210965,7,0
46,207,4.23369,0.18166,6,0
47,226,4.23078,0.183933,6,0
48,192,4.3458,0.143587,5,0
49,225,4.26787,0.184465,6,0
50,219,4.29018,0.218681,7,0
51,224,4.09382,0.190975,6,0
52,285,4.28909,0.22128,7,0
53,217,4.54205,0.239859,8,0
54,216,4.18218,0.195635,6,0
55,238,4.13673,0.186797,6,0
56,187,3.94691,0.154782,5,0
57,208,3.98218,0.155237,5,0
58,315,3.93745,0.158847,5,0
59,226,3.93745,0.158847,5,0
60,271,4.27078,0.182211,6,0
61,223,4.20811,0.148976,5,0
62,214,3.94691,0.154782,5,0
63,225,4.38364,0.228951,7,0
64,256,4.26473,0.204638,6,0
65,212,4.07987,0.150807,5,0
66,246,4.18218,0.195635,6,0
67,199,4.23369,0.18166,6,0
68,208,3.94691,0.154782,5,0
69,231,4.09964,0.186269,6,0
70,251,3.94218,0.156812,5,0
71,253,4.51018,0.256793,8,0
72,261,4.21636,0.198361,6,0
73,220,4.29127,0.216083,7,0
74,258,4.23369,0.18166,6,0
75,305,4.23078,0.183933,6,0
76,281,4.23078,0.183933,6,0
77,290,4.13091,0.191461,6,0
78,315,4.07987,0.150807,5,0
79,192,4.13673,0.186797,6,0
80,242,3.94218,0.156812,5,0
81,267,4.29018,0.218681,7,0
82,225,4.09382,0.190975,6,0
83,186,4.01855,0.162881,5,0
84,261,4.29018,0.218681,7,0
85,268,3.94218,0.156812,5,0
86,245,4.34473,0.22849,7,0
87,256,3.97273,0.159268,5,0
88,198,4.48096,0.220569,7,0
89,212,4.09673,0.188621,6,0
90,211,4.55018,0.254535,8,0
91,252,4.36484,0.179534,6,0
92,237,4.09673,0.188621,6,0
93,259,4.42533,0.213482,7,0
94,215,4.31333,0.193059,6,0
95,214,4.38364,0.228951,7,0
96,185,4.58205,0.237766,8,0
97,221,4.38642,0.212889,7,0
98,257,4.21636,0.198361,6,0
99,225,4.38642,0.212889,7,0
100,277,4.25018,0.220739,7,0
