session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,4.15042,0.151748,5,19
2,198,3.54764,0.0799508,3,43
3,207,2.36945,0.0276243,2,54
4,208,2.52036,0.0620401,3,13
5,194,4.0338,0.0773464,3,3
6,196,2.54182,0.0321888,2,27
7,176,2.56036,0.0610709,3,19
8,220,2.34909,0.0294118,2,14
9,211,2.64182,0.0688231,3,26
10,237,2.62364,0.0623701,3,41
11,201,2.65927,0.100506,4,35
12,186,2.46655,0.0545481,3,26
13,235,2.58545,0.0949367,4,111
14,219,2.53527,0.0344234,2,62
15,271,2.20364,0.019802,2,82
16,203,4.15042,0.151748,5,26
17,193,3.90291,0.156527,5,38
18,199,3.73636,0.0846715,3,23
19,201,4.0338,0.0773464,3,5
20,255,2.66545,0.0920873,4,82
21,208,2.62364,0.0623701,3,25
22,220,2.41818,0.0571429,3,56
23,191,3.99951,0.144745,5,3
24,238,3.61818,0.11005,4,54
25,238,4.05793,0.114523,4,59
26,202,2.54182,0.0321888,2,40
27,253,2.46655,0.0545481,3,47
28,194,2.16,0,1,5
29,205,3.36,0.0714286,3,25
30,192,2.45236,0.0311388,2,47
31,191,2.55455,0.0918149,4,16
32,218,2.80387,0.0867631,4,61
33,210,2.66569,0.0769372,4,3
34,209,2.90229,0.0830692,4,42
35,219,2.42909,0.0284431,2,61
36,204,3.64545,0.116708,4,10
37,204,2.52036,0.0620401,3,3
38,234,2.16,0,1,2
39,193,3.99296,0.118299,4,16
40,216,2.69673,0.101133,4,20
41,177,2.45236,0.0311388,2,12
42,223,2.28655,0.023855,2,26
43,184,2.45236,0.0311388,2,12
44,194,2.80364,0.101167,4,49
45,204,3.85478,0.112635,4,24
46,206,2.65951,0.0582473,3,30
47,206,2.66569,0.0769372,4,20
48,192,4.0338,0.0773464,3,3
49,201,2.16,0,1,3
50,192,4.27078,0.182211,6,4
51,204,2.41818,0.0571429,3,21
52,234,2.50364,0.0653595,3,71
53,210,2.73042,0.0870995,4,38
54,201,2.36945,0.0276243,2,15
55,234,2.43491,0.0537634,3,47
56,168,2.45236,0.0311388,2,16
57,204,3.75636,0.116167,4,26
58,256,2.72824,0.0687757,3,19
59,206,3.73636,0.0846715,3,17
60,227,2.49818,0.055313,3,65
61,206,2.86884,0.0821366,4,30
62,196,3.36,0.0714286,3,46
63,225,2.78364,0.130634,5,24
64,215,2.62182,0.0998613,4,22
65,179,2.36945,0.0276243,2,7
66,203,2.20364,0.019802,2,69
67,178,2.36945,0.0276243,2,10
68,203,2.45236,0.0311388,2,10
69,172,2.45236,0.0311388,2,7
70,229,2.24727,0.038835,3,39
71,252,2.57855,0.0676914,3,28
72,209,2.55455,0.0918149,4,34
73,218,2.56036,0.0610709,3,2
74,249,3.86182,0.150659,5,27
75,272,2.16,0,1,105
76,222,2.41818,0.0571429,3,29
77,248,2.16,0,1,23
78,276,2.45818,0.056213,3,108
79,177,3.61091,0.0805639,3,18
80,222,3.85478,0.112635,4,3
81,213,2.52036,0.0620401,3,6
82,206,2.592,0.0925926,4,22
83,186,3.85491,0.127346,4,17
84,223,2.16,0,1,17
85,196,2.42909,0.0284431,2,25
86,230,4.03587,0.152451,5,18
87,230,2.16,0,1,50
88,198,4.31624,0.190823,6,13
89,206,2.58364,0.0633357,3,7
90,206,2.16,0,1,24
91,227,2.78193,0.0577755,3,46
92,237,2.59855,0.0902603,4,4
93,199,2.80387,0.0867631,4,33
94,204,2.88133,0.125195,5,26
95,192,2.59636,0.106443,5,11
96,185,3.99296,0.118299,4,3
97,215,2.80969,0.112856,5,15
98,200,3.78364,0.122537,4,33
99,209,2.73042,0.0870995,4,53
100,229,2.49818,0.055313,3,64
