,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,502,376,84,254,72,1300,124,200,1754,368,118
ec2-ap-northeast-2,376,1682,264,672,202,3076,320,444,4280,868,264
ec2-ap-south-1,84,264,320,190,68,918,88,126,1294,280,80
ec2-ap-southeast-1,254,672,190,942,152,1996,222,270,2890,648,180
ec2-ap-southeast-2,72,202,68,152,204,710,66,84,906,230,58
ec2-eu-central-1,1300,3076,918,1996,710,12262,984,1338,13646,3022,908
ec2-eu-west-1,124,320,88,222,66,984,364,126,1392,304,106
ec2-sa-east-1,200,444,126,270,84,1338,126,504,1770,420,94
ec2-us-east-1,1754,4280,1294,2890,906,13646,1392,1770,22480,4084,1248
ec2-us-west-1,368,868,280,648,230,3022,304,420,4084,1638,266
ec2-us-west-2,118,264,80,180,58,908,106,94,1248,266,294
