,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,146,30,12,28,8,170,34,208,150,32,10
ec2-ap-northeast-2,30,376,20,62,22,386,52,480,340,92,12
ec2-ap-south-1,12,20,100,20,6,122,20,144,112,20,0
ec2-ap-southeast-1,28,62,20,326,8,330,48,348,268,92,18
ec2-ap-southeast-2,8,22,6,8,90,114,14,134,96,22,2
ec2-eu-central-1,170,386,122,330,114,1268,62,1204,862,220,38
ec2-eu-west-1,34,52,20,48,14,62,120,158,100,36,4
ec2-sa-east-1,208,480,144,348,134,1204,158,1584,988,274,46
ec2-us-east-1,150,340,112,268,96,862,100,988,992,80,20
ec2-us-west-1,32,92,20,92,22,220,36,274,80,190,10
ec2-us-west-2,10,12,0,18,2,38,4,46,20,10,32
