session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.125,3.08267,0.0190311,2,2
2,1.1355,3.25067,0.0217391,2,2
3,1.18557,3.36,0.0238095,2,3
4,1.185,3.00267,0.0168739,2,1
5,1.19697,3.26133,0.0188062,2,4
6,1.15789,3.25067,0.0217391,2,2
7,1.07673,3.16267,0.0210793,2,2
8,1.032,3.16267,0.0210793,2,1
9,1.27861,2.992,0.0173797,2,6
10,1.13534,3.13067,0.0225724,2,2
11,1.11796,3.14133,0.0195246,2,2
12,1.01786,3.24267,0.0230263,2,0
13,1.04339,3.26133,0.0188062,2,1
14,1.29952,2.88,0,1,23
15,1.10066,3.032,0.0171504,2,2
16,1.00913,2.92267,0.0145985,2,0
17,1.06931,3.24267,0.0230263,2,1
18,1.17662,3.13207,0.0164322,2,3
19,1.02168,3.36,0.0238095,2,0
20,1.02956,3.00267,0.0168739,2,0
21,1.07,3.00267,0.0168739,2,1
22,1.15271,2.992,0.0173797,2,4
23,1.15842,3.00267,0.0168739,2,4
24,1.12857,2.88,0,1,4
25,1.31429,3.00267,0.0168739,2,8
26,1.03854,3.2,0.025,2,2
27,1.07494,3.14133,0.0195246,2,1
28,1.14536,2.92267,0.0145985,2,14
29,1,3.26133,0.0188062,2,0
30,1.16949,3.00267,0.0168739,2,4
31,1.06772,3.08267,0.0190311,2,2
32,1,2.88,0,1,12
33,1.06395,3.16267,0.0210793,2,1
34,1.16923,3.08267,0.0190311,2,2
35,1.21081,3.13207,0.0164322,2,3
36,1.11989,3.14133,0.0195246,2,2
37,1.02625,3.36,0.0238095,2,1
38,1.16814,3.2,0.025,2,4
39,1.17188,3.032,0.0171504,2,3
40,1.02459,2.92267,0.0145985,2,4
41,1.16372,3.36,0.0238095,2,3
42,1.0884,3.14133,0.0195246,2,1
43,1.12152,3.032,0.0171504,2,2
44,1.12367,3.13207,0.0164322,2,4
45,1.03333,3.6,0.0222222,2,1
46,1.14213,2.992,0.0173797,2,8
47,1.03822,2.88,0,1,4
48,1.2113,3.34147,0.018036,2,5
49,1.17067,3.00267,0.0168739,2,2
50,1.03902,3.08267,0.0190311,2,1
51,1.22105,3.08267,0.0190311,2,4
52,1.06533,3.36,0.0238095,2,1
53,1.13,2.92267,0.0145985,2,6
54,1.20628,2.88,0,1,9
55,1.01629,2.92267,0.0145985,2,0
56,1.01583,3.08267,0.0190311,2,0
57,1.12903,3.032,0.0171504,2,3
58,1.09611,2.92267,0.0145985,2,2
59,1.05598,2.88,0,1,2
60,1.0916,2.88,0,1,2
61,1.25366,2.992,0.0173797,2,7
62,1.29396,3.34147,0.018036,2,6
63,1.16667,2.88,0,1,8
64,1.03357,2.992,0.0173797,2,1
65,1.14213,2.992,0.0173797,2,2
66,1.00485,3.032,0.0171504,2,1
67,1.0565,3.16267,0.0210793,2,1
68,1.13265,3.032,0.0171504,2,2
69,1.14099,3.08267,0.0190311,2,3
70,1.10474,2.88,0,1,10
71,1.1995,3.13207,0.0164322,2,7
72,1.08295,3.14133,0.0195246,2,5
73,1.01399,2.88,0,1,2
74,1.11511,2.88,0,1,13
75,1.10178,2.92267,0.0145985,2,1
76,1.15534,2.88,0,1,7
77,1.17215,2.92267,0.0145985,2,3
78,1.13734,3.14133,0.0195246,2,3
79,1.21728,2.92267,0.0145985,2,4
80,1.01496,2.92267,0.0145985,2,1
81,1.03951,3.36,0.0238095,2,1
82,1.14588,3.08267,0.0190311,2,1
83,1.06433,3.25067,0.0217391,2,1
84,1.29073,2.92267,0.0145985,2,104
85,1.01663,3.08267,0.0190311,2,0
86,1.07447,3.36,0.0238095,2,1
87,1.26184,3.032,0.0171504,2,3
88,1.16173,2.88,0,1,2
89,1.05322,3.00267,0.0168739,2,1
90,1.15942,2.992,0.0173797,2,3
91,1.09524,2.88,0,1,2
92,1.16,3.26133,0.0188062,2,2
93,1.13776,3.00267,0.0168739,2,3
94,1.31806,3.26133,0.0188062,2,30
95,1.18329,3.13207,0.0164322,2,2
96,1.1,3.13067,0.0225724,2,2
97,1.13274,3.032,0.0171504,2,5
98,1.07422,2.992,0.0173797,2,4
99,1.00922,3.00267,0.0168739,2,0
100,1.1289,3.032,0.0171504,2,3
101,1.11141,3.032,0.0171504,2,2
102,1.12,2.992,0.0173797,2,2
103,1.0595,2.992,0.0173797,2,1
104,1.10742,3.08267,0.0190311,2,2
105,1.15424,3.13207,0.0164322,2,3
106,1.13483,3.6,0.0222222,2,5
107,1,3.6,0.0222222,2,0
108,1.16878,3.36,0.0238095,2,3
109,1.02012,3.00267,0.0168739,2,1
110,1.07212,3.032,0.0171504,2,2
111,1.12256,3.25067,0.0217391,2,1
112,1.11133,3.08267,0.0190311,2,2
113,1.15233,2.992,0.0173797,2,3
114,1.08696,2.88,0,1,12
115,1.01501,3.2,0.025,2,1
116,1.12136,3.00267,0.0168739,2,2
117,1.00899,2.88,0,1,6
118,1.18605,3.16267,0.0210793,2,3
119,1.18049,2.92267,0.0145985,2,6
120,1.07362,3.14133,0.0195246,2,3
121,1.1066,3.14133,0.0195246,2,2
122,1.17925,2.992,0.0173797,2,3
123,1.18133,2.88,0,1,7
124,1.13131,3.13207,0.0164322,2,4
125,1.06731,2.88,0,1,2
126,1.13333,2.992,0.0173797,2,3
127,1.06015,3.36,0.0238095,2,1
128,1.19459,3.13207,0.0164322,2,6
129,1.11921,2.992,0.0173797,2,4
130,1.09211,3.00267,0.0168739,2,3
131,1.13992,3.16267,0.0210793,2,3
132,1.16495,2.88,0,1,3
133,1.0404,3.00267,0.0168739,2,1
134,1.04455,3.26133,0.0188062,2,1
135,1.12766,2.92267,0.0145985,2,4
136,1.09132,2.88,0,1,7
137,1.13904,2.992,0.0173797,2,2
138,1.1636,3.00267,0.0168739,2,5
139,1.19537,3.36,0.0238095,2,4
140,1.17436,3.36,0.0238095,2,2
141,1.09324,3.2,0.025,2,2
142,1.24457,3.14133,0.0195246,2,4
143,1.10909,2.992,0.0173797,2,3
144,1.06089,2.88,0,1,2
145,1.19186,3.16267,0.0210793,2,2
146,1.16514,3.14133,0.0195246,2,3
147,1.08333,3.36,0.0238095,2,1
148,1.20331,3.00267,0.0168739,2,75
149,1.02137,3.13207,0.0164322,2,1
150,1.1995,3.032,0.0171504,2,7
151,1.04619,2.88,0,1,19
152,1.07729,2.88,0,1,5
153,1.33083,3.36,0.0238095,2,70
154,1.17343,2.92267,0.0145985,2,2
155,1.40609,3.00267,0.0168739,2,5
156,1.1604,3.93867,0.0250508,2,3
157,1.16062,3.032,0.0171504,2,2
158,1.10194,2.992,0.0173797,2,2
159,1.17935,3.26133,0.0188062,2,2
160,1.10451,3.16267,0.0210793,2,2
161,1.21925,2.992,0.0173797,2,4
162,1.0404,3.36,0.0238095,2,0
163,1.17923,3.24267,0.0230263,2,4
164,1.09547,3.13067,0.0225724,2,3
165,1.17391,2.992,0.0173797,2,3
166,1.07981,3.08267,0.0190311,2,1
167,1.18402,3.06133,0.0200348,2,3
168,1.24943,3.16267,0.0210793,2,4
169,1.1164,3.36,0.0238095,2,1
170,1.12346,3.14133,0.0195246,2,2
171,1.11488,2.92267,0.0145985,2,2
172,1.02513,2.88,0,1,2
173,1.11765,3.00267,0.0168739,2,2
174,1.15385,3.08267,0.0190311,2,2
175,1.03279,3.14133,0.0195246,2,1
176,1.082,2.92267,0.0145985,2,4
177,1.09324,3.00267,0.0168739,2,2
178,1.11458,4.27733,0.0274314,2,1
179,1.14026,3.36,0.0238095,2,3
180,1.18041,3.13207,0.0164322,2,3
181,1.15496,3.25067,0.0217391,2,3
182,1.10149,3.36,0.0238095,2,1
183,1.17284,3.06133,0.0200348,2,4
184,1.04036,2.88,0,1,8
185,1.06508,3.13067,0.0225724,2,3
186,1.05543,3.2,0.025,2,2
187,1.14713,3.16267,0.0210793,2,2
188,1.10155,3.14133,0.0195246,2,2
189,1,3.08267,0.0190311,2,0
190,1.19072,2.88,0,1,5
191,1.22368,2.88,0,1,4
192,1.15473,2.92267,0.0145985,2,2
193,1.12685,3.06133,0.0200348,2,3
194,1.03951,2.92267,0.0145985,2,1
195,1.14724,3.25067,0.0217391,2,5
196,1.11991,3.26133,0.0188062,2,2
197,1.13953,3.14133,0.0195246,2,4
198,1.07708,3.25067,0.0217391,2,3
199,1.21693,3.13207,0.0164322,2,2
200,1.08617,2.88,0,1,24
201,1.20526,3.14133,0.0195246,2,4
202,1.14191,3.34147,0.018036,2,4
203,1.09337,2.92267,0.0145985,2,3
204,1.1039,2.88,0,1,3
205,1.26062,3.032,0.0171504,2,4
206,1.08046,3.16267,0.0210793,2,1
207,1.29714,3.13207,0.0164322,2,5
208,1.18981,2.88,0,1,2
209,1.12422,2.92267,0.0145985,2,101
210,1.17662,3.13207,0.0164322,2,5
211,1.21538,3.34147,0.018036,2,5
212,1.10188,3.26133,0.0188062,2,1
213,1.01523,2.88,0,1,2
214,1.20705,3.06133,0.0200348,2,7
215,1.22453,2.992,0.0173797,2,7
216,1.02727,3.08267,0.0190311,2,0
217,1.12626,3.00267,0.0168739,2,3
218,1.01481,3.36,0.0238095,2,1
219,1.16807,2.92267,0.0145985,2,3
220,1.0438,2.88,0,1,2
221,1.11609,2.92267,0.0145985,2,1
222,1.1875,2.992,0.0173797,2,4
223,1.00442,2.88,0,1,2
224,1.23124,2.992,0.0173797,2,6
225,1.13477,3.08267,0.0190311,2,1
226,1.03893,3.24267,0.0230263,2,1
227,1.12121,3.13067,0.0225724,2,3
228,1.17172,2.992,0.0173797,2,7
229,1.26835,2.92267,0.0145985,2,7
230,1.22326,3.13207,0.0164322,2,29
231,1.22051,3.36,0.0238095,2,5
232,1.16,3.08267,0.0190311,2,2
233,1.23499,2.992,0.0173797,2,3
234,1.04938,2.92267,0.0145985,2,1
235,1.03874,3.6,0.0222222,2,1
236,1.06533,3.36,0.0238095,2,2
237,1.23502,3.032,0.0171504,2,2
238,1.10724,3.00267,0.0168739,2,1
239,1.1491,2.992,0.0173797,2,2
240,1.08115,3.00267,0.0168739,2,2
241,1.05591,3.24267,0.0230263,2,1
242,1.07362,2.92267,0.0145985,2,12
243,1.12998,3.2,0.025,2,3
244,1.08776,2.88,0,1,4
245,1.08556,2.92267,0.0145985,2,1
246,1.10354,3.6,0.0222222,2,1
247,1.07161,3.08267,0.0190311,2,1
248,1.08969,2.992,0.0173797,2,2
249,1.04969,3.03867,0.0193067,2,1
250,1.02703,3.032,0.0171504,2,1
251,1.17085,2.92267,0.0145985,2,5
252,1.09732,3.76027,0.0207078,2,2
253,1.07653,3.00267,0.0168739,2,2
254,1.20896,2.92267,0.0145985,2,4
255,1.19861,3.13207,0.0164322,2,3
256,1.40206,3.36,0.0238095,2,8
257,1.06829,3.26133,0.0188062,2,1
258,1.12848,3.25067,0.0217391,2,3
259,1.1699,2.92267,0.0145985,2,15
260,1.02404,2.92267,0.0145985,2,1
261,1.08333,2.992,0.0173797,2,3
262,1.16873,3.26133,0.0188062,2,4
263,1.01852,3.25067,0.0217391,2,1
264,1.28426,2.992,0.0173797,2,4
265,1.17778,3.25067,0.0217391,2,3
266,1.04401,2.992,0.0173797,2,1
267,1.08608,3.13067,0.0225724,2,5
268,1.18673,3.13207,0.0164322,2,4
269,1.1012,3.14133,0.0195246,2,2
270,1,2.92267,0.0145985,2,0
271,1.13228,3.14133,0.0195246,2,2
272,1.03871,2.88,0,1,3
273,1.14348,2.992,0.0173797,2,2
274,1.03248,2.88,0,1,4
275,1.00493,3.00267,0.0168739,2,0
276,1.18886,3.26133,0.0188062,2,3
277,1.15418,3.00267,0.0168739,2,4
278,1.16021,3.6,0.0222222,2,3
279,1.17757,3.13207,0.0164322,2,2
280,1.06286,3.25067,0.0217391,2,0
281,1.19072,3.032,0.0171504,2,36
282,1.2602,3.13207,0.0164322,2,3
283,1.16146,3.13207,0.0164322,2,3
284,1.17778,3.34147,0.018036,2,4
285,1.07589,2.88,0,1,4
286,1.21829,3.36,0.0238095,2,3
287,1.16338,3.14133,0.0195246,2,2
288,1.17241,2.992,0.0173797,2,11
289,1.07143,3.032,0.0171504,2,1
290,1.18182,3.16267,0.0210793,2,3
291,1.21333,3.032,0.0171504,2,7
292,1.0916,2.992,0.0173797,2,2
293,1.12299,2.92267,0.0145985,2,3
294,1.13333,3.06133,0.0200348,2,2
295,1.09239,3.36,0.0238095,2,1
296,1.31175,3.14133,0.0195246,2,6
297,1.19303,3.13207,0.0164322,2,5
298,1.06996,2.88,0,1,4
299,1.07463,2.992,0.0173797,2,2
300,1.09977,3.032,0.0171504,2,2
301,1.05701,3.25067,0.0217391,2,1
302,1.20524,3.13207,0.0164322,2,5
303,1.14588,2.92267,0.0145985,2,5
304,1.23433,2.88,0,1,5
305,1.17607,2.92267,0.0145985,2,6
306,1.13712,3.6,0.0222222,2,8
307,1.06192,3.24267,0.0230263,2,0
308,1.12152,3.26133,0.0188062,2,2
309,1.20994,2.92267,0.0145985,2,3
310,1.08163,3.00267,0.0168739,2,2
311,1.07792,2.92267,0.0145985,2,0
312,1.07813,2.992,0.0173797,2,2
313,1.19192,3.13067,0.0225724,2,5
314,1.00461,3.032,0.0171504,2,0
315,1.02513,2.92267,0.0145985,2,3
316,1.07177,3.24267,0.0230263,2,1
317,1.2153,3.13207,0.0164322,2,4
318,1.08718,2.88,0,1,5
319,1.185,3.032,0.0171504,2,3
320,1.11818,3.032,0.0171504,2,1
321,1.22444,2.92267,0.0145985,2,34
322,1.08031,3.032,0.0171504,2,2
323,1.09164,3.36,0.0238095,2,1
324,1.288,3.032,0.0171504,2,7
325,1.20267,3.13207,0.0164322,2,3
326,1.13857,2.92267,0.0145985,2,14
327,1.16986,3.13207,0.0164322,2,2
328,1.03756,2.88,0,1,4
329,1.11979,3.26133,0.0188062,2,2
330,1.11765,3.00267,0.0168739,2,1
331,1.04545,2.88,0,1,2
332,1.18848,3.36,0.0238095,2,3
333,1.2108,3.36,0.0238095,2,4
334,1.09424,3.032,0.0171504,2,1
