session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.18234,2.28655,0.023855,2,1
2,1.10298,2.49818,0.055313,3,1
3,1.10825,2.79029,0.0562991,3,1
4,1.19747,2.34109,0.0465983,3,3
5,1.19022,2.84011,0.0629937,3,2
6,1.08772,2.49818,0.055313,3,0
7,1.04604,3.17673,0.0732601,3,0
8,1.032,2.36945,0.0276243,2,1
9,1.1791,2.33273,0.0483242,3,3
10,1.11083,2.41818,0.0571429,3,2
11,1.10188,2.37273,0.0475096,3,1
12,1.025,2.45236,0.0311388,2,0
13,1.00924,2.33273,0.0483242,3,0
14,1.22705,2.28655,0.023855,2,1
15,1.07834,2.56569,0.0518733,3,1
16,1,2.16,0,1,15
17,1.06107,2.34109,0.0465983,3,2
18,1.03636,2.65951,0.0582473,3,0
19,1.01223,2.45236,0.0311388,2,1
20,1.02956,2.28655,0.023855,2,1
21,1.04,2.28655,0.023855,2,6
22,1.07882,2.69647,0.0501665,3,1
23,1.0099,2.592,0.0617284,3,0
24,1,2.36945,0.0276243,2,1
25,1.06436,2.65951,0.0582473,3,1
26,1.07059,2.62884,0.0257286,2,2
27,1.07494,2.37273,0.0475096,3,5
28,1.03535,2.59733,0.0526415,3,0
29,1,2.54909,0.0271041,2,1
30,1.08717,2.34109,0.0465983,3,2
31,1.0316,2.33273,0.0483242,3,0
32,1.00924,2.33273,0.0483242,3,0
33,1.03488,2.56036,0.0610709,3,0
34,1.09231,2.48473,0.0614664,3,1
35,1.09189,2.72278,0.0595647,3,0
36,1.10354,2.57855,0.0676914,3,1
37,1.02625,2.49818,0.055313,3,1
38,1.09735,2.50364,0.0653595,3,2
39,1.16446,2.47187,0.0450156,3,2
40,1.02459,2.20364,0.019802,2,7
41,1.13717,2.42909,0.0284431,2,2
42,1.04598,2.49818,0.055313,3,1
43,1.05641,2.28655,0.023855,2,1
44,1.06823,2.47187,0.0450156,3,4
45,1,2.33273,0.0483242,3,1
46,1.09146,2.36945,0.0276243,2,1
47,1.03822,2.16,0,1,9
48,1.07614,2.72278,0.0595647,3,1
49,1.08533,2.56569,0.0518733,3,1
50,1.02451,2.37273,0.0475096,3,1
51,1.10526,2.72278,0.0595647,3,2
52,1.06091,2.37273,0.0475096,3,1
53,1.075,3.36,0.0714286,3,1
54,1.07623,2.56569,0.0518733,3,2
55,1.16104,2.16,0,1,8
56,1.07317,2.43491,0.0537634,3,0
57,1.07467,2.39091,0.0547529,3,0
58,1.09976,2.33273,0.0483242,3,1
59,1.04071,2.16,0,1,5
60,1.06616,2.33273,0.0483242,3,1
61,1.06829,2.65951,0.0582473,3,0
62,1.06824,2.55733,0.0534649,3,0
63,1.16667,2.16,0,1,7
64,1.03357,2.27636,0.0247604,2,7
65,1.11168,2.86909,0.0659062,3,1
66,1.00485,2.31636,0.0243328,2,4
67,1.05505,2.36945,0.0276243,2,0
68,1.05571,2.42909,0.0284431,2,1
69,1.06838,2.592,0.0617284,3,0
70,1.05542,2.27636,0.0247604,2,1
71,1.06061,2.65951,0.0582473,3,1
72,1.02551,2.65951,0.0582473,3,0
73,1.05985,2.712,0.0589971,3,1
74,1.07692,2.65951,0.0582473,3,1
75,1.07634,2.98909,0.0632603,3,1
76,1.15534,2.16,0,1,13
77,1.21488,2.39091,0.0547529,3,2
78,1.1073,2.62364,0.0623701,3,1
79,1.03457,2.33273,0.0483242,3,1
80,1.10029,2.37273,0.0475096,3,0
81,1.0297,2.37273,0.0475096,3,1
82,1.11933,3.08291,0.0684124,3,1
83,1.02924,2.592,0.0617284,3,0
84,1.19048,2.47187,0.0450156,3,2
85,1,2.56036,0.0610709,3,0
86,1.02145,3.36545,0.0788763,3,1
87,1.13928,3.36,0.0714286,3,1
88,1.09704,2.43491,0.0537634,3,2
89,1.05208,2.52036,0.0620401,3,0
90,1.17984,2.16,0,1,5
91,1.09524,2.16,0,1,3
92,1.12571,2.54909,0.0271041,2,3
93,1.08673,2.33273,0.0483242,3,1
94,1.07027,2.37273,0.0475096,3,1
95,1.08219,2.72278,0.0595647,3,1
96,1.1,2.41818,0.0571429,3,6
