session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1,1.82,0.373626,4,0
2,1.08357,0.98,0.204082,3,0
3,1.48606,1.8126,0.315569,4,1
4,1.00631,0.978667,0.190736,3,0
5,1.02717,1.08,0.277778,4,0
6,1.18605,1.672,0.334928,4,0
7,1.06309,1.02,0.196078,3,0
8,1,1.72,0.337209,4,0
9,1.04778,1.02,0.196078,3,0
10,1.17262,1.8126,0.315569,4,1
11,1.01266,0.978667,0.190736,3,0
12,1.11565,1.672,0.334928,4,0
13,1.01765,1.82,0.373626,4,0
14,1.22878,0.826667,0.129032,3,1
15,1.01724,0.978667,0.190736,3,0
16,1.10714,1.72,0.337209,4,0
17,1.01481,0.978667,0.190736,3,0
18,1.01558,1.8126,0.315569,4,0
19,1.00678,0.978667,0.190736,3,0
20,1.00506,0.978667,0.190736,3,0
21,1.07833,0.978667,0.190736,3,0
22,1.05373,1.072,0.261194,4,1
23,1.24521,1.4046,0.293322,4,0
24,1.04698,1.72,0.337209,4,0
25,1.02062,0.978667,0.190736,3,0
26,1,1.8126,0.315569,4,0
27,1.07963,1.02,0.196078,3,0
28,1,1.02,0.196078,3,0
29,1.01635,0.98,0.204082,3,0
30,1,0.978667,0.190736,3,1
31,1.0316,0.98,0.204082,3,0
32,1.00924,0.98,0.204082,3,0
33,1.03571,0.978667,0.190736,3,0
34,1.05229,1.02,0.196078,3,0
35,1.13592,0.978667,0.190736,3,0
36,1,1.82,0.373626,4,0
37,1.07299,1.12,0.267857,4,0
38,1.03333,0.978667,0.190736,3,0
39,1.11869,1.4126,0.305819,4,1
40,1,1.8126,0.315569,4,0
41,1.01238,0.978667,0.190736,3,0
42,1.03175,1.12,0.267857,4,0
43,1.13774,1.12,0.267857,4,0
44,1.24935,1.8126,0.315569,4,1
45,1,1.72,0.337209,4,0
46,1.06769,0.978667,0.190736,3,1
47,1,1.02,0.196078,3,0
48,1,1.8126,0.315569,4,0
49,1,1.8126,0.315569,4,0
50,1,1.072,0.261194,4,0
51,1,1.8126,0.315569,4,0
52,1.03553,1.02,0.196078,3,1
53,1.16949,1.672,0.334928,4,0
54,1.00959,1.8126,0.315569,4,0
55,1.00522,0.98,0.204082,3,0
56,1.30201,1.72,0.337209,4,0
57,1.0826,1.82,0.373626,4,0
58,1,1.33333,0.22,3,0
59,1.09626,1.02,0.196078,3,0
60,1.08499,1.8126,0.315569,4,0
61,1.02524,1.02,0.196078,3,0
62,1,1.33333,0.22,3,1
63,1.04891,1.2126,0.240805,4,0
64,1.57511,1.8126,0.315569,4,1
65,1.21723,1.48,0.297297,4,0
66,1.05806,0.98,0.204082,3,0
67,1.03947,0.978667,0.190736,3,0
68,1.58768,1.72,0.337209,4,2
69,1,1.02,0.196078,3,0
70,1.07887,0.98,0.204082,3,0
71,1.02235,1.072,0.261194,4,1
72,1.0413,1.072,0.261194,4,0
73,1.01527,0.978667,0.190736,3,0
74,1,1.072,0.261194,4,0
