session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1,1.59333,0.284519,3,7
2,1.08357,0.98,0.204082,3,97
3,1.43825,0.92,0.108696,2,337
4,1.00631,0.885333,0.105422,2,12
5,1.02717,0.88,0.113636,2,38
6,1.17276,0.92,0.108696,2,164
7,1.06309,0.92,0.108696,2,67
8,1,1.52667,0.253275,3,6
9,1.04778,0.92,0.108696,2,48
10,1,1.18667,0.123596,2,6
11,1.01266,0.885333,0.105422,2,19
12,1.11565,1.48533,0.251346,3,110
13,1.01765,1.82,0.373626,4,25
14,1.02952,1.33333,0.22,3,29
15,1.01724,0.885333,0.105422,2,24
16,1.03571,0.773333,0.0689655,2,48
17,1.01481,0.978667,0.190736,3,18
18,1.01039,1.01793,0.0956186,2,18
19,1,0.885333,0.105422,2,6
20,1,0.885333,0.105422,2,6
21,1.02611,0.885333,0.105422,2,36
22,1.04179,1.33333,0.22,3,49
23,1.24521,1.4046,0.293322,4,204
24,1.04698,1.52667,0.253275,3,49
25,1.02062,0.885333,0.105422,2,30
26,1,1.62193,0.23511,3,6
27,1,1.18667,0.123596,2,6
28,1,0.92,0.108696,2,6
29,1.01635,0.88,0.113636,2,24
30,1,0.978667,0.190736,3,7
31,1.0316,0.88,0.113636,2,49
32,1,0.72,0,1,6
33,1.03571,0.885333,0.105422,2,43
34,1.05229,1.02,0.196078,3,55
35,1.13592,0.978667,0.190736,3,133
36,1,1.59333,0.284519,3,7
37,1.07299,0.92,0.108696,2,67
38,1.03333,0.978667,0.190736,3,37
39,1.11869,1.4126,0.305819,4,127
40,1,1.62193,0.23511,3,7
41,1.01238,0.885333,0.105422,2,18
42,1.03175,0.92,0.108696,2,37
43,1,0.72,0,1,6
44,1,1.33333,0.22,3,6
45,1,1.52667,0.253275,3,8
46,1.06769,0.978667,0.190736,3,72
47,1,0.72,0,1,7
48,1,1.62193,0.23511,3,8
49,1,1.8126,0.315569,4,7
50,1,0.885333,0.105422,2,7
51,1,1.8126,0.315569,4,8
52,1.01523,0.72,0,1,24
53,1.14915,0.92,0.108696,2,137
54,1,1.01793,0.0956186,2,6
55,1.00522,0.72,0,1,13
56,1.10738,1.33333,0.22,3,103
57,1.0649,0.72,0,1,82
58,1,1.18667,0.123596,2,6
59,1.01604,0.72,0,1,24
60,1.08499,1.62193,0.23511,3,99
61,1.02524,1.02,0.196078,3,31
62,1,1.33333,0.22,3,6
63,1.03804,1.01793,0.0956186,2,48
64,1.54936,1.52667,0.253275,3,402
65,1.21723,1.18667,0.123596,2,178
66,1.05806,0.98,0.204082,3,60
67,1.03947,0.885333,0.105422,2,42
68,1.54028,1.41927,0.249894,3,358
69,1,0.92,0.108696,2,7
70,1.0338,0.98,0.204082,3,43
71,1.02235,0.885333,0.105422,2,31
72,1.0413,0.885333,0.105422,2,49
73,1,0.885333,0.105422,2,6
74,1,0.885333,0.105422,2,7
75,1.03794,0.92,0.108696,2,49
