session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.05128,0.72,0,1,0
2,1.13928,0.88,0.113636,2,0
3,1.43825,0.773333,0.0689655,2,0
4,1.00631,0.885333,0.105422,2,0
5,1.02717,0.88,0.113636,2,0
6,1.13289,0.885333,0.105422,2,0
7,1.06309,0.92,0.108696,2,1
8,1.02312,0.92,0.108696,2,0
9,1.04778,0.92,0.108696,2,0
10,1,1.18667,0.123596,2,0
11,1.01266,0.885333,0.105422,2,0
12,1.09524,0.885333,0.105422,2,0
13,1.05882,1.01793,0.0956186,2,0
14,1.09594,0.773333,0.0689655,2,0
15,1.01724,0.885333,0.105422,2,0
16,1.03571,0.773333,0.0689655,2,0
17,1.03704,0.885333,0.105422,2,1
18,1.01039,1.01793,0.0956186,2,0
19,1,0.885333,0.105422,2,0
20,1,0.885333,0.105422,2,0
21,1.02611,0.885333,0.105422,2,0
22,1.05373,0.885333,0.105422,2,0
23,1.42146,1.48653,0.148892,2,0
24,1.08054,0.92,0.108696,2,0
25,1.02062,0.885333,0.105422,2,0
26,1.05701,1.01793,0.0956186,2,0
27,1,1.18667,0.123596,2,0
28,1,0.92,0.108696,2,0
29,1.01635,0.88,0.113636,2,0
30,1.11622,0.885333,0.105422,2,0
31,1.0316,0.88,0.113636,2,0
32,1,0.72,0,1,0
33,1.03571,0.885333,0.105422,2,0
34,1.08497,0.773333,0.0689655,2,1
35,1.15534,0.885333,0.105422,2,0
36,1.07084,0.72,0,1,0
37,1.07299,0.92,0.108696,2,0
38,1.04667,0.885333,0.105422,2,0
39,1.1365,0.72,0,1,0
40,1.05085,1.18667,0.123596,2,1
41,1.01238,0.885333,0.105422,2,0
42,1.03175,0.92,0.108696,2,0
43,1,0.72,0,1,0
44,1.02597,1.18667,0.123596,2,0
45,1.02007,0.92,0.108696,2,0
46,1.09846,0.885333,0.105422,2,0
47,1,0.72,0,1,0
48,1.0733,1.01793,0.0956186,2,0
49,1.02305,0.72,0,1,0
50,1,0.885333,0.105422,2,0
