session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.07955,2.16,0,1,0
2,1.18203,2.16,0,1,1
3,1.18203,2.16,0,1,0
4,1.37852,2.16,0,1,4
5,1.11429,2.16,0,1,0
6,1.16043,2.16,0,1,1
7,1.12429,2.16,0,1,0
8,1.17439,2.16,0,1,1
9,1.24378,2.16,0,1,1
10,1.22546,2.16,0,1,2
11,1.25779,2.16,0,1,0
12,1.12468,2.16,0,1,0
13,1.24031,2.16,0,1,2
14,1.20879,2.16,0,1,0
15,1.3067,2.16,0,1,1
16,1.35427,2.16,0,1,5
17,1.1375,2.16,0,1,1
18,1.22959,2.16,0,1,0
19,1.3,2.16,0,1,0
20,1.295,2.16,0,1,2
21,1.22039,2.16,0,1,1
22,1.19851,2.16,0,1,0
23,1.1589,2.16,0,1,0
24,1.2551,2.16,0,1,0
25,1.26254,2.16,0,1,2
26,1.20163,2.16,0,1,1
27,1.21798,2.16,0,1,0
28,1.30287,2.16,0,1,0
29,1.15633,2.16,0,1,0
30,1.17847,2.16,0,1,0
31,1.18765,2.16,0,1,1
32,1.1975,2.16,0,1,3
33,1.27248,2.16,0,1,1
34,1.2046,2.16,0,1,0
35,1.21798,2.16,0,1,0
36,1.29124,2.16,0,1,0
37,1.35427,2.16,0,1,3
38,1.11299,2.16,0,1,0
39,1.20436,2.16,0,1,1
40,1.24282,2.16,0,1,0
41,1.15584,2.16,0,1,1
42,1.1975,2.16,0,1,1
43,1.28084,2.16,0,1,1
44,1.18701,2.16,0,1,0
45,1.11911,2.16,0,1,0
46,1.15364,2.16,0,1,0
47,1.19209,2.16,0,1,1
48,1.21138,2.16,0,1,0
49,1.0771,2.16,0,1,1
50,1.22338,2.16,0,1,2
51,1.25,2.16,0,1,1
52,1.18041,2.16,0,1,0
53,1.1533,2.16,0,1,0
54,1.1975,2.16,0,1,2
55,1.15426,2.16,0,1,2
56,1.16582,2.16,0,1,0
57,1.23214,2.16,0,1,0
58,1.17439,2.16,0,1,1
59,1.14854,2.16,0,1,1
60,1.13636,2.16,0,1,0
61,1.18765,2.16,0,1,2
62,1.21558,2.16,0,1,2
63,1.18038,2.16,0,1,1
64,1.24116,2.16,0,1,0
65,1.3475,2.16,0,1,5
66,1.26031,2.16,0,1,0
67,1.18765,2.16,0,1,1
68,1.05442,2.16,0,1,1
69,1.30151,2.16,0,1,3
70,1.20321,2.16,0,1,1
71,1.21798,2.16,0,1,0
72,1.23515,2.16,0,1,0
73,1.20519,2.16,0,1,2
74,1.13247,2.16,0,1,1
75,1.18701,2.16,0,1,1
76,1.26975,2.16,0,1,2
77,1.20519,2.16,0,1,0
78,1.18396,2.16,0,1,0
79,1.2449,2.16,0,1,0
80,1.21134,2.16,0,1,0
81,1.20621,2.16,0,1,1
82,1.18821,2.16,0,1,0
83,1.12567,2.16,0,1,0
84,1.34737,2.16,0,1,0
85,1.219,2.16,0,1,0
86,1.19629,2.16,0,1,2
87,1.22438,2.16,0,1,0
88,1.29381,2.16,0,1,0
89,1.1975,2.16,0,1,2
90,1.26975,2.16,0,1,2
91,1.1253,2.16,0,1,0
92,1.25,2.16,0,1,0
93,1.1253,2.16,0,1,0
94,1.14796,2.16,0,1,0
95,1.2766,2.16,0,1,3
96,1.18203,2.16,0,1,2
97,1.23529,2.16,0,1,0
98,1.09297,2.16,0,1,0
99,1.18391,2.16,0,1,0
100,1.07483,2.16,0,1,0
