session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.25909,4.34364,0.231059,7,0
2,1.13239,4.09018,0.170697,5,0
3,1.28132,4.17927,0.197947,6,0
4,1.0665,4.25636,0.196497,6,0
5,1.05974,4.38364,0.228951,7,0
6,1.02941,4.12545,0.171,5,0
7,1.12994,4.42364,0.22688,7,0
8,1.12262,4.12545,0.171,5,0
9,1.19154,4.21927,0.19607,6,0
10,1.03714,4.30182,0.204987,6,0
11,1.37394,4.08545,0.172675,5,0
12,1.14545,4.21636,0.198361,6,0
13,1.07752,4.05273,0.156124,5,0
14,1.21154,4.26182,0.206911,6,0
15,1.3067,4.26182,0.206911,6,0
16,1.03015,4.30182,0.204987,6,0
17,1.0875,4.05273,0.156124,5,0
18,1.30102,4.38364,0.228951,7,0
19,1.25588,4.25636,0.196497,6,0
20,1.09,4.30182,0.204987,6,0
21,1.09642,4.30182,0.204987,6,0
22,1.20347,4.38364,0.228951,7,0
23,1.19452,4.12545,0.171,5,0
24,1.39031,4.21636,0.198361,6,0
25,1.13569,4.30182,0.204987,6,0
26,1.09264,4.30182,0.204987,6,0
27,1.21798,3.97636,0.139918,4,0
28,1.42298,4.38364,0.228951,7,0
29,1.21294,4.21636,0.198361,6,0
30,1.18697,4.25636,0.196497,6,0
31,1.13777,4.38473,0.226406,7,0
32,1,4.05273,0.156124,5,0
33,1.21798,4.25636,0.196497,6,0
34,1.27356,4.26182,0.206911,6,0
35,1.21798,4.34727,0.2133,6,0
36,1.39691,4.13091,0.191461,6,0
37,1.05528,4.30182,0.204987,6,0
38,1.10734,4.08909,0.163628,5,0
39,1.14714,4.30182,0.204987,6,0
40,1.30809,4.32909,0.219236,7,0
41,1.05455,4.08545,0.172675,5,0
42,1.1175,4.30182,0.204987,6,0
43,1.43045,4.21636,0.198361,6,0
44,1.25974,4.00909,0.166893,5,0
45,1.18283,4.12545,0.171,5,1
46,1.21294,4.32909,0.219236,7,0
47,1.11299,4.05273,0.156124,5,0
48,1.21138,4.16182,0.178244,5,0
49,1.18594,4.17091,0.189625,6,0
50,1.05455,4.17091,0.189625,6,0
51,1.3067,4.38364,0.228951,7,0
52,1.3067,4.01273,0.15768,5,0
53,1.2783,4.21636,0.198361,6,0
54,1.0875,4.05273,0.156124,5,0
55,1.00798,4.25636,0.196497,6,0
56,1.39031,4.13091,0.191461,6,0
57,1.30102,4.38364,0.228951,7,0
58,1.12262,4.25636,0.196497,6,0
59,1.13263,4.34727,0.2133,6,0
60,1.25909,4.13382,0.189127,6,0
61,1.05463,4.43927,0.235911,7,0
62,1.05455,4.26182,0.206911,6,0
63,1.18987,4.05273,0.156124,5,0
64,1.35048,4.08909,0.163628,5,0
65,1,4.25636,0.196497,6,0
66,1.39691,4.08545,0.172675,5,0
67,1.13777,4.38473,0.226406,7,0
68,1.17687,4.13091,0.191461,6,0
69,1.09296,4.25636,0.196497,6,0
70,1.16578,4.12545,0.171,5,0
71,1.21798,3.97636,0.139918,4,0
72,1.31591,3.97273,0.159268,5,0
73,1.09091,4.25636,0.196497,6,0
74,1.05455,4.38364,0.228951,7,0
75,1.14545,4.01273,0.15768,5,0
76,1.12262,4.25636,0.196497,6,0
77,1.25974,4.13091,0.191461,6,0
78,1.20519,3.97273,0.159268,5,0
79,1.39031,4.26182,0.206911,6,0
80,1.3067,4.38364,0.228951,7,0
81,1.11299,3.97636,0.139918,4,0
82,1.25624,4.55091,0.257291,8,0
83,1.10695,4.25636,0.196497,6,0
84,1.42632,4.26182,0.206911,6,0
85,1.27968,4.55091,0.257291,8,0
86,1.03979,4.16182,0.178244,5,0
87,1.18283,4.08909,0.163628,5,0
88,1.3067,4.13091,0.191461,6,0
89,1.0875,4.08909,0.163628,5,0
90,1.14441,4.08909,0.163628,5,0
91,1.13239,4.21927,0.19607,6,0
92,1.39691,4.08545,0.172675,5,0
93,1.13239,4.13382,0.189127,6,0
94,1.15306,4.30182,0.204987,6,0
95,1.13239,4.21927,0.19607,6,0
96,1.04965,4.09018,0.170697,5,0
97,1.20321,4.38364,0.228951,7,0
98,1.17687,4.17636,0.200261,6,0
99,1.17816,4.08909,0.163628,5,0
100,1.25624,4.17091,0.189625,6,0
