session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.23636,2.16,0,1,9
2,1.1253,2.28655,0.023855,2,9
3,1.1844,2.16,0,1,9
4,1.04604,3.61091,0.0805639,3,6
5,1.04675,3.36,0.0714286,3,7
6,1.02941,3.91564,0.13373,4,7
7,1.12429,2.16,0,1,8
8,1.07357,3.36,0.0714286,3,7
9,1.16169,2.43491,0.0537634,3,9
10,1.03714,3.81091,0.128817,4,6
11,1.36544,2.16,0,1,10
12,1.12468,2.16,0,1,7
13,1.07752,3.24,0.037037,2,6
14,1.20879,2.16,0,1,7
15,1.20619,2.16,0,1,7
16,1.00503,3.61818,0.11005,4,7
17,1.0825,2.54182,0.0321888,2,7
18,1.27551,2.16,0,1,8
19,1.21471,2.20364,0.019802,2,7
20,1.0875,3.61818,0.11005,4,7
21,1.09642,3.36,0.0714286,3,6
22,1.16129,2.16,0,1,8
23,1.1589,2.16,0,1,8
24,1.25765,2.16,0,1,10
25,1.08555,3.36,0.0714286,3,7
26,1.09264,3.36,0.0714286,3,7
27,1.21798,2.16,0,1,7
28,1.40731,2.16,0,1,9
29,1.15633,2.16,0,1,8
30,1.17847,2.16,0,1,7
31,1.12589,2.36945,0.0276243,2,9
32,1,3.73636,0.0846715,3,7
33,1.17984,3.36,0.0714286,3,6
34,1.25057,2.16,0,1,9
35,1.21798,2.16,0,1,8
36,1.26546,2.16,0,1,10
37,1.05528,3.48545,0.0761607,3,5
38,1.07345,3.36,0.0714286,3,7
39,1.07357,3.36,0.0714286,3,7
40,1.2846,2.16,0,1,9
41,1.04675,3.36,0.0714286,3,7
42,1.075,2.37273,0.0475096,3,7
43,1.31234,2.16,0,1,9
44,1.16883,2.16,0,1,9
45,1.11911,2.16,0,1,8
46,1.15364,2.16,0,1,8
47,1.06497,2.54182,0.0321888,2,7
48,1.21138,2.16,0,1,7
49,1.14512,2.16,0,1,8
50,1.04675,3.36,0.0714286,3,6
51,1.26804,2.16,0,1,8
52,1.26546,2.16,0,1,8
53,1.17925,2.16,0,1,9
54,1.0525,2.54182,0.0321888,2,8
55,1.00798,3.64545,0.116708,4,6
56,1.25765,2.16,0,1,10
57,1.2551,2.16,0,1,8
58,1.11989,3.36,0.0714286,3,7
59,1.13263,3.79091,0.0978417,3,7
60,1.15,2.16,0,1,8
61,1.05463,3.45382,0.0758054,3,7
62,1.04675,3.48,0.103448,4,7
63,1.18038,2.16,0,1,7
64,1.24116,2.16,0,1,7
65,1,3.75636,0.116167,4,7
66,1.26546,2.16,0,1,10
67,1.12589,2.36945,0.0276243,2,9
68,1.14512,2.16,0,1,8
69,1.09296,3.75636,0.116167,4,7
70,1.14706,3.48,0.103448,4,7
71,1.21798,2.16,0,1,8
72,1.19952,2.16,0,1,10
73,1.09091,3.36,0.0714286,3,6
74,1.04935,3.24,0.037037,2,7
75,1.14026,2.20364,0.019802,2,8
76,1.11989,3.24,0.037037,2,7
77,1.21558,2.16,0,1,9
78,1.15802,2.16,0,1,8
79,1.35714,2.16,0,1,8
80,1.28866,2.16,0,1,8
81,1.07345,3.36,0.0714286,3,7
82,1.14512,2.16,0,1,10
83,1.10695,3.92182,0.127955,4,7
84,1.41842,2.16,0,1,9
85,1.27177,2.16,0,1,9
86,1.03979,3.79091,0.0978417,3,6
87,1.14404,2.20364,0.019802,2,7
88,1.26804,2.16,0,1,8
89,1.045,2.49818,0.055313,3,7
90,1.07357,3.36,0.0714286,3,7
91,1.12766,2.16,0,1,8
92,1.26546,2.16,0,1,9
93,1.12766,2.16,0,1,9
94,1.14796,2.16,0,1,7
95,1.1253,2.36945,0.0276243,2,8
96,1.04965,2.37273,0.0475096,3,8
97,1.19251,2.20364,0.019802,2,8
98,1.14512,2.16,0,1,7
99,1.14655,3.24,0.037037,2,8
100,1.14512,2.16,0,1,10
