session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.0591,2.74364,0.0596421,3,578
2,1.02268,2.89455,0.0326633,2,328
3,1.01449,3.61818,0.11005,4,36
4,1.08696,3.36,0.0714286,3,86
5,1.1366,2.54909,0.0271041,2,206
6,1.13131,2.59455,0.0903994,4,1056
7,1.04751,2.51636,0.0621387,3,851
8,1.07792,2.33273,0.0483242,3,1431
9,1.02338,3.22182,0.0998871,4,185
10,1.00475,3.61818,0.11005,4,140
11,1.10029,3.36,0.0714286,3,126
12,1.14096,2.98909,0.0632603,3,1080
13,1.11196,2.85273,0.0956023,4,249
14,1.11747,3.36,0.0714286,3,138
15,1.24934,2.20364,0.019802,2,768
16,1.1372,3.24,0.037037,2,207
17,1.18041,2.16,0,1,542
18,1.19133,2.16,0,1,2738
19,1.03235,3.61818,0.11005,4,40
20,1,3.22182,0.0998871,4,163
21,1,3.22182,0.0998871,4,307
22,1.125,2.89455,0.0326633,2,265
23,1.04965,2.59455,0.0903994,4,234
24,1.16209,2.16,0,1,612
25,1.05674,2.74364,0.0596421,3,156
26,1.16576,2.61818,0.0527778,3,1723
27,1.07013,2.42909,0.0284431,2,1203
28,1.13402,2.89455,0.0326633,2,474
29,1.14489,2.16,0,1,829
30,1.125,2.89455,0.0326633,2,731
31,1,3.48545,0.0761607,3,189
32,1.02268,2.54909,0.0271041,2,656
33,1.07013,2.49818,0.055313,3,889
34,1.026,2.31636,0.0243328,2,476
35,1.11196,2.85273,0.0956023,4,423
36,1,3.61818,0.11005,4,87
37,1.05978,3.48,0.103448,4,70
38,1.09296,2.74364,0.0596421,3,474
39,1.02079,3.24,0.037037,2,79
40,1.1224,2.54909,0.0271041,2,2238
41,1,3.61818,0.11005,4,3
42,1.14489,2.16,0,1,1449
43,1.17045,2.89455,0.0326633,2,1249
44,1.11299,2.31636,0.0243328,2,370
45,1.20909,2.42909,0.0284431,2,976
46,1.05674,2.74364,0.0596421,3,241
47,1.0591,2.74364,0.0596421,3,160
48,1.13402,2.54909,0.0271041,2,293
49,1.07345,3.36,0.0714286,3,77
50,1.0831,3.36,0.0714286,3,88
51,1.1108,3.36,0.0714286,3,109
52,1.0675,2.37273,0.0475096,3,105
53,1.06651,2.37273,0.0475096,3,1279
54,1.13402,2.54909,0.0271041,2,486
55,1.20944,2.54909,0.0271041,2,658
56,1.11598,2.16,0,1,155
57,1.17662,2.20364,0.019802,2,2435
58,1.025,2.89455,0.0326633,2,200
59,1,3.61818,0.11005,4,146
60,1.14489,2.16,0,1,1589
61,1,3.22182,0.0998871,4,191
62,1.10628,2.792,0.0859599,4,3194
63,1.18844,2.24727,0.038835,3,1378
64,1.16837,2.16,0,1,620
65,1.125,2.89455,0.0326633,2,286
66,1.1125,2.74364,0.0596421,3,292
67,1.07752,3.36,0.0714286,3,148
68,1.09065,3.36,0.0714286,3,127
69,1.13793,2.54909,0.0271041,2,189
70,1.12202,2.98909,0.0632603,3,673
71,1.03377,3.61818,0.11005,4,99
72,1.07417,3.36,0.0714286,3,136
73,1.0961,3.57818,0.11128,4,100
74,1.15254,2.16,0,1,596
75,1.125,2.89455,0.0326633,2,517
76,1.02338,3.22182,0.0998871,4,130
77,1.1825,2.24727,0.038835,3,1003
78,1.03774,3.36,0.0714286,3,41
79,1.04751,2.37273,0.0475096,3,569
80,1,3.61818,0.11005,4,8
81,1.12434,3.36,0.0714286,3,123
82,1.21579,2.16,0,1,206
83,1.11253,2.96364,0.0957055,4,1055
84,1.14096,2.54909,0.0271041,2,929
85,1.12853,3.61091,0.0805639,3,110
86,1.16102,2.16,0,1,1188
87,1.045,2.37273,0.0475096,3,1321
88,1.17232,2.61818,0.0527778,3,1222
89,1.19832,2.54909,0.0271041,2,1219
90,1.03774,3.36,0.0714286,3,44
91,1.05836,3.48,0.103448,4,90
92,1.11573,2.31636,0.0243328,2,154
93,1.02268,2.54909,0.0271041,2,105
94,1.125,2.54909,0.0271041,2,537
95,1.11299,2.31636,0.0243328,2,374
96,1.05025,2.37273,0.0475096,3,266
97,1.24773,2.20364,0.019802,2,1439
98,1.1372,3.24,0.037037,2,191
99,1.07345,3.36,0.0714286,3,86
100,1,3.22182,0.0998871,4,42
