session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.0591,3.54764,0.0799508,3,73
2,1.02268,3.24,0.037037,2,30
3,1.01449,3.73636,0.0846715,3,21
4,1.08696,3.48,0.103448,4,82
5,1.1366,3.36,0.0714286,3,139
6,1.13131,3.61818,0.11005,4,136
7,1.04751,2.64182,0.0688231,3,55
8,1.07792,2.49382,0.0809274,4,81
9,1.02338,3.73636,0.0846715,3,32
10,1.00475,3.75636,0.116167,4,12
11,1.10029,3.36,0.0714286,3,95
12,1.14096,3.48,0.103448,4,142
13,1.11196,3.24,0.037037,2,116
14,1.11747,3.36,0.0714286,3,125
15,1.24934,3.24,0.037037,2,244
16,1.1372,3.24,0.037037,2,135
17,1.18041,2.16,0,1,181
18,1.19133,2.16,0,1,205
19,1.03235,3.75636,0.116167,4,37
20,1,3.75636,0.116167,4,8
21,1,3.61091,0.0805639,3,6
22,1.125,3.24,0.037037,2,137
23,1.04965,2.64182,0.0688231,3,63
24,1.16209,2.16,0,1,160
25,1.05674,3.68945,0.115316,4,77
26,1.16576,3.79091,0.0978417,3,172
27,1.07013,2.54182,0.0321888,2,75
28,1.13402,3.24,0.037037,2,134
29,1.14489,2.16,0,1,165
30,1.125,3.24,0.037037,2,128
31,1,3.73636,0.0846715,3,6
32,1.02268,3.24,0.037037,2,30
33,1.07013,2.54182,0.0321888,2,76
34,1.026,2.42909,0.0284431,2,35
35,1.11196,3.24,0.037037,2,135
36,1,3.73636,0.0846715,3,7
37,1.05978,3.48,0.103448,4,83
38,1.09296,3.75636,0.116167,4,123
39,1.02079,3.24,0.037037,2,31
40,1.1224,3.24,0.037037,2,163
41,1,3.61818,0.11005,4,8
42,1.14489,2.16,0,1,159
43,1.17045,3.36,0.0714286,3,157
44,1.11299,2.42909,0.0284431,2,104
45,1.20909,2.42909,0.0284431,2,219
46,1.05674,3.68945,0.115316,4,66
47,1.0591,3.45382,0.0758054,3,70
48,1.13402,3.24,0.037037,2,133
49,1.07345,3.36,0.0714286,3,70
50,1.0831,3.36,0.0714286,3,82
51,1.1108,3.36,0.0714286,3,106
52,1.0675,2.37273,0.0475096,3,76
53,1.06651,2.37273,0.0475096,3,76
54,1.13402,3.24,0.037037,2,133
55,1.20944,3.36,0.0714286,3,185
56,1.11598,2.16,0,1,118
57,1.17662,2.20364,0.019802,2,174
58,1.025,3.24,0.037037,2,35
59,1,3.73636,0.0846715,3,7
60,1.14489,2.16,0,1,168
61,1,3.48545,0.0761607,3,8
62,1.10628,3.61091,0.0805639,3,116
63,1.18844,2.28655,0.023855,2,192
64,1.16837,2.16,0,1,169
65,1.125,3.24,0.037037,2,129
66,1.1125,3.45382,0.0758054,3,120
67,1.07752,3.36,0.0714286,3,81
68,1.09065,3.36,0.0714286,3,85
69,1.13793,3.36,0.0714286,3,134
70,1.12202,3.94909,0.133978,4,121
71,1.03377,3.89455,0.121849,4,41
72,1.07417,3.36,0.0714286,3,81
73,1.0961,3.75636,0.116167,4,102
74,1.15254,2.16,0,1,138
75,1.125,3.24,0.037037,2,129
76,1.02338,3.75636,0.116167,4,32
77,1.1825,2.36945,0.0276243,2,188
78,1.03774,3.36,0.0714286,3,40
79,1.04751,2.54182,0.0321888,2,55
80,1,3.61818,0.11005,4,6
81,1.12434,3.36,0.0714286,3,125
82,1.21579,2.16,0,1,206
83,1.11253,3.75636,0.116167,4,117
84,1.14096,3.48,0.103448,4,139
85,1.12853,3.73636,0.0846715,3,110
86,1.16102,2.16,0,1,167
87,1.045,2.54182,0.0321888,2,50
88,1.17232,3.36,0.0714286,3,160
89,1.19832,3.36,0.0714286,3,185
90,1.03774,3.36,0.0714286,3,41
91,1.05836,3.48,0.103448,4,60
92,1.11573,2.42909,0.0284431,2,103
93,1.02268,3.24,0.037037,2,30
94,1.125,3.24,0.037037,2,128
95,1.11299,2.42909,0.0284431,2,104
96,1.05025,2.37273,0.0475096,3,56
97,1.24773,2.20364,0.019802,2,220
98,1.1372,3.24,0.037037,2,134
99,1.07345,3.36,0.0714286,3,69
100,1,3.75636,0.116167,4,6
