session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.07955,2.16,0,1,1
2,1.18203,2.16,0,1,3
3,1.18203,2.16,0,1,3
4,1.37852,2.16,0,1,4
5,1.11429,2.16,0,1,1
6,1.16043,2.16,0,1,2
7,1.12429,2.16,0,1,1
8,1.17439,2.16,0,1,2
9,1.24378,2.16,0,1,3
10,1.22546,2.16,0,1,2
11,1.25779,2.16,0,1,2
12,1.12468,2.16,0,1,1
13,1.24031,2.16,0,1,3
14,1.20879,2.16,0,1,2
15,1.20619,2.16,0,1,2
16,1.35427,2.16,0,1,4
17,1.1375,2.16,0,1,1
18,1.22959,2.16,0,1,1
19,1.3,2.16,0,1,2
20,1.295,2.16,0,1,3
21,1.22039,2.16,0,1,2
22,1.16129,2.16,0,1,2
23,1.1589,2.16,0,1,2
24,1.16582,2.16,0,1,1
25,1.26254,2.16,0,1,2
26,1.20163,2.16,0,1,2
27,1.21798,2.16,0,1,2
28,1.2846,2.16,0,1,3
29,1.15633,2.16,0,1,1
30,1.17847,2.16,0,1,1
31,1.18765,2.16,0,1,3
32,1.1975,2.16,0,1,2
33,1.27248,2.16,0,1,2
34,1.13103,2.16,0,1,2
35,1.21798,2.16,0,1,2
36,1.17784,2.16,0,1,2
37,1.35427,2.16,0,1,4
38,1.11299,2.16,0,1,1
39,1.20436,2.16,0,1,2
40,1.24282,2.16,0,1,2
41,1.15584,2.16,0,1,1
42,1.1975,2.16,0,1,3
43,1.26509,2.16,0,1,2
44,1.12468,2.16,0,1,1
45,1.11911,2.16,0,1,1
46,1.15364,2.16,0,1,1
47,1.19209,2.16,0,1,1
48,1.21138,2.16,0,1,1
49,1.05442,2.16,0,1,0
50,1.22338,2.16,0,1,2
51,1.25,2.16,0,1,2
52,1.18041,2.16,0,1,1
53,1.13679,2.16,0,1,2
54,1.1975,2.16,0,1,3
55,1.15426,2.16,0,1,2
56,1.16582,2.16,0,1,1
57,1.23214,2.16,0,1,2
58,1.17439,2.16,0,1,1
59,1.14854,2.16,0,1,1
60,1.13636,2.16,0,1,1
61,1.18765,2.16,0,1,2
62,1.21558,2.16,0,1,3
63,1.18038,2.16,0,1,1
64,1.24116,2.16,0,1,2
65,1.3475,2.16,0,1,4
66,1.17784,2.16,0,1,1
67,1.18765,2.16,0,1,3
68,1.05442,2.16,0,1,1
69,1.30151,2.16,0,1,4
70,1.20321,2.16,0,1,2
71,1.21798,2.16,0,1,2
72,1.14489,2.16,0,1,2
73,1.20519,2.16,0,1,2
74,1.13247,2.16,0,1,2
75,1.18701,2.16,0,1,2
76,1.26975,2.16,0,1,3
77,1.20519,2.16,0,1,2
78,1.08019,2.16,0,1,1
79,1.20663,2.16,0,1,2
80,1.21134,2.16,0,1,2
81,1.20621,2.16,0,1,2
82,1.05442,2.16,0,1,1
83,1.12567,2.16,0,1,1
84,1.29474,2.16,0,1,3
85,1.219,2.16,0,1,2
86,1.19629,2.16,0,1,2
87,1.22438,2.16,0,1,2
88,1.26804,2.16,0,1,3
89,1.1975,2.16,0,1,2
90,1.26975,2.16,0,1,2
91,1.1253,2.16,0,1,1
92,1.18041,2.16,0,1,1
93,1.1253,2.16,0,1,2
94,1.14796,2.16,0,1,1
95,1.2766,2.16,0,1,3
96,1.18203,2.16,0,1,2
97,1.23529,2.16,0,1,2
98,1.09297,2.16,0,1,1
99,1.18391,2.16,0,1,2
100,1.05442,2.16,0,1,1
101,1.20621,2.16,0,1,2
102,1.3475,2.16,0,1,4
103,1.19133,2.16,0,1,2
104,1.20361,2.16,0,1,2
105,1.14555,2.16,0,1,2
106,1.11818,2.16,0,1,2
107,1.21271,2.16,0,1,2
108,1.18203,2.16,0,1,3
109,1.2846,2.16,0,1,2
110,1.15152,2.16,0,1,0
111,1.19388,2.16,0,1,1
112,1.13679,2.16,0,1,1
113,1.0771,2.16,0,1,1
114,1.21798,2.16,0,1,1
115,1.23057,2.16,0,1,2
116,1.295,2.16,0,1,4
117,1.26087,2.16,0,1,2
118,1.13019,2.16,0,1,1
119,1.24716,2.16,0,1,2
120,1.24138,2.16,0,1,3
121,1.25729,2.16,0,1,3
122,1,2.16,0,1,0
123,1.05442,2.16,0,1,1
124,1.23188,2.16,0,1,3
125,1.18765,2.16,0,1,2
126,1.13626,2.16,0,1,2
127,1.16066,2.16,0,1,2
128,1.33,2.16,0,1,3
129,1.18052,2.16,0,1,1
130,1.23214,2.16,0,1,2
131,1.21299,2.16,0,1,1
132,1.14545,2.16,0,1,1
133,1.22959,2.16,0,1,2
134,1.09297,2.16,0,1,1
135,1.13626,2.16,0,1,2
136,1.22368,2.16,0,1,2
137,1.23636,2.16,0,1,3
138,1.14489,2.16,0,1,2
139,1.295,2.16,0,1,4
140,1.16582,2.16,0,1,1
141,1.20361,2.16,0,1,1
142,1.21907,2.16,0,1,1
143,1.1975,2.16,0,1,2
144,1.17632,2.16,0,1,2
145,1.16038,2.16,0,1,1
146,1.18203,2.16,0,1,2
147,1.23823,2.16,0,1,2
148,1.05442,2.16,0,1,1
149,1.37852,2.16,0,1,4
150,1.18367,2.16,0,1,1
151,1.29474,2.16,0,1,3
152,1.21543,2.16,0,1,2
153,1.09545,2.16,0,1,1
154,1.18961,2.16,0,1,2
155,1.1975,2.16,0,1,2
156,1.23711,2.16,0,1,2
157,1.24551,2.16,0,1,2
158,1.17175,2.16,0,1,2
159,1.19133,2.16,0,1,2
160,1.17439,2.16,0,1,1
161,1.20621,2.16,0,1,1
162,1.2846,2.16,0,1,3
163,1.18529,2.16,0,1,1
164,1.13103,2.16,0,1,1
165,1.18701,2.16,0,1,1
166,1.14628,2.16,0,1,1
167,1.05682,2.16,0,1,1
168,1.2551,2.16,0,1,2
169,1.23188,2.16,0,1,2
170,1.09297,2.16,0,1,1
171,1.21798,2.16,0,1,2
172,1.2069,2.16,0,1,2
173,1.18203,2.16,0,1,3
174,1.23782,2.16,0,1,2
175,1.13019,2.16,0,1,1
176,1.30471,2.16,0,1,2
177,1.25464,2.16,0,1,3
178,1.20619,2.16,0,1,2
179,1.23464,2.16,0,1,2
180,1.1375,2.16,0,1,2
181,1.14758,2.16,0,1,2
182,1.2,2.16,0,1,2
183,1.22193,2.16,0,1,2
184,1.29815,2.16,0,1,3
185,1.18203,2.16,0,1,2
186,1.26509,2.16,0,1,2
187,1.2551,2.16,0,1,2
188,1.31926,2.16,0,1,4
189,1.08571,2.16,0,1,1
190,1.17784,2.16,0,1,2
191,1.05442,2.16,0,1,1
192,1.15584,2.16,0,1,1
193,1.05442,2.16,0,1,0
194,1.18203,2.16,0,1,2
195,1.24668,2.16,0,1,2
196,1.29815,2.16,0,1,2
197,1.20519,2.16,0,1,2
198,1.07955,2.16,0,1,1
199,1.24551,2.16,0,1,1
200,1.19681,2.16,0,1,2
201,1.22959,2.16,0,1,2
202,1.23028,2.16,0,1,2
203,1.28804,2.16,0,1,3
204,1.29474,2.16,0,1,2
205,1.14489,2.16,0,1,2
206,1.26816,2.16,0,1,2
207,1.15426,2.16,0,1,1
208,1.2551,2.16,0,1,2
209,1.20356,2.16,0,1,2
210,1.21958,2.16,0,1,1
211,1.17784,2.16,0,1,1
212,1.25,2.16,0,1,3
213,1.19945,2.16,0,1,2
214,1.16837,2.16,0,1,1
215,1.26705,2.16,0,1,2
216,1.27248,2.16,0,1,2
217,1.14545,2.16,0,1,1
218,1.18466,2.16,0,1,2
219,1.13379,2.16,0,1,2
220,1.23188,2.16,0,1,3
221,1.20352,2.16,0,1,3
222,1.23873,2.16,0,1,2
223,1.1933,2.16,0,1,1
224,1.13068,2.16,0,1,1
225,1.21543,2.16,0,1,2
226,1.24227,2.16,0,1,2
227,1.25464,2.16,0,1,2
228,1.24796,2.16,0,1,3
229,1.20567,2.16,0,1,3
230,1.17529,2.16,0,1,1
231,1.18351,2.16,0,1,2
232,1.25628,2.16,0,1,3
233,1.10782,2.16,0,1,1
234,1.16384,2.16,0,1,2
235,1.18617,2.16,0,1,2
236,1.05442,2.16,0,1,1
237,1.07955,2.16,0,1,1
238,1.12997,2.16,0,1,1
239,1.0984,2.16,0,1,1
240,1.18701,2.16,0,1,1
241,1.25,2.16,0,1,3
242,1.17784,2.16,0,1,2
243,1.2069,2.16,0,1,2
244,1.18961,2.16,0,1,2
245,1.19677,2.16,0,1,2
246,1.21534,2.16,0,1,2
247,1.35427,2.16,0,1,5
248,1.2114,2.16,0,1,3
249,1.07765,2.16,0,1,1
250,1.25066,2.16,0,1,2
251,1.26804,2.16,0,1,2
252,1.1856,2.16,0,1,1
253,1.3475,2.16,0,1,5
254,1.26271,2.16,0,1,3
255,1.17308,2.16,0,1,1
256,1.18765,2.16,0,1,2
