session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.07955,2.16,0,1,90
2,1.04965,2.37273,0.0475096,3,56
3,1.1182,2.34109,0.0465983,3,122
4,1,3.75636,0.116167,4,5
5,1.02597,3.75636,0.116167,4,28
6,1.02941,3.91564,0.13373,4,34
7,1.07345,3.36,0.0714286,3,66
8,1.07357,3.36,0.0714286,3,70
9,1.10448,2.49818,0.055313,3,103
10,1.03714,3.81091,0.128817,4,38
11,1.18697,3.61818,0.11005,4,167
12,1.11429,3.75636,0.116167,4,108
13,1.07752,3.24,0.037037,2,76
14,1.14286,2.33273,0.0483242,3,129
15,1.13402,3.48,0.103448,4,129
16,1.00503,3.61818,0.11005,4,10
17,1.06,2.62364,0.0623701,3,61
18,1.12755,3.36,0.0714286,3,123
19,1.19118,2.42909,0.0284431,2,159
20,1.0875,3.61818,0.11005,4,90
21,1.09642,3.36,0.0714286,3,90
22,1.12903,3.36,0.0714286,3,130
23,1.06027,3.36,0.0714286,3,56
24,1.16582,2.16,0,1,162
25,1.08555,3.36,0.0714286,3,75
26,1.04905,3.36,0.0714286,3,47
27,1.16894,3.36,0.0714286,3,148
28,1.24282,3.36,0.0714286,3,225
29,1.03235,3.75636,0.116167,4,33
30,1.08782,3.36,0.0714286,3,79
31,1.04751,2.64182,0.0688231,3,52
32,1,3.73636,0.0846715,3,6
33,1.17984,3.36,0.0714286,3,160
34,1.11724,3.24,0.037037,2,129
35,1.16349,2.20364,0.019802,2,143
36,1.17784,2.16,0,1,167
37,1.05528,3.48545,0.0761607,3,57
38,1.07345,3.36,0.0714286,3,66
39,1.07357,3.36,0.0714286,3,70
40,1.12794,3.24,0.037037,2,121
41,1.02338,3.61818,0.11005,4,29
42,1.075,2.37273,0.0475096,3,76
43,1.25197,2.20364,0.019802,2,229
44,1.08312,2.49818,0.055313,3,78
45,1.11911,2.16,0,1,109
46,1.03235,3.73636,0.0846715,3,33
47,1.06497,2.54182,0.0321888,2,62
48,1.1626,3.36,0.0714286,3,144
49,1.02268,3.24,0.037037,2,27
50,1.03377,3.89455,0.121849,4,37
51,1.13402,3.24,0.037037,2,126
52,1.13402,3.24,0.037037,2,124
53,1.12264,2.20364,0.019802,2,126
54,1.0525,2.54182,0.0321888,2,56
55,1.00798,3.64545,0.116708,4,15
56,1.16582,2.16,0,1,158
57,1.125,3.24,0.037037,2,123
58,1.07357,3.36,0.0714286,3,70
59,1.13263,3.79091,0.0978417,3,123
60,1.07955,2.36945,0.0276243,2,88
61,1.00475,3.61818,0.11005,4,11
62,1.02338,3.94909,0.133978,4,29
63,1.14557,2.54182,0.0321888,2,111
64,1.22186,2.42909,0.0284431,2,167
65,1,3.75636,0.116167,4,6
66,1.17784,2.16,0,1,168
67,1.05463,2.49818,0.055313,3,61
68,1.02268,3.24,0.037037,2,28
69,1.09296,3.75636,0.116167,4,93
70,1.14706,3.48,0.103448,4,137
71,1.16894,3.36,0.0714286,3,149
72,1.14489,2.16,0,1,151
73,1.09091,3.36,0.0714286,3,91
74,1.02338,3.75636,0.116167,4,30
75,1.07792,2.54182,0.0321888,2,75
76,1.07357,3.36,0.0714286,3,71
77,1.11429,3.73636,0.0846715,3,108
78,1.03774,3.24,0.037037,2,42
79,1.19133,2.20364,0.019802,2,181
80,1.13402,3.24,0.037037,2,127
81,1.07345,3.36,0.0714286,3,67
82,1.05442,2.16,0,1,61
83,1.10695,3.92182,0.127955,4,98
84,1.25,3.24,0.037037,2,230
85,1.12401,4.08909,0.163628,5,119
86,1.03979,3.79091,0.0978417,3,44
87,1.12188,2.42909,0.0284431,2,106
88,1.13402,3.24,0.037037,2,126
89,1.045,2.49818,0.055313,3,47
90,1.07357,3.36,0.0714286,3,71
91,1.02364,2.42909,0.0284431,2,28
92,1.18041,2.16,0,1,170
93,1.02364,2.54182,0.0321888,2,28
94,1.09694,3.24,0.037037,2,94
95,1.08274,3.75636,0.116167,4,90
96,1,3.61818,0.11005,4,5
97,1.07487,3.92182,0.127955,4,71
98,1.02268,3.24,0.037037,2,29
99,1.07759,3.36,0.0714286,3,71
100,1.05442,2.16,0,1,71
101,1.07345,3.36,0.0714286,3,65
102,1,3.89455,0.121849,4,5
103,1.19133,2.16,0,1,181
104,1.20361,2.16,0,1,189
105,1.03235,3.75636,0.116167,4,33
106,1.025,3.24,0.037037,2,33
107,1.03315,3.90182,0.149115,5,34
108,1,3.61091,0.0805639,3,5
109,1.24282,3.24,0.037037,2,225
110,1.14325,3.36,0.0714286,3,128
111,1.12755,3.36,0.0714286,3,121
112,1.12264,2.20364,0.019802,2,125
113,1.0771,2.16,0,1,83
114,1.16894,3.36,0.0714286,3,150
115,1.06477,3.97636,0.139918,4,67
116,1.0875,3.48545,0.0761607,3,89
117,1.04928,3.36,0.0714286,3,46
118,1.13019,2.16,0,1,115
119,1.21023,3.36,0.0714286,3,176
120,1.05836,3.6,0.133333,5,58
121,1.03979,3.81091,0.128817,4,47
122,1,2.16,0,1,5
123,1.02268,3.24,0.037037,2,29
124,1.10628,3.61091,0.0805639,3,109
125,1.05463,2.37273,0.0475096,3,60
126,1.1224,3.24,0.037037,2,128
127,1.04432,3.36,0.0714286,3,43
128,1.115,3.45382,0.0758054,3,114
129,1.0745,3.36,0.0714286,3,66
130,1.125,3.24,0.037037,2,122
131,1.18182,3.36,0.0714286,3,173
132,1.02338,3.75636,0.116167,4,30
133,1.125,3.24,0.037037,2,132
134,1.02268,3.24,0.037037,2,28
135,1.1224,3.24,0.037037,2,130
136,1.12895,3.48,0.103448,4,123
137,1.09773,2.28655,0.023855,2,108
138,1.14489,2.16,0,1,151
139,1.0875,3.75636,0.116167,4,91
140,1.16582,2.16,0,1,162
141,1.20361,2.16,0,1,196
