session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.12938,2.65273,0.10281,4,1
2,1.0565,2.20364,0.019802,2,5
3,1.05495,2.20364,0.019802,2,91
4,1.06027,2.20364,0.019802,2,8
5,1.1202,2.31636,0.0243328,2,46
6,1.11927,2.56727,0.0807365,4,2
7,1.06284,2.59455,0.0903994,4,2
8,1.05714,2.20364,0.019802,2,11
9,1.15385,2.32545,0.028147,2,8
10,1.09497,2.20364,0.019802,2,3
11,1.06358,2.42909,0.0284431,2,21
12,1.02296,2.20364,0.019802,2,13
13,1.00495,2.20364,0.019802,2,19
14,1.13905,2.39091,0.0547529,3,3
15,1.03343,2.68364,0.105691,4,0
16,1.149,2.72364,0.104139,4,1
17,1.02667,2.68364,0.105691,4,1
18,1.06628,2.42909,0.0696108,4,1
19,1.07558,2.37273,0.0475096,3,4
20,1.05572,2.24727,0.038835,3,7
21,1.02616,2.16,0,1,2
22,1.05199,2.24727,0.038835,3,16
23,1.22923,2.16,0,1,136
24,1.03308,2.20364,0.019802,2,24
25,1.09067,2.75091,0.11302,4,0
26,1.20408,2.75091,0.11302,4,1
27,1.05714,2.33273,0.0483242,3,1
28,1.12162,2.20364,0.019802,2,11
29,1.03911,2.68364,0.105691,4,0
30,1.09315,2.20364,0.019802,2,15
31,1.18697,2.81818,0.12,4,1
32,1.05914,2.20364,0.019802,2,40
33,1.00922,2.16,0,1,35
34,1.1337,2.72,0.110294,4,1
35,1.04802,2.39091,0.0547529,3,7
36,1.05848,2.20364,0.019802,2,8
37,1.03714,2.31636,0.0243328,2,1
38,1.05634,2.20364,0.019802,2,4
39,1.10725,2.37273,0.0475096,3,6
40,1.21321,2.20364,0.019802,2,7
41,1.1114,2.31636,0.0243328,2,11
42,1,2.16,0,1,39
43,1.08311,2.65273,0.10281,4,1
44,1.15362,2.58909,0.0730337,3,2
45,1.10803,2.62545,0.0934903,4,1
46,1.07407,2.37273,0.0475096,3,3
47,1,2.31636,0.0243328,2,20
48,1.17175,2.16,0,1,37
49,1.08284,2.39091,0.0547529,3,1
50,1.08723,2.24727,0.038835,3,11
51,1.03306,2.68364,0.105691,4,0
52,1.01847,2.20364,0.019802,2,3
53,1.11485,2.58545,0.0949367,4,1
54,1.10833,2.31636,0.0243328,2,10
55,1.05495,2.20364,0.019802,2,96
56,1.10725,2.37273,0.0475096,3,8
57,1.17598,2.16,0,1,90
58,1.06888,2.16,0,1,38
59,1.17889,2.20364,0.019802,2,3
60,1.10429,2.45636,0.0799408,4,1
61,1.03061,2.33273,0.0483242,3,4
62,1.04103,2.16,0,1,28
63,1.09913,2.37273,0.0475096,3,2
64,1.09091,2.20364,0.019802,2,30
65,1.03743,2.24727,0.038835,3,5
66,1.22409,2.20364,0.019802,2,28
67,1.14417,2.39091,0.0547529,3,7
68,1,2.16,0,1,143
69,1.0582,2.37273,0.0475096,3,2
70,1.10082,2.20364,0.019802,2,8
71,1.06027,2.20364,0.019802,2,13
72,1.14873,2.59455,0.0903994,4,1
73,1.12654,2.37273,0.0475096,3,8
74,1.18639,2.16,0,1,14
75,1.14462,2.48727,0.0833333,4,1
76,1.22636,2.16,0,1,137
77,1.21752,2.20364,0.019802,2,22
78,1,2.16,0,1,13
79,1.10286,2.58909,0.0730337,3,1
80,1.16571,2.75091,0.11302,4,1
81,1.1385,2.65273,0.10281,4,1
82,1.1108,2.65273,0.10281,4,0
83,1.16,2.20364,0.019802,2,91
84,1,2.16,0,1,52
85,1.11699,2.20364,0.019802,2,10
86,1.1954,2.37273,0.0475096,3,6
87,1.08333,2.37273,0.0475096,3,10
88,1.0169,2.20364,0.019802,2,1
89,1.15642,2.20364,0.019802,2,17
90,1.15746,2.65273,0.10281,4,1
91,1.08033,2.54182,0.0321888,2,2
92,1.0614,2.33273,0.0483242,3,2
93,1.06098,2.20364,0.019802,2,30
94,1.18338,2.37273,0.0475096,3,2
95,1.05645,2.24727,0.038835,3,17
96,1.08142,2.20364,0.019802,2,26
97,1.1523,2.72364,0.104139,4,0
98,1.17847,2.75091,0.11302,4,1
99,1.07418,2.16,0,1,4
100,1.15976,2.37273,0.0475096,3,16
101,1.0745,2.37273,0.0475096,3,5
102,1.09404,2.66545,0.0920873,4,1
103,1.02681,2.72364,0.104139,4,0
104,1.05949,2.37273,0.0475096,3,2
105,1.12987,2.31636,0.0243328,2,41
106,1.10588,2.68364,0.105691,4,1
107,1.05935,2.20364,0.019802,2,3
108,1.05028,2.32545,0.028147,2,2
109,1.06027,2.20364,0.019802,2,67
110,1.09711,2.52727,0.0820144,4,1
111,1.09467,2.68364,0.105691,4,0
112,1.07493,2.72364,0.104139,4,0
113,1.06361,2.16,0,1,24
114,1.09091,2.20364,0.019802,2,18
115,1.05556,2.16,0,1,3
116,1.21646,2.81818,0.12,4,1
117,1.17143,2.75091,0.11302,4,0
118,1.14019,2.59455,0.0903994,4,0
