session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.16981,2.89455,0.143216,5,0
2,1.18644,3.04727,0.159905,5,0
3,1.18132,2.92545,0.124922,4,0
4,1.19452,2.95273,0.133005,4,0
5,1.13555,3.10182,0.200469,7,0
6,1.20183,3.03818,0.170557,6,0
7,1.13934,3.10291,0.196883,7,0
8,1.17714,3.01091,0.149758,5,0
9,1.19231,2.89818,0.116688,4,0
10,1.19274,3.10182,0.200469,7,0
11,1.17052,3.00109,0.169635,6,0
12,1.1352,3.04727,0.159905,5,0
13,1.11634,2.89818,0.130489,5,0
14,1.19527,3.04727,0.159905,5,0
15,1.17549,2.85818,0.132316,5,0
16,1.20344,2.86291,0.129557,5,0
17,1.184,2.58909,0.0730337,3,0
18,1.17003,3.08655,0.179665,6,0
19,1.19186,2.93455,0.141264,5,0
20,1.18475,2.97455,0.139364,5,0
21,1.18895,3.10182,0.200469,7,0
22,1.23547,2.89818,0.116688,4,0
23,1.26074,3.03818,0.170557,6,0
24,1.17812,2.89818,0.116688,4,0
25,1.184,2.93091,0.153846,5,0
26,1.20408,2.99818,0.172832,6,0
27,1.17143,3.08364,0.182783,6,0
28,1.25946,2.99818,0.172832,6,0
29,1.18156,2.80364,0.101167,4,0
30,1.19452,2.92545,0.124922,4,0
31,1.2238,2.81818,0.12,4,0
32,1.12097,2.95273,0.133005,4,0
33,1.20507,2.81818,0.134194,5,0
34,1.17549,2.97091,0.151775,5,0
35,1.16667,2.95273,0.133005,4,0
36,1.19298,2.89818,0.116688,4,0
37,1.13528,2.99818,0.172832,6,0
38,1.18592,3.04727,0.159905,5,0
39,1.22029,3.00109,0.169635,6,0
40,1.24024,3.20545,0.226319,8,0
41,1.21503,3.04655,0.182024,6,0
42,1.2023,2.97091,0.151775,5,0
43,1.14209,3.08364,0.182783,6,0
44,1.26667,2.80364,0.101167,4,0
45,1.16898,2.82291,0.131393,5,0
46,1.2037,3.03818,0.170557,6,0
47,1.21226,2.93455,0.141264,5,0
48,1.19668,2.93091,0.153846,5,0
49,1.19527,2.95273,0.133005,4,0
50,1.25545,2.87091,0.108296,4,0
51,1.19008,2.89455,0.143216,5,0
52,1.11873,2.95273,0.133005,4,0
53,1.18207,2.80364,0.101167,4,0
54,1.21944,3.01091,0.149758,5,0
55,1.18132,3.01091,0.149758,5,0
56,1.22029,3.08655,0.179665,6,0
57,1.2067,2.93455,0.141264,5,0
58,1.15306,3.04727,0.159905,5,0
59,1.38123,3.03818,0.170557,6,0
60,1.16564,3.01091,0.149758,5,0
61,1.15306,2.97091,0.151775,5,0
62,1.14103,3.12364,0.180442,6,0
63,1.19242,3.01091,0.149758,5,0
64,1.22338,3.12909,0.194654,6,0
65,1.1016,3.01091,0.149758,5,0
66,1.2437,2.93091,0.153846,5,0
67,1.20245,3.04727,0.159905,5,0
68,1.20519,2.97091,0.151775,5,0
69,1.22487,3.01091,0.149758,5,0
70,1.3297,3.03818,0.170557,6,0
71,1.19452,3.04727,0.159905,5,0
72,1.18987,3.12364,0.180442,6,0
73,1.2037,2.97455,0.139364,5,0
74,1.2071,3.00727,0.162031,5,0
75,1.19692,2.87091,0.108296,4,0
76,1.25215,2.93455,0.141264,5,0
77,1.23867,3.03818,0.170557,6,0
78,1.20941,2.97091,0.151775,5,0
79,1.20571,2.89455,0.143216,5,0
80,1.21143,2.99818,0.172832,6,0
81,1.18006,3.19636,0.211604,7,0
82,1.18006,3.14182,0.197917,7,0
83,1.184,2.99818,0.172832,6,0
84,1.2023,3.03818,0.170557,6,0
85,1.19777,2.85818,0.132316,5,0
86,1.22414,2.93455,0.141264,5,0
87,1.15365,2.97455,0.139364,5,0
88,1.15211,3.03818,0.170557,6,0
89,1.18156,2.97091,0.151775,5,0
90,1.19061,3.03818,0.170557,6,0
91,1.22715,2.87091,0.108296,4,0
92,1.19298,3.08364,0.182783,6,0
93,1.18293,3.12364,0.180442,6,0
94,1.20344,3.03818,0.170557,6,0
95,1.15323,3.12909,0.194654,6,0
96,1.15522,3.12909,0.194654,6,0
97,1.26437,2.85818,0.132316,5,0
98,1.22663,2.93091,0.153846,5,0
99,1.22253,3.04727,0.159905,5,0
100,1.15976,2.84364,0.0997442,4,0
101,1.18911,2.93455,0.141264,5,0
102,1.10031,2.93818,0.128713,5,0
103,1.14209,2.85818,0.132316,5,0
104,1.18697,2.92545,0.124922,4,0
105,1.15325,3.03818,0.170557,6,0
106,1.24118,2.81818,0.134194,5,0
107,1.24332,3.01091,0.149758,5,0
108,1.14525,3.04727,0.159905,5,0
109,1.19452,2.87091,0.108296,4,0
