session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.17403,2.16,0,1,2
2,1.1199,2.16,0,1,2
3,1.18041,2.16,0,1,2
4,1.23641,2.16,0,1,2
5,1.33166,2.16,0,1,4
6,1.09694,2.16,0,1,2
7,1,2.16,0,1,0
8,1.1375,2.16,0,1,2
9,1,2.16,0,1,0
10,1.06842,2.16,0,1,1
11,1.20361,2.16,0,1,2
12,1.0932,2.16,0,1,1
13,1.14436,2.16,0,1,1
14,1.13626,2.16,0,1,2
15,1.10451,2.16,0,1,2
16,1.18041,2.16,0,1,2
17,1.09694,2.16,0,1,0
18,1.05682,2.16,0,1,1
19,1.19133,2.16,0,1,2
20,1.10825,2.16,0,1,1
21,1.0105,2.16,0,1,0
22,1,2.16,0,1,0
23,1.20845,2.16,0,1,2
24,1.18159,2.16,0,1,2
25,1.11244,2.16,0,1,2
26,1.13626,2.16,0,1,2
27,1.23785,2.16,0,1,2
28,1.29919,2.16,0,1,2
29,1.21751,2.16,0,1,2
30,1.18041,2.16,0,1,2
31,1,2.16,0,1,1
32,1.07955,2.16,0,1,1
33,1.1039,2.16,0,1,1
34,1.23499,2.16,0,1,3
35,1.2,2.16,0,1,2
36,1.22571,2.16,0,1,2
37,1.09949,2.16,0,1,1
38,1,2.16,0,1,0
39,1.02362,2.16,0,1,0
40,1.24176,2.16,0,1,3
41,1.13626,2.16,0,1,2
42,1,2.16,0,1,0
43,1.2372,2.16,0,1,3
44,1.16837,2.16,0,1,2
45,1.13626,2.16,0,1,2
46,1.10204,2.16,0,1,1
47,1.31335,2.16,0,1,3
48,1.07532,2.16,0,1,1
49,1.23706,2.16,0,1,3
50,1.11598,2.16,0,1,1
51,1.23143,2.16,0,1,3
52,1.05442,2.16,0,1,1
53,1.0665,2.16,0,1,1
54,1.10825,2.16,0,1,1
55,1.24802,2.16,0,1,3
56,1,2.16,0,1,0
57,1.3555,2.16,0,1,4
58,1.13626,2.16,0,1,2
59,1.23636,2.16,0,1,4
60,1.05682,2.16,0,1,1
61,1.1383,2.16,0,1,2
62,1.16837,2.16,0,1,2
63,1.13564,2.16,0,1,2
64,1.1375,2.16,0,1,2
65,1.17884,2.16,0,1,2
66,1.23706,2.16,0,1,3
67,1.22911,2.16,0,1,2
68,1.1383,2.16,0,1,1
69,1,2.16,0,1,0
70,1.08086,2.16,0,1,1
71,1.18041,2.16,0,1,2
72,1.36061,2.16,0,1,4
73,1.23181,2.16,0,1,2
74,1.22642,2.16,0,1,1
75,1.09949,2.16,0,1,1
76,1.10825,2.16,0,1,1
77,1.19133,2.16,0,1,1
78,1.19423,2.16,0,1,2
79,1.10459,2.16,0,1,1
80,1.27394,2.16,0,1,3
81,1.10451,2.16,0,1,1
82,1.09694,2.16,0,1,0
83,1.09694,2.16,0,1,1
84,1,2.16,0,1,0
85,1.20813,2.16,0,1,3
86,1.18961,2.16,0,1,2
87,1.175,2.16,0,1,2
88,1.15657,2.16,0,1,2
89,1.09949,2.16,0,1,1
90,1.02302,2.16,0,1,1
91,1.29815,2.16,0,1,3
92,1.05442,2.16,0,1,1
93,1,2.16,0,1,0
94,1.10459,2.16,0,1,1
95,1.21011,2.16,0,1,1
96,1.31926,2.16,0,1,3
97,1.14512,2.16,0,1,3
98,1.2275,2.16,0,1,3
99,1.23641,2.16,0,1,2
100,1.11598,2.16,0,1,0
101,1.29396,2.16,0,1,3
102,1.10567,2.16,0,1,1
103,1.18598,2.16,0,1,2
104,1.16667,2.16,0,1,1
105,1.08951,2.16,0,1,0
106,1.19952,2.16,0,1,3
107,1.19897,2.16,0,1,2
108,1.11244,2.16,0,1,2
109,1.11598,2.16,0,1,1
110,1.18232,2.16,0,1,1
111,1.20361,2.16,0,1,2
112,1.06053,2.16,0,1,0
113,1.25195,2.16,0,1,2
114,1.11598,2.16,0,1,1
115,1.23641,2.16,0,1,3
116,1.2141,2.16,0,1,2
117,1.13437,2.16,0,1,1
118,1.10825,2.16,0,1,1
119,1.15691,2.16,0,1,1
120,1.13626,2.16,0,1,2
121,1,2.16,0,1,0
122,1.10567,2.16,0,1,0
123,1.2846,2.16,0,1,2
124,1.08483,2.16,0,1,0
125,1,2.16,0,1,0
126,1.13626,2.16,0,1,3
127,1.06631,2.16,0,1,1
128,1.13178,2.16,0,1,1
129,1.175,2.16,0,1,2
130,1.03768,2.16,0,1,1
131,1.11244,2.16,0,1,1
132,1.175,2.16,0,1,2
133,1.10451,2.16,0,1,2
134,1.04987,2.16,0,1,1
135,1.08947,2.16,0,1,1
136,1.19474,2.16,0,1,2
137,1.12727,2.16,0,1,1
138,1,2.16,0,1,0
139,1.29815,2.16,0,1,3
140,1.26385,2.16,0,1,3
141,1.10459,2.16,0,1,0
142,1.09949,2.16,0,1,1
143,1.04675,2.16,0,1,1
144,1.33166,2.16,0,1,4
145,1.09694,2.16,0,1,1
146,1.09949,2.16,0,1,0
147,1.10567,2.16,0,1,0
148,1,2.16,0,1,0
149,1.11169,2.16,0,1,1
150,1.18,2.16,0,1,2
151,1.18701,2.16,0,1,2
152,1.08947,2.16,0,1,0
153,1.06037,2.16,0,1,0
154,1.20053,2.16,0,1,2
155,1.31335,2.16,0,1,3
156,1.01134,2.16,0,1,1
157,1.1134,2.16,0,1,1
158,1.10567,2.16,0,1,0
159,1.07752,2.16,0,1,0
160,1.13158,2.16,0,1,1
161,1.11244,2.16,0,1,1
162,1.14489,2.16,0,1,2
163,1,2.16,0,1,0
164,1.26873,2.16,0,1,2
165,1.26513,2.16,0,1,2
166,1.21785,2.16,0,1,2
167,1.18229,2.16,0,1,2
168,1.10541,2.16,0,1,1
169,1.20361,2.16,0,1,2
170,1.20222,2.16,0,1,1
171,1.16837,2.16,0,1,2
172,1.09949,2.16,0,1,1
173,1.14286,2.16,0,1,2
174,1.31926,2.16,0,1,3
175,1.2846,2.16,0,1,3
176,1.26649,2.16,0,1,3
177,1.05682,2.16,0,1,0
178,1.10567,2.16,0,1,1
179,1.097,2.16,0,1,1
180,1.06234,2.16,0,1,0
181,1.05442,2.16,0,1,1
182,1.05442,2.16,0,1,1
183,1.06094,2.16,0,1,0
184,1.13626,2.16,0,1,3
185,1.22105,2.16,0,1,1
186,1.18237,2.16,0,1,1
187,1.097,2.16,0,1,2
188,1.10825,2.16,0,1,1
189,1.22642,2.16,0,1,1
190,1.11244,2.16,0,1,2
191,1.29211,2.16,0,1,3
192,1.17313,2.16,0,1,1
193,1.25575,2.16,0,1,2
194,1.16837,2.16,0,1,1
195,1.20619,2.16,0,1,1
196,1.10451,2.16,0,1,1
197,1.10459,2.16,0,1,1
198,1.19423,2.16,0,1,2
199,1.27945,2.16,0,1,3
200,1.18351,2.16,0,1,2
201,1.19133,2.16,0,1,1
202,1.19388,2.16,0,1,2
203,1.14489,2.16,0,1,2
204,1,2.16,0,1,0
205,1.19952,2.16,0,1,3
206,1.05442,2.16,0,1,1
207,1.09949,2.16,0,1,0
208,1.1,2.16,0,1,2
209,1.00804,2.16,0,1,0
210,1.11765,2.16,0,1,0
211,1.02521,2.16,0,1,0
212,1.1023,2.16,0,1,1
213,1.18961,2.16,0,1,1
214,1.13626,2.16,0,1,2
215,1.11244,2.16,0,1,2
216,1.17784,2.16,0,1,2
217,1.20519,2.16,0,1,3
218,1.11488,2.16,0,1,1
219,1.22314,2.16,0,1,2
220,1.09694,2.16,0,1,0
221,1.2141,2.16,0,1,2
222,1.29815,2.16,0,1,3
223,1.2141,2.16,0,1,2
224,1.22427,2.16,0,1,2
225,1.07572,2.16,0,1,1
226,1,2.16,0,1,0
227,1.16758,2.16,0,1,2
228,1,2.16,0,1,0
229,1.29815,2.16,0,1,2
230,1.09949,2.16,0,1,0
231,1.05371,2.16,0,1,0
232,1.05682,2.16,0,1,1
233,1.11244,2.16,0,1,2
234,1.33,2.16,0,1,4
235,1,2.16,0,1,0
236,1.11929,2.16,0,1,1
237,1.16837,2.16,0,1,2
238,1.3555,2.16,0,1,5
239,1.37852,2.16,0,1,4
240,1.17784,2.16,0,1,2
241,1.14489,2.16,0,1,2
242,1.1975,2.16,0,1,2
243,1,2.16,0,1,0
244,1.10451,2.16,0,1,2
245,1.32481,2.16,0,1,4
246,1.14512,2.16,0,1,3
247,1.23641,2.16,0,1,2
248,1.33,2.16,0,1,4
249,1,2.16,0,1,0
250,1.36061,2.16,0,1,5
251,1,2.16,0,1,0
252,1.25635,2.16,0,1,4
253,1.10451,2.16,0,1,2
254,1.23869,2.16,0,1,3
255,1.29919,2.16,0,1,3
256,1.08274,2.16,0,1,2
257,1.17725,2.16,0,1,2
258,1.18,2.16,0,1,2
259,1.23641,2.16,0,1,2
260,1.11244,2.16,0,1,1
261,1.04416,2.16,0,1,0
262,1.18598,2.16,0,1,2
263,1.18701,2.16,0,1,3
264,1.10451,2.16,0,1,1
265,1.10204,2.16,0,1,1
266,1.2141,2.16,0,1,2
267,1.10451,2.16,0,1,2
268,1.07955,2.16,0,1,1
269,1.10567,2.16,0,1,1
270,1.15949,2.16,0,1,2
271,1.16837,2.16,0,1,2
272,1.11244,2.16,0,1,2
273,1.06234,2.16,0,1,0
274,1.19388,2.16,0,1,2
275,1.22826,2.16,0,1,2
276,1.097,2.16,0,1,1
277,1.13144,2.16,0,1,2
278,1.16582,2.16,0,1,1
279,1.03117,2.16,0,1,0
280,1.14512,2.16,0,1,2
281,1.21608,2.16,0,1,3
282,1.10825,2.16,0,1,1
283,1.1809,2.16,0,1,2
284,1.21011,2.16,0,1,2
285,1.25849,2.16,0,1,2
286,1.19559,2.16,0,1,1
287,1,2.16,0,1,0
288,1.08274,2.16,0,1,1
289,1.11244,2.16,0,1,1
290,1.18,2.16,0,1,1
291,1.04416,2.16,0,1,0
292,1.12788,2.16,0,1,2
293,1.22642,2.16,0,1,2
294,1.12472,2.16,0,1,2
295,1.12468,2.16,0,1,1
296,1.295,2.16,0,1,4
297,1.13626,2.16,0,1,2
298,1.10825,2.16,0,1,1
299,1.02368,2.16,0,1,0
300,1.24725,2.16,0,1,2
301,1.07632,2.16,0,1,1
302,1.10567,2.16,0,1,1
303,1.22427,2.16,0,1,2
304,1.16274,2.16,0,1,3
305,1.13626,2.16,0,1,2
306,1.29815,2.16,0,1,2
307,1.27366,2.16,0,1,3
308,1.31117,2.16,0,1,3
309,1.10825,2.16,0,1,1
310,1.18351,2.16,0,1,2
311,1.08924,2.16,0,1,1
312,1.05442,2.16,0,1,1
313,1.01364,2.16,0,1,1
314,1.2141,2.16,0,1,2
315,1.09447,2.16,0,1,2
316,1.13626,2.16,0,1,2
317,1.16837,2.16,0,1,2
318,1.05442,2.16,0,1,1
319,1,2.16,0,1,1
320,1.20997,2.16,0,1,2
321,1.07955,2.16,0,1,2
322,1.10459,2.16,0,1,1
323,1.097,2.16,0,1,2
324,1.22438,2.16,0,1,2
325,1.2141,2.16,0,1,1
326,1.0665,2.16,0,1,0
327,1.12399,2.16,0,1,1
328,1.10451,2.16,0,1,2
329,1.19423,2.16,0,1,2
330,1.18593,2.16,0,1,2
331,1.07765,2.16,0,1,1
332,1.10567,2.16,0,1,1
333,1.05682,2.16,0,1,1
334,1.19474,2.16,0,1,2
335,1.23641,2.16,0,1,2
336,1.23873,2.16,0,1,3
337,1.14489,2.16,0,1,2
338,1.31117,2.16,0,1,4
339,1.36061,2.16,0,1,5
340,1.25635,2.16,0,1,4
341,1.26801,2.16,0,1,3
342,1.18041,2.16,0,1,2
343,1.01651,2.16,0,1,0
344,1.12407,2.16,0,1,1
345,1.20352,2.16,0,1,2
346,1.05682,2.16,0,1,1
347,1,2.16,0,1,0
348,1.10567,2.16,0,1,1
349,1.15691,2.16,0,1,2
350,1.13626,2.16,0,1,3
351,1.22992,2.16,0,1,3
352,1.22642,2.16,0,1,2
353,1.29919,2.16,0,1,3
354,1,2.16,0,1,0
355,1.09694,2.16,0,1,0
356,1.29396,2.16,0,1,3
357,1.22427,2.16,0,1,3
358,1.05195,2.16,0,1,1
359,1.1375,2.16,0,1,2
360,1,2.16,0,1,0
361,1.19474,2.16,0,1,1
362,1.09066,2.16,0,1,1
363,1.07955,2.16,0,1,1
364,1.22632,2.16,0,1,2
365,1.05682,2.16,0,1,1
366,1.1916,2.16,0,1,2
367,1.16837,2.16,0,1,2
368,1.18593,2.16,0,1,2
369,1.06234,2.16,0,1,0
370,1.07311,2.16,0,1,1
371,1.1199,2.16,0,1,1
372,1.16582,2.16,0,1,1
373,1,2.16,0,1,0
374,1.2325,2.16,0,1,2
375,1.09694,2.16,0,1,1
376,1.02078,2.16,0,1,1
377,1.05682,2.16,0,1,1
378,1.09694,2.16,0,1,1
379,1.37852,2.16,0,1,4
380,1.097,2.16,0,1,2
381,1.15789,2.16,0,1,2
382,1.1456,2.16,0,1,2
383,1.09949,2.16,0,1,1
384,1.07075,2.16,0,1,1
385,1.12434,2.16,0,1,1
386,1.07494,2.16,0,1,1
387,1,2.16,0,1,0
388,1.15584,2.16,0,1,2
389,1.14489,2.16,0,1,2
390,1.15842,2.16,0,1,1
391,1.11765,2.16,0,1,1
392,1,2.16,0,1,0
393,1.09949,2.16,0,1,1
394,1.29396,2.16,0,1,3
395,1.05442,2.16,0,1,1
396,1.15765,2.16,0,1,2
397,1.19474,2.16,0,1,2
398,1.05682,2.16,0,1,1
399,1.22857,2.16,0,1,2
400,1.04293,2.16,0,1,1
401,1.18,2.16,0,1,2
402,1.18,2.16,0,1,2
403,1.097,2.16,0,1,1
404,1.12468,2.16,0,1,1
405,1.10451,2.16,0,1,2
406,1.19952,2.16,0,1,3
407,1.0771,2.16,0,1,2
408,1.19474,2.16,0,1,2
409,1.19789,2.16,0,1,2
410,1.19423,2.16,0,1,2
411,1.14489,2.16,0,1,2
412,1.05455,2.16,0,1,0
413,1.23684,2.16,0,1,3
414,1.37852,2.16,0,1,4
415,1.16092,2.16,0,1,3
416,1.29551,2.16,0,1,3
417,1.32481,2.16,0,1,5
418,1.20619,2.16,0,1,2
419,1.09694,2.16,0,1,1
420,1.2846,2.16,0,1,3
421,1.2345,2.16,0,1,3
422,1.23181,2.16,0,1,3
423,1,2.16,0,1,0
424,1.1,2.16,0,1,1
425,1.20813,2.16,0,1,3
426,1.16173,2.16,0,1,2
