session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.05455,4.05273,0.244953,8,0
2,1.30102,4.45455,0.277143,8,0
3,1.3067,4.20182,0.257464,8,0
4,1.32065,4.14545,0.276316,8,0
5,1.27387,4.20182,0.257464,8,0
6,1.30102,3.74364,0.241379,8,0
7,1.17687,3.55455,0.229156,8,0
8,1.03,4.30545,0.266047,8,0
9,1.17687,3.80727,0.254059,8,0
10,1.42632,3.89273,0.255021,8,0
11,1.3067,4.05273,0.244953,8,0
12,1.3728,4.49455,0.274676,8,0
13,1.43045,3.74364,0.241379,8,0
14,1.17783,4.45455,0.277143,8,0
15,1.18765,3.95636,0.267004,8,0
16,1.3067,4.30545,0.266047,8,0
17,1.30102,4.14545,0.276316,8,0
18,1.17955,4.39091,0.266667,8,0
19,1.30102,4.20182,0.257464,8,0
20,1.39691,4.20182,0.257464,8,0
21,1.43045,3.99636,0.264331,8,0
22,1.17955,3.99636,0.264331,8,0
23,1.20845,3.99636,0.264331,8,0
24,1.12788,3.80727,0.254059,8,0
25,1.19617,3.80727,0.254059,8,0
26,1.17783,4.39091,0.266667,8,0
27,1.41688,4.14545,0.276316,8,0
28,1.31806,4.30545,0.266047,8,0
29,1.22812,4.49455,0.274676,8,0
30,1.3067,4.45455,0.277143,8,0
31,1.17955,3.89273,0.255021,8,0
32,1.17955,4.45455,0.277143,8,0
33,1.16883,4.14545,0.276316,8,0
34,1.30809,3.95636,0.267004,8,0
35,1.42632,4.05273,0.244953,8,0
36,1.38571,4.30545,0.266047,8,0
37,1.30102,3.95636,0.267004,8,0
38,1.25624,4.20182,0.257464,8,0
39,1.43045,3.89273,0.255021,8,0
40,1.21154,3.99636,0.264331,8,0
41,1.17783,4.20182,0.257464,8,0
42,1.17955,3.70364,0.243986,8,0
43,1.21294,4.24182,0.255036,8,0
44,1.30102,4.39091,0.266667,8,0
45,1.17783,4.45455,0.277143,8,0
46,1.30102,3.74364,0.241379,8,0
47,1.32425,4.39091,0.266667,8,0
48,1.14545,4.24182,0.255036,8,0
49,1.32425,4.14545,0.276316,8,0
50,1.3067,4.24182,0.255036,8,0
51,1.38571,4.24182,0.255036,8,0
52,1.17687,4.49455,0.274676,8,0
53,1.41688,3.74364,0.241379,8,0
54,1.3067,3.99636,0.264331,8,0
55,1.31398,3.99636,0.264331,8,0
56,1.17687,4.20182,0.257464,8,0
57,1.38619,4.64364,0.285043,8,0
58,1.17783,4.45455,0.277143,8,0
59,1.17955,4.24182,0.255036,8,0
60,1.17955,4.24182,0.255036,8,0
61,1.17287,3.95636,0.267004,8,0
62,1.30102,4.24182,0.255036,8,0
63,1.05585,3.55455,0.229156,8,0
64,1.125,3.55455,0.229156,8,0
65,1.27708,4.20182,0.257464,8,0
66,1.32425,4.14545,0.276316,8,0
67,1.31806,3.55455,0.229156,8,0
68,1.17287,3.70364,0.243986,8,0
69,1.17955,3.95636,0.267004,8,0
70,1.30728,4.24182,0.255036,8,0
71,1.3067,4.39091,0.266667,8,0
72,1.28133,4.14545,0.276316,8,0
73,1.21294,4.30545,0.266047,8,0
74,1.31806,3.95636,0.267004,8,0
