session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.10119,2.16,0,1,2
2,1.24857,2.16,0,1,2
3,1.22753,2.20364,0.019802,2,2
4,1.13873,2.16,0,1,1
5,1.17465,2.16,0,1,2
6,1.18235,2.31636,0.0243328,2,1
7,1.11656,2.20364,0.019802,2,1
8,1.13663,2.20364,0.019802,2,1
9,1.032,2.16,0,1,0
10,1.1875,2.16,0,1,2
11,1.21944,2.16,0,1,2
12,1.08187,2.16,0,1,1
13,1.13663,2.16,0,1,1
14,1.19266,2.16,0,1,1
15,1.21159,2.16,0,1,3
16,1.11549,2.16,0,1,1
17,1.14555,2.16,0,1,2
18,1.11497,2.16,0,1,1
19,1.30357,2.16,0,1,5
20,1.03652,2.20364,0.019802,2,0
21,1.13766,2.16,0,1,3
22,1.14045,2.16,0,1,1
23,1.26301,2.16,0,1,2
24,1.17308,2.16,0,1,1
25,1.01531,2.16,0,1,1
26,1.33945,2.16,0,1,4
27,1.09115,2.20364,0.019802,2,1
28,1.16954,2.16,0,1,2
29,1.24148,2.16,0,1,2
30,1,2.31636,0.0243328,2,1
31,1.08639,2.20364,0.019802,2,0
32,1.151,2.16,0,1,1
33,1.15,2.16,0,1,2
34,1.29674,2.16,0,1,4
35,1.1257,2.16,0,1,1
36,1.18108,2.16,0,1,2
37,1.18428,2.20364,0.019802,2,2
38,1.1202,2.16,0,1,2
39,1.22689,2.16,0,1,3
40,1.0069,2.16,0,1,0
41,1.2997,2.16,0,1,3
42,1.11311,2.31636,0.0243328,2,1
43,1.21307,2.16,0,1,1
44,1.20055,2.16,0,1,1
45,1.18681,2.16,0,1,2
46,1.01355,2.16,0,1,0
47,1.35577,3.57455,0.0600203,2,2
48,1.19242,2.20364,0.019802,2,1
49,1.13736,2.16,0,1,1
50,1.06983,2.16,0,1,1
51,1.35987,2.16,0,1,4
52,1.15406,2.16,0,1,2
53,1.08877,2.16,0,1,0
54,1.08877,2.16,0,1,1
55,1.12828,2.16,0,1,1
56,1.15942,2.20364,0.019802,2,0
57,1,2.31636,0.0243328,2,0
58,1.1686,2.16,0,1,2
