session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.1756,3.14182,0.197917,7,0
2,1.34571,3.33273,0.225859,7,0
3,1.20506,3.27818,0.212978,7,0
4,1.16474,3.33273,0.225859,7,0
5,1.40845,3.33273,0.225859,7,0
6,1.2,3.50909,0.236269,7,0
7,1.21779,3.37273,0.223181,7,0
8,1.34302,3.27818,0.212978,7,0
9,1.21067,3.37273,0.223181,7,0
10,1.33807,3.19636,0.211604,7,0
11,1.43887,3.27818,0.212978,7,0
12,1.19298,3.50909,0.236269,7,0
13,1.18895,3.33273,0.225859,7,0
14,1.21713,3.27818,0.212978,7,0
15,1.25507,3.19636,0.211604,7,0
16,1.31234,3.27818,0.212978,7,0
17,1.16981,3.50909,0.236269,7,0
18,1.3369,3.37273,0.223181,7,0
19,1.25595,3.27818,0.212978,7,0
20,1.21067,3.50909,0.236269,7,0
21,1.13766,3.33273,0.225859,7,0
22,1.37079,3.33273,0.225859,7,0
23,1.1763,3.50909,0.236269,7,0
24,1.19505,3.50909,0.236269,7,0
25,1.09184,3.37273,0.223181,7,0
26,1.29664,3.50909,0.236269,7,0
27,1.31635,3.27818,0.212978,7,0
28,1.41092,3.27818,0.212978,7,0
29,1.33807,3.50909,0.236269,7,0
30,1.20941,3.37273,0.223181,7,0
31,1.26963,3.50909,0.236269,7,0
32,1.36182,3.37273,0.223181,7,0
33,1.38056,3.33273,0.225859,7,0
34,1.20178,3.50909,0.236269,7,0
35,1.35475,3.27818,0.212978,7,0
36,1.17568,3.33273,0.225859,7,0
37,1.1897,3.50909,0.236269,7,0
38,1.13555,3.50909,0.236269,7,0
39,1.13165,3.50909,0.236269,7,0
40,1.2023,3.27818,0.212978,7,0
41,1.23739,3.50909,0.236269,7,0
42,1.28535,3.50909,0.236269,7,0
43,1.38636,3.33273,0.225859,7,0
44,1.21978,3.27818,0.212978,7,0
45,1.21978,3.33273,0.225859,7,0
46,1.16531,3.19636,0.211604,7,0
47,1.26603,3.50909,0.236269,7,0
48,1.20408,3.27818,0.212978,7,0
49,1.28022,3.27818,0.212978,7,0
50,1.21696,3.27818,0.212978,7,0
51,1.28981,3.50909,0.236269,7,0
52,1.17927,3.19636,0.211604,7,0
53,1.30548,3.50909,0.236269,7,0
54,1.30548,3.50909,0.236269,7,0
55,1.19534,3.27818,0.212978,7,0
56,1.33043,3.50909,0.236269,7,0
57,1.2023,3.37273,0.223181,7,0
58,1.19767,3.50909,0.236269,7,0
59,1.30933,3.33273,0.225859,7,0
60,1.35484,3.33273,0.225859,7,0
61,1.31833,3.50909,0.236269,7,0
62,1.2117,3.37273,0.223181,7,0
63,1.23944,3.37273,0.223181,7,0
64,1.25956,3.50909,0.236269,7,0
65,1.23636,3.27818,0.212978,7,0
66,1.13528,3.37273,0.223181,7,0
67,1.12533,3.37273,0.223181,7,0
68,1.24734,3.37273,0.223181,7,0
69,1.38056,3.27818,0.212978,7,0
70,1.37752,3.37273,0.223181,7,0
71,1.24377,3.37273,0.223181,7,0
72,1.13913,3.27818,0.212978,7,0
73,1.23392,3.50909,0.236269,7,0
74,1.18803,3.50909,0.236269,7,0
75,1.35262,3.50909,0.236269,7,0
76,1.28871,3.50909,0.236269,7,0
77,1.38551,3.33273,0.225859,7,0
78,1.20804,3.50909,0.236269,7,0
79,1.34349,3.37273,0.223181,7,0
80,1.21019,3.37273,0.223181,7,0
81,1.36657,3.50909,0.236269,7,0
82,1.14846,3.33273,0.225859,7,0
83,1.2057,3.19636,0.211604,7,0
84,1.26786,3.33273,0.225859,7,0
85,1.23858,3.19636,0.211604,7,0
86,1.10909,3.37273,0.223181,7,0
87,1.28534,3.27818,0.212978,7,0
88,1.18263,3.50909,0.236269,7,0
89,1.20402,3.50909,0.236269,7,0
90,1.39359,3.10182,0.200469,7,0
91,1.38123,3.10182,0.200469,7,0
92,1.42296,3.27818,0.212978,7,0
93,1.20941,3.50909,0.236269,7,0
94,1.3869,3.33273,0.225859,7,0
95,1.2,3.10182,0.200469,7,0
96,1.1994,3.50909,0.236269,7,0
97,1.19764,3.33273,0.225859,7,0
98,1.1359,3.37273,0.223181,7,0
