session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.42824,2.16,0,1,9
2,1.49025,2.16,0,1,5
3,1.2027,2.16,0,1,2
4,1.08578,2.16,0,1,1
5,1.37629,2.16,0,1,5
6,1.11382,2.16,0,1,1
7,1.21958,2.16,0,1,2
8,1.10465,2.16,0,1,2
9,1.07268,2.16,0,1,0
10,1.0907,2.16,0,1,1
11,1.21237,2.16,0,1,2
12,1.11714,2.16,0,1,0
13,1.20854,2.16,0,1,2
14,1.24304,2.16,0,1,3
15,1.20975,2.16,0,1,2
16,1.29639,2.16,0,1,3
17,1.11549,2.16,0,1,1
18,1.33684,2.16,0,1,4
19,1.2381,2.16,0,1,3
20,1.31878,2.16,0,1,4
21,1.12977,2.16,0,1,1
22,1.20972,2.16,0,1,2
23,1.10995,2.16,0,1,1
24,1.14385,2.16,0,1,1
25,1.29861,2.16,0,1,4
26,1.15718,2.16,0,1,1
27,1.08085,2.16,0,1,0
28,1.00518,2.16,0,1,0
29,1.11026,2.16,0,1,2
30,1.24638,2.16,0,1,3
31,1.14247,2.16,0,1,2
32,1.2584,2.16,0,1,4
33,1.09785,2.16,0,1,1
34,1.27154,2.16,0,1,3
35,1.26546,2.16,0,1,4
36,1.04239,2.16,0,1,0
37,1.10811,2.16,0,1,1
38,1,2.16,0,1,0
39,1.28989,2.16,0,1,3
40,1.20813,2.16,0,1,3
41,1.23478,2.16,0,1,3
42,1.27358,2.16,0,1,4
43,1.40947,2.16,0,1,4
44,1.22989,2.16,0,1,3
45,1.125,2.16,0,1,1
46,1.16967,2.16,0,1,2
47,1.2,2.16,0,1,2
48,1.27604,2.16,0,1,3
49,1,2.16,0,1,0
50,1.14583,2.16,0,1,2
51,1.09254,2.16,0,1,1
52,1.2302,2.16,0,1,2
53,1.15385,2.16,0,1,1
54,1.12051,2.16,0,1,1
55,1.23488,2.16,0,1,3
56,1.20433,2.16,0,1,2
57,1.22938,2.16,0,1,2
58,1.258,3.36,0,1,5
59,1.14322,2.16,0,1,2
60,1.20398,2.16,0,1,2
61,1.27835,2.16,0,1,3
62,1.22443,2.16,0,1,2
63,1.10648,2.16,0,1,1
64,1.05583,2.16,0,1,1
65,1.26912,2.16,0,1,2
66,1.24633,2.16,0,1,2
67,1.21714,2.16,0,1,2
68,1.13033,2.16,0,1,1
69,1.20588,2.16,0,1,1
70,1.15654,2.16,0,1,1
71,1.26087,2.16,0,1,4
72,1.1701,2.16,0,1,2
73,1.10092,2.16,0,1,1
74,1.21458,2.16,0,1,5
75,1.17787,2.16,0,1,2
76,1.14797,2.16,0,1,2
77,1.04202,2.16,0,1,0
78,1.20217,2.16,0,1,2
79,1.15634,2.16,0,1,1
80,1.24379,2.16,0,1,5
81,1.0591,2.16,0,1,1
82,1.23604,2.16,0,1,3
83,1.19722,2.16,0,1,2
84,1.02771,2.16,0,1,1
85,1.18011,2.16,0,1,2
86,1.03563,2.16,0,1,0
87,1.1138,2.16,0,1,2
88,1.23514,2.16,0,1,3
89,1.01707,2.16,0,1,1
90,1.04847,2.16,0,1,1
91,1.19324,2.16,0,1,3
92,1.18354,2.16,0,1,4
93,1.27371,2.16,0,1,3
94,1.23316,2.16,0,1,2
95,1.16489,2.16,0,1,1
96,1.31622,2.16,0,1,3
97,1.22143,2.16,0,1,3
98,1.18868,2.16,0,1,2
99,1.29301,2.16,0,1,3
100,1.16377,2.16,0,1,1
101,1.20098,2.16,0,1,3
