session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.03294,4.15042,0.151748,5,48
2,1.10028,3.54764,0.0799508,3,90
3,1.11622,2.36945,0.0276243,2,107
4,1.01716,2.52036,0.0620401,3,25
5,1,4.0338,0.0773464,3,6
6,1.06233,2.54182,0.0321888,2,61
7,1.04154,2.56036,0.0610709,3,38
8,1.02093,2.34909,0.0294118,2,29
9,1.05514,3.92182,0.127955,4,57
10,1.07256,2.62364,0.0623701,3,79
11,1.07796,2.65927,0.100506,4,75
12,1.06286,2.46655,0.0545481,3,55
13,1.1809,2.58545,0.0949367,4,176
14,1.10633,2.53527,0.0344234,2,106
15,1.14619,2.20364,0.019802,2,184
16,1.04639,4.15042,0.151748,5,61
17,1.09014,3.90291,0.156527,5,85
18,1.04737,3.73636,0.0846715,3,50
19,1.00752,4.0338,0.0773464,3,16
20,1.11135,2.66545,0.0920873,4,132
21,1.05598,2.62364,0.0623701,3,57
22,1.12276,2.41818,0.0571429,3,122
23,1,3.99951,0.144745,5,7
24,1.10441,3.61818,0.11005,4,115
25,1.09954,4.05793,0.114523,4,108
26,1.09214,2.54182,0.0321888,2,83
27,1.07447,2.46655,0.0545481,3,88
28,1.00518,2.16,0,1,10
29,1.04872,3.36,0.0714286,3,52
30,1.11014,2.45236,0.0311388,2,94
31,1.02419,2.55455,0.0918149,4,30
32,1.12661,2.80387,0.0867631,4,122
33,1,2.66569,0.0769372,4,6
34,1.08877,2.90229,0.0830692,4,85
35,1.12629,2.42909,0.0284431,2,121
36,1.01746,3.64545,0.116708,4,25
37,1,2.52036,0.0620401,3,6
38,1,2.16,0,1,5
39,1.0266,3.99296,0.118299,4,30
40,1.03349,2.69673,0.101133,4,39
41,1.02609,2.45236,0.0311388,2,29
42,1.05189,2.28655,0.023855,2,55
43,1.02228,2.45236,0.0311388,2,24
44,1.11207,2.80364,0.101167,4,98
45,1.04082,3.85478,0.112635,4,44
46,1.05656,2.65951,0.0582473,3,58
47,1.04051,2.66569,0.0769372,4,42
48,1,4.0338,0.0773464,3,5
49,1,2.16,0,1,4
50,1,4.27078,0.182211,6,8
51,1.04627,2.41818,0.0571429,3,47
52,1.15594,2.50364,0.0653595,3,155
53,1.07436,2.73042,0.0870995,4,76
54,1.02821,2.36945,0.0276243,2,32
55,1.08837,2.43491,0.0537634,3,92
56,1.04025,2.45236,0.0311388,2,38
57,1.05155,3.75636,0.116167,4,52
58,1.022,2.72824,0.0687757,3,33
59,1.03518,3.73636,0.0846715,3,38
60,1.12935,2.49818,0.055313,3,125
61,1.05928,2.86884,0.0821366,4,61
62,1.1108,3.36,0.0714286,3,98
63,1.03935,2.78364,0.130634,5,49
64,1.04369,2.62182,0.0998613,4,48
65,1.01133,2.36945,0.0276243,2,15
66,1.19062,2.20364,0.019802,2,158
67,1.01429,2.36945,0.0276243,2,20
68,1.01504,2.45236,0.0311388,2,20
69,1.00882,2.45236,0.0311388,2,15
70,1.06776,2.24727,0.038835,3,74
71,1.04348,2.57855,0.0676914,3,58
72,1.07732,2.55455,0.0918149,4,75
73,1,2.56036,0.0610709,3,5
74,1.03542,3.86182,0.150659,5,49
75,1.17787,2.16,0,1,198
76,1.05728,2.41818,0.0571429,3,61
77,1.04202,2.16,0,1,51
78,1.2,2.45818,0.056213,3,219
79,1.04425,3.61091,0.0805639,3,42
80,1,3.85478,0.112635,4,6
81,1.00709,2.52036,0.0620401,3,15
82,1.04315,2.592,0.0925926,4,48
83,1.03333,3.85491,0.127346,4,35
84,1.02771,2.16,0,1,33
85,1.05108,2.42909,0.0284431,2,51
86,1.02227,4.03587,0.152451,5,30
87,1.1138,2.16,0,1,117
88,1.02326,4.31624,0.190823,6,32
89,1.00488,2.58364,0.0633357,3,11
90,1.04847,2.16,0,1,52
91,1.09662,2.78193,0.0577755,3,97
92,1,2.59855,0.0902603,4,7
93,1.07588,2.80387,0.0867631,4,70
94,1.05699,2.88133,0.125195,5,58
95,1.01862,2.59636,0.106443,5,26
96,1,3.99296,0.118299,4,7
97,1.02143,2.80969,0.112856,5,30
98,1.07547,3.78364,0.122537,4,70
99,1.12366,2.73042,0.0870995,4,113
100,1.13648,2.49818,0.055313,3,137
101,1.01961,4.31624,0.190823,6,27
102,1.02296,2.41818,0.0571429,3,34
103,1.09726,2.80969,0.112856,5,102
104,1.00794,3.85491,0.127346,4,15
105,1.02433,2.54182,0.0321888,2,28
106,1.10987,2.16,0,1,122
107,1.0232,3.73636,0.0846715,3,29
108,1.00279,4.27078,0.182211,6,12
109,1.10076,2.43491,0.0537634,3,99
110,1.02695,2.80387,0.0867631,4,29
111,1.04942,2.54182,0.0321888,2,49
112,1.00822,4.27078,0.182211,6,18
113,1,4.31624,0.190823,6,8
114,1.08858,3.73636,0.0846715,3,95
115,1.03318,2.66545,0.0920873,4,38
116,1.17172,2.24727,0.038835,3,163
117,1.13973,2.66545,0.0920873,4,127
118,1.02785,2.84496,0.114013,5,35
119,1.06566,2.62545,0.0934903,4,67
120,1,2.592,0.0925926,4,6
121,1.0831,2.84969,0.111272,5,76
122,1.03631,3.82764,0.121129,4,38
123,1,2.16,0,1,5
124,1.09115,2.62364,0.0623701,3,89
125,1.03731,2.45236,0.0311388,2,42
126,1.08516,2.43491,0.0537634,3,80
127,1.07538,2.62364,0.0623701,3,75
128,1.08226,2.63855,0.088892,4,81
129,1.06667,3.81091,0.128817,4,66
130,1.08884,2.42182,0.0337838,2,108
131,1.08355,2.79029,0.0562991,3,82
132,1.03788,3.36,0.0714286,3,42
133,1.03406,2.592,0.0925926,4,38
134,1.03641,2.65455,0.0356164,2,43
135,1.06114,3.78364,0.122537,4,71
136,1.04206,3.99296,0.118299,4,48
137,1.01961,4.21284,0.147083,5,25
