session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.09647,2.65951,0.0582473,3,1
2,1.04178,2.36945,0.0276243,2,0
3,1.07297,2.28655,0.023855,2,1
4,1.01716,2.52036,0.0620401,3,0
5,1,4.0338,0.0773464,3,0
6,1.04065,2.99455,0.0716454,3,1
7,1.04154,2.56036,0.0610709,3,0
8,1.02093,2.34909,0.0294118,2,3
9,1.05764,2.64182,0.0688231,3,1
10,1.01587,2.31636,0.0243328,2,3
11,1.09409,2.33273,0.0483242,3,1
12,1.06286,2.46655,0.0545481,3,0
13,1.14573,3.21369,0.0663072,3,1
14,1.10633,2.31636,0.0243328,2,28
15,1.13136,2.34109,0.0465983,3,1
16,1.05928,2.72278,0.0595647,3,0
17,1.08169,2.54909,0.0271041,2,1
18,1.04737,3.36545,0.0788763,3,0
19,1.00752,3.8092,0.0756064,3,1
20,1.13319,2.31636,0.0243328,2,3
21,1.05598,2.49818,0.055313,3,1
22,1.11765,2.99455,0.0716454,3,1
23,1.0445,2.28655,0.023855,2,0
24,1.10673,2.74364,0.0596421,3,1
25,1.16667,2.47187,0.0450156,3,2
26,1.09214,2.49818,0.055313,3,1
27,1.07447,2.28655,0.023855,2,1
28,1,2.31636,0.0243328,2,1
29,1.05128,2.61818,0.0527778,3,2
30,1.02319,2.46655,0.0545481,3,0
31,1.03226,3.07455,0.0697812,3,1
32,1.1137,3.11455,0.068885,3,1
33,1,2.56569,0.0518733,3,0
34,1.10183,2.82193,0.0569566,3,1
35,1.12629,2.31636,0.0243328,2,4
36,1.02993,2.32545,0.028147,2,3
37,1,2.33273,0.0483242,3,0
38,1,2.16,0,1,11
39,1.17553,3.07455,0.0697812,3,2
40,1.03589,2.512,0.0636943,3,0
41,1.02609,2.45236,0.0311388,2,0
42,1.05189,2.28655,0.023855,2,2
43,1.02228,2.45236,0.0311388,2,1
44,1.1954,2.33273,0.0483242,3,6
45,1.06122,2.31636,0.0243328,2,1
46,1.05656,2.56569,0.0518733,3,0
47,1.04051,2.59733,0.0526415,3,1
48,1,4.0338,0.0773464,3,0
49,1,2.16,0,1,1
50,1.11458,2.33273,0.0483242,3,1
51,1.04627,2.33273,0.0483242,3,1
52,1.15594,2.50364,0.0653595,3,3
53,1.08462,2.41818,0.0571429,3,1
54,1.02821,2.36945,0.0276243,2,0
55,1.08837,2.43491,0.0537634,3,1
56,1.04025,2.45236,0.0311388,2,0
57,1.0567,2.56036,0.0610709,3,0
58,1.022,2.41818,0.0571429,3,3
59,1.03518,2.99455,0.0716454,3,1
60,1.06965,2.34109,0.0465983,3,1
61,1.1134,2.79029,0.0562991,3,2
62,1.1108,2.98909,0.0632603,3,1
63,1.05093,2.33273,0.0483242,3,1
64,1.04369,2.39091,0.0547529,3,1
65,1.01133,2.36945,0.0276243,2,0
66,1.1085,2.34109,0.0465983,3,1
67,1.01429,2.36945,0.0276243,2,1
68,1.01504,2.34109,0.0465983,3,1
69,1.00882,2.45236,0.0311388,2,0
70,1.06542,2.43491,0.0537634,3,0
71,1,2.28655,0.023855,2,1
72,1.06443,2.37273,0.0475096,3,2
73,1,2.36945,0.0276243,2,1
74,1.01042,2.712,0.0589971,3,0
75,1.15401,3.08291,0.0684124,3,1
76,1.05728,2.41818,0.0571429,3,0
77,1.04202,2.16,0,1,15
78,1.1587,2.712,0.0589971,3,1
79,1.0354,2.712,0.0589971,3,0
80,1.06772,2.33273,0.0483242,3,4
81,1.00709,2.52036,0.0620401,3,0
82,1.17766,2.33273,0.0483242,3,5
83,1.11389,2.34109,0.0465983,3,2
84,1.00462,2.49818,0.055313,3,1
85,1.05108,2.42909,0.0284431,2,1
86,1.02895,2.27636,0.0247604,2,4
87,1.05569,2.33273,0.0483242,3,2
88,1.12661,2.47187,0.0450156,3,2
89,1.00488,2.33273,0.0483242,3,1
90,1.04847,2.16,0,1,7
91,1.02415,2.82193,0.0569566,3,0
92,1,2.43491,0.0537634,3,0
93,1.07317,2.72278,0.0595647,3,0
94,1.15285,2.41818,0.0571429,3,1
