session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.5,2.85818,0.0553435,2,6
2,1.13783,2.20364,0.019802,2,1
3,1.15964,2.20364,0.019802,2,1
4,1.31804,2.34909,0.0294118,2,3
5,1.15385,2.20364,0.019802,2,2
6,1.43671,2.41624,0.023026,2,3
7,1.43448,2.20364,0.019802,2,4
8,1.15722,2.49455,0.0379009,2,2
9,1.48101,2.28655,0.023855,2,5
10,1.17847,2.20364,0.019802,2,1
11,1.42478,2.49455,0.0379009,2,4
12,1.20403,2.31636,0.0243328,2,2
13,1.39697,2.20364,0.019802,2,4
14,1.2027,2.16,0,1,1
15,1.25945,2.49455,0.0379009,2,2
16,1.35714,2.31636,0.0243328,2,2
17,1.14691,2.53527,0.0344234,2,1
18,1.2372,3.05404,0.030005,2,3
19,1.50347,2.65455,0.0356164,2,3
20,1.07553,2.20364,0.019802,2,1
21,1.49502,2.16,0,1,5
22,1.16944,2.65455,0.0356164,2,2
23,1.31003,2.20364,0.019802,2,3
24,1.22108,2.16,0,1,3
25,1.125,2.62884,0.0257286,2,2
26,1.04558,2.20364,0.019802,2,0
27,1.27824,2.20364,0.019802,2,3
28,1.17595,2.16,0,1,2
29,1.15319,2.42182,0.0337838,2,1
30,1.34844,2.42909,0.0284431,2,3
31,1.10942,2.20364,0.019802,2,0
32,1.17733,2.20364,0.019802,2,1
33,1.15982,2.53527,0.0344234,2,1
34,1.31534,2.20364,0.019802,2,3
35,1.35952,2.84144,0.0280268,2,4
36,1.44872,2.31636,0.0243328,2,5
37,1.24706,2.28655,0.023855,2,3
38,1.07065,2.20364,0.019802,2,1
39,1.1843,2.54182,0.0321888,2,1
40,1.40439,2.31636,0.0243328,2,4
41,1.17297,2.42909,0.0284431,2,1
42,1.13695,2.27636,0.0247604,2,1
43,1.19118,2.31636,0.0243328,2,2
44,1.20195,2.53527,0.0344234,2,1
45,1.36202,2.31636,0.0243328,2,3
46,1.207,2.31636,0.0243328,2,2
47,1.33333,2.54182,0.0321888,2,3
48,1.27703,2.65455,0.0356164,2,2
49,1.02161,2.20364,0.019802,2,1
50,1.14851,2.54182,0.0321888,2,1
51,1.09115,2.31636,0.0243328,2,1
52,1.03866,2.16,0,1,1
53,1.06944,2.20364,0.019802,2,1
54,1.47826,2.36945,0.0276243,2,7
55,1.40816,2.31636,0.0243328,2,2
56,1.45652,3.10545,0.0468384,2,5
57,1.10649,2.20364,0.019802,2,0
58,1.15429,2.28655,0.023855,2,0
59,1.15461,2.42182,0.0337838,2,2
60,1.53509,2.16,0,1,6
61,1.34708,2.54182,0.0321888,2,1
62,1.05141,2.20364,0.019802,2,0
63,1.28,2.65455,0.0356164,2,1
64,1.34862,3.10545,0.0468384,2,3
65,1.165,3.05404,0.030005,2,1
66,1.26648,2.65455,0.0356164,2,2
67,1.09598,2.20364,0.019802,2,0
68,1.38676,2.65455,0.0356164,2,2
69,1.39041,2.28655,0.023855,2,2
70,1.1284,2.42182,0.0337838,2,2
71,1.23292,2.31636,0.0243328,2,2
72,1.06076,2.28655,0.023855,2,1
73,1,2.62884,0.0257286,2,0
74,1.22472,3.05404,0.030005,2,2
75,1.26198,2.16,0,1,3
76,1.02426,2.20364,0.019802,2,0
77,1.16937,2.16,0,1,3
78,1.24316,2.31636,0.0243328,2,3
79,1.09456,2.20364,0.019802,2,1
80,1.32492,2.84144,0.0280268,2,3
81,1.37459,2.36945,0.0276243,2,6
82,1.0854,2.20364,0.019802,2,1
83,1.39349,2.42909,0.0284431,2,4
84,1.05042,2.53527,0.0344234,2,1
