session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.12952,3.04047,0.0918517,4,117
2,1.13783,2.20364,0.019802,2,118
3,1.11446,2.63855,0.088892,4,95
4,1.02446,2.99587,0.125263,5,26
5,1.08974,2.77055,0.106313,4,90
6,1.21203,2.96533,0.121648,5,167
7,1.03448,2.69018,0.103406,4,29
8,1.15722,2.49455,0.0379009,2,150
9,1.06646,2.69018,0.103406,4,58
10,1.09065,2.864,0.139665,5,83
11,1.11799,2.99224,0.137568,5,101
12,1.13854,2.672,0.11976,5,149
13,1.35758,2.592,0.0925926,4,286
14,1.07095,2.80364,0.101167,4,57
15,1.13854,2.58909,0.0730337,3,137
16,1.14286,2.74327,0.0974284,4,108
17,1.10567,2.76364,0.102632,4,104
18,1.04313,2.94205,0.095666,4,43
19,1.23611,2.70327,0.0988701,4,164
20,1.07553,2.24727,0.038835,3,67
21,1.15282,3.14956,0.144897,6,121
22,1.04444,2.75091,0.11302,4,54
23,1.03343,2.80387,0.0867631,4,37
24,1.22108,2.16,0,1,210
25,1.02371,2.69018,0.103406,4,35
26,1.00804,2.73273,0.0998004,4,17
27,1.17631,2.66545,0.0920873,4,157
28,1.1437,2.70327,0.0988701,4,123
29,1.12553,2.58909,0.0730337,3,149
30,1.16431,2.71673,0.115112,5,143
31,1.06079,2.70327,0.0988701,4,52
32,1.00872,2.59855,0.0902603,4,15
33,1.15982,2.53527,0.0344234,2,167
34,1.24432,2.41818,0.0571429,3,205
35,1.12689,2.69018,0.103406,4,104
36,1.16987,2.85927,0.142439,5,133
37,1.04706,2.92533,0.123312,5,43
38,1.03261,2.53455,0.0688666,3,34
39,1.13993,2.71745,0.0682457,3,102
40,1.01567,2.96533,0.121648,5,21
41,1.05946,2.77042,0.111831,5,58
42,1.02326,2.69673,0.101133,4,30
43,1,2.66545,0.0920873,4,6
44,1.19465,2.62255,0.0665557,3,192
45,1.09496,2.80364,0.101167,4,80
46,1.07872,2.69018,0.103406,4,72
47,1.09568,2.84169,0.0932863,4,80
48,1.0777,2.69018,0.103406,4,61
49,1,2.84169,0.0932863,4,5
50,1.14851,2.54182,0.0321888,2,111
51,1.01072,2.81818,0.12,4,15
52,1.03866,2.16,0,1,42
53,1.00231,2.62364,0.0623701,3,10
54,1.02007,2.97356,0.0902498,4,19
55,1.17687,2.69673,0.101133,4,127
56,1.18634,2.84169,0.0932863,4,145
57,1.08312,2.62364,0.0623701,3,81
58,1.14,2.43491,0.0537634,3,121
59,1.09476,2.58909,0.0730337,3,97
60,1.27485,2.99224,0.137568,5,231
61,1.27835,2.59855,0.0902603,4,195
62,1.00514,2.52873,0.0603969,3,11
63,1.14667,2.78764,0.130446,5,109
64,1.1896,3.07175,0.0724492,3,156
65,1.1375,2.91587,0.1287,5,139
66,1.06593,3.03429,0.0992294,4,62
67,1.07121,2.87091,0.108296,4,63
68,1.16725,2.82764,0.128601,5,118
69,1.25342,2.69673,0.101133,4,180
70,1.1284,2.49455,0.0379009,2,158
71,1.1118,2.56727,0.0807365,4,90
72,1.06076,2.43491,0.0537634,3,61
73,1,2.84144,0.0280268,2,5
74,1.0618,2.69673,0.101133,4,58
75,1.26198,2.16,0,1,195
76,1,2.73273,0.0998004,4,7
77,1.058,2.69018,0.103406,4,66
78,1.10334,2.69673,0.101133,4,85
79,1.05444,2.56727,0.0807365,4,53
80,1.19243,3.23125,0.114338,5,153
81,1.05212,2.92533,0.123312,5,44
82,1.06061,2.53455,0.0688666,3,58
83,1.26923,2.75091,0.11302,4,222
84,1.0112,2.62255,0.0665557,3,14
85,1,2.69673,0.101133,4,6
86,1.08657,2.59636,0.106443,5,85
87,1.09552,2.76727,0.0749014,3,80
88,1,2.80364,0.101167,4,6
89,1.04106,2.91587,0.1287,5,39
90,1.14154,2.58909,0.0730337,3,113
91,1.08815,2.74909,0.0687831,3,74
92,1.17211,2.62364,0.0623701,3,141
93,1.20996,2.95587,0.126958,5,146
94,1.10067,2.81818,0.134194,5,76
95,1.07872,2.69673,0.101133,4,72
96,1.00562,2.76364,0.102632,4,11
97,1.19865,2.80364,0.101167,4,148
98,1.18707,2.66545,0.0920873,4,139
99,1.26582,2.42182,0.0337838,2,256
100,1,3.00702,0.0910597,4,6
101,1.13889,2.76364,0.102632,4,113
102,1.11401,2.69673,0.101133,4,89
103,1.02179,2.53382,0.0796498,4,30
104,1.18506,2.58909,0.0730337,3,140
105,1.18531,3.05356,0.121944,5,135
106,1.12658,2.83091,0.109827,4,100
107,1.15878,2.96533,0.121648,5,119
108,1.05755,3.05404,0.030005,2,61
109,1.00656,2.69673,0.101133,4,11
110,1.06506,2.592,0.0925926,4,72
111,1.01531,2.76364,0.102632,4,19
112,1.13896,2.71636,0.0722892,3,134
113,1.22924,2.69673,0.101133,4,169
114,1.22674,2.62255,0.0665557,3,189
115,1.18123,2.91587,0.1287,5,138
116,1.12952,2.62364,0.0623701,3,110
117,1.20478,2.65418,0.0671325,3,141
118,1.12618,2.84169,0.0932863,4,98
119,1.21154,2.58364,0.0633357,3,209
120,1.09172,3.03587,0.123613,5,81
121,1.01883,2.85927,0.142439,5,31
122,1.0997,2.49818,0.055313,3,84
123,1.07216,2.92533,0.123312,5,58
124,1.25915,2.58909,0.0730337,3,207
125,1.15489,2.65418,0.0671325,3,139
126,1.29592,2.52873,0.0603969,3,211
127,1,2.62545,0.0934903,4,6
128,1.03,2.65455,0.0356164,2,33
129,1.06377,2.78291,0.133281,5,58
130,1.1475,2.61818,0.0375,2,146
131,1.09415,2.58909,0.0730337,3,95
132,1.07869,2.62364,0.0623701,3,62
133,1.15068,2.61418,0.0681597,3,158
134,1.03495,3.12993,0.130587,5,39
135,1.04787,2.62364,0.0623701,3,47
136,1.05594,2.90229,0.0830692,4,61
137,1.13761,2.70327,0.0988701,4,113
138,1.18929,3.0006,0.122642,5,132
139,1.15707,2.92533,0.123312,5,146
140,1.41196,2.80364,0.101167,4,293
141,1.00202,2.72364,0.104139,4,10
142,1.1204,2.86291,0.129557,5,91
143,1.0379,2.74909,0.0687831,3,38
144,1.24127,2.80364,0.101167,4,183
145,1.11411,2.864,0.139665,5,96
146,1.29231,2.69673,0.101133,4,231
147,1.27152,3.14567,0.0582619,3,195
148,1.35644,2.73696,0.0848983,4,258
149,1.12727,2.85927,0.142439,5,125
150,1.19155,2.66909,0.0708447,3,166
151,1.14465,2.49818,0.055313,3,114
152,1.32464,2.58909,0.0730337,3,270
153,1.0745,2.58909,0.0730337,3,66
154,1.11589,2.96047,0.0943338,4,90
155,1.14613,2.47187,0.0450156,3,134
156,1.22492,3.05356,0.121944,5,185
157,1.1457,2.52727,0.0820144,4,111
158,1.25836,2.58909,0.0730337,3,216
159,1.16533,2.66909,0.0708447,3,158
160,1.11585,2.92533,0.123312,5,98
161,1.04817,2.60582,0.0697739,3,59
162,1.18038,2.672,0.11976,5,144
163,1.16923,2.58909,0.0730337,3,143
164,1.09446,2.70327,0.0988701,4,78
165,1.06452,2.70327,0.0988701,4,58
166,1.14667,2.66545,0.0920873,4,109
167,1.09783,2.79236,0.127621,5,91
168,1.16719,3.01551,0.14953,6,135
169,1.18467,2.70327,0.0988701,4,133
170,1.24579,2.80145,0.109034,4,181
171,1.17481,2.69018,0.103406,4,164
172,1.18241,2.52873,0.0603969,3,136
173,1.11875,2.66545,0.0920873,4,94
174,1.13667,2.62255,0.0665557,3,102
175,1.16162,2.592,0.0925926,4,119
176,1.13559,3.13465,0.12807,5,119
177,1.14004,2.27636,0.0247604,2,154
178,1.00606,2.84169,0.0932863,4,10
179,1.1913,3.07224,0.133986,5,160
180,1.1396,2.85927,0.142439,5,123
181,1.02454,2.69018,0.103406,4,25
182,1.2089,2.66545,0.0920873,4,150
183,1.18428,2.70327,0.0988701,4,165
184,1.24523,2.8286,0.0975748,4,217
185,1.33557,2.62545,0.0934903,4,239
186,1.29831,2.69673,0.101133,4,212
187,1.20721,2.89455,0.143216,5,169
188,1,3.14567,0.0582619,3,5
189,1.13247,2.69018,0.103406,4,132
190,1.2,3.48945,0.110463,3,198
191,1.03486,2.39091,0.0547529,3,43
