session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.11253,2.31636,0.0243328,2,2
2,1.1677,2.97369,0.0716587,3,1
3,1.03633,2.41818,0.0571429,3,3
4,1.12017,2.20364,0.019802,2,27
5,1.47022,2.49818,0.055313,3,9
6,1.323,2.45818,0.056213,3,2
7,1,2.20364,0.019802,2,4
8,1.05373,2.84545,0.0932907,3,0
9,1.05425,2.28655,0.023855,2,2
10,1.06527,2.41818,0.0571429,3,1
11,1.22252,3.69853,0.104022,3,4
12,1.13881,2.76,0.0869565,3,2
13,1.2057,2.50364,0.0653595,3,2
14,1.41695,2.49818,0.055313,3,7
15,1.16859,2.56569,0.0518733,3,2
16,1.31921,2.93091,0.0992556,3,6
17,1.11164,2.56569,0.0518733,3,1
18,1.03023,2.33273,0.0483242,3,1
19,1.20879,2.49818,0.055313,3,2
20,1.06538,2.72278,0.0595647,3,1
21,1.03879,3.62118,0.0712977,3,1
22,1.16172,3.09915,0.0769714,3,1
23,1.39752,2.50364,0.0653595,3,3
24,1.31447,2.62909,0.0719225,3,3
25,1.11196,2.42909,0.0284431,2,6
26,1.18895,2.67455,0.0802175,3,2
27,1.27964,2.67455,0.0802175,3,2
28,1.35473,2.77673,0.0838135,3,2
29,1.37542,3.55938,0.108497,3,3
30,1.37793,3.05091,0.0953516,3,4
31,1.17629,2.76,0.0869565,3,1
32,1.34463,3.17636,0.0995993,3,4
33,1.26954,2.41624,0.023026,2,6
34,1.1327,3.22073,0.109518,3,1
35,1.08094,3.6584,0.0918434,3,0
36,1.27684,2.41818,0.0571429,3,1
37,1.09633,2.41818,0.0571429,3,1
38,1.09896,2.31636,0.0243328,2,42
39,1.22961,3.45782,0.110422,3,7
40,1.20057,2.99273,0.0443499,2,5
41,1.18158,3.17636,0.0995993,3,3
42,1.22443,2.33273,0.0483242,3,5
43,1.10482,2.76,0.0869565,3,1
44,1.26687,2.512,0.0636943,3,4
45,1.00241,2.33273,0.0483242,3,0
46,1.18231,3.17636,0.0995993,3,2
47,1.15743,2.33273,0.0483242,3,2
48,1.01862,2.32545,0.028147,2,8
49,1.17804,2.62364,0.0623701,3,1
50,1.16738,3.05636,0.10351,3,15
51,1.00616,2.41818,0.0571429,3,1
52,1.07383,3.10871,0.0652712,3,1
53,1.29552,2.67455,0.0802175,3,6
54,1.08625,2.67455,0.0802175,3,1
55,1.32166,2.36945,0.0276243,2,4
56,1.37671,2.31636,0.0243328,2,3
57,1.13441,2.58909,0.0730337,3,1
58,1.06685,2.41818,0.0571429,3,1
59,1.1875,2.76,0.0869565,3,2
60,1.09804,2.76618,0.0788747,3,3
61,1.04782,2.47187,0.0450156,3,1
62,1.02236,2.39091,0.0547529,3,1
63,1,2.58909,0.0730337,3,0
64,1.17241,2.67455,0.0802175,3,2
65,1.11304,2.99891,0.0836668,3,1
66,1.33861,2.64278,0.0613678,3,4
67,1.37994,3.09915,0.0769714,3,4
68,1.00835,2.58909,0.0730337,3,1
69,1.17665,2.50364,0.0653595,3,1
70,1.07407,2.92545,0.0907396,3,0
71,1.16667,2.512,0.0636943,3,2
72,1.21239,2.97793,0.067405,3,2
73,1.29825,2.97793,0.067405,3,2
74,1.21676,3.26182,0.104794,3,2
75,1.12466,2.33273,0.0483242,3,1
76,1.17857,2.79345,0.0807081,3,1
77,1.13764,2.34109,0.0465983,3,2
78,1.10909,2.81127,0.0737291,3,1
79,1.29167,2.37273,0.0475096,3,3
80,1.13296,2.76727,0.0749014,3,2
81,1.35336,2.67455,0.0802175,3,2
82,1.08884,3.60471,0.100676,3,0
83,1.14024,2.56182,0.0709723,3,2
84,1.04444,2.58909,0.0730337,3,1
85,1.15426,3.03636,0.091018,3,2
86,1.39437,2.76,0.0869565,3,2
87,1.2069,2.89915,0.0822813,3,1
88,1.20604,3.53187,0.110783,3,1
89,1.17751,3.43696,0.110669,3,2
90,1.22785,2.84545,0.0932907,3,2
91,1.24224,2.76,0.0869565,3,2
92,1.38434,2.41818,0.0571429,3,4
93,1.33437,2.37273,0.0475096,3,1
94,1.03722,2.41818,0.0571429,3,0
95,1.20067,2.76,0.0869565,3,1
96,1.09686,2.67455,0.0802175,3,1
97,1.15601,3.13636,0.10087,3,3
