session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.20972,3.71696,0.275592,10,0
2,1.11491,3.71696,0.275592,10,0
3,1.04971,3.71696,0.275592,10,0
4,1.38197,4.02556,0.281293,10,0
5,1.41066,3.93151,0.289688,10,0
6,1.35401,4.18787,0.318843,10,0
7,1.06897,4.32193,0.307439,10,0
8,1.11343,4.24011,0.294075,10,0
9,1.11557,4.18787,0.318843,10,0
10,1.04439,3.71696,0.275592,10,0
11,1.06702,4.01333,0.304168,10,0
12,1.04533,3.88715,0.288784,10,0
13,1.17089,4.18787,0.318843,10,0
14,1.32203,3.71696,0.275592,10,0
15,1.14319,3.71696,0.275592,10,0
16,1.4209,4.10605,0.30527,10,0
17,1.11639,3.88715,0.288784,10,0
18,1.01163,3.71696,0.275592,10,0
19,1.06593,3.88715,0.288784,10,0
20,1.19128,3.71696,0.275592,10,0
21,1.10991,4.10605,0.30527,10,0
22,1.15182,3.93151,0.289688,10,0
23,1.20807,4.20011,0.296875,10,0
24,1.16667,3.89151,0.292665,10,0
25,1.16539,4.01333,0.304168,10,0
26,1.23547,3.89151,0.292665,10,0
27,1.17933,3.89151,0.292665,10,0
28,1.19932,4.02556,0.281293,10,0
29,1.27243,4.02556,0.281293,10,0
30,1.29766,3.88715,0.288784,10,0
31,1.10942,3.88715,0.288784,10,0
32,1.26271,3.93151,0.289688,10,0
33,1.39892,4.02556,0.281293,10,0
34,1.19431,4.19575,0.293284,10,0
35,1.18277,4.19575,0.293284,10,0
36,1.25424,4.02556,0.281293,10,0
37,1.20872,4.01333,0.304168,10,0
38,1.0599,4.01333,0.304168,10,0
39,1.13293,4.19575,0.293284,10,0
40,1.26934,3.88715,0.288784,10,0
41,1.08421,4.18351,0.315264,10,0
42,1.16193,3.88715,0.288784,10,0
43,1.11615,4.02556,0.281293,10,0
44,1.10123,4.02556,0.281293,10,0
45,1.16627,3.93151,0.289688,10,0
46,1.22788,3.89151,0.292665,10,0
47,1.00875,4.02556,0.281293,10,0
48,1.054,3.71696,0.275592,10,0
49,1.13056,3.93151,0.289688,10,0
50,1.17597,3.71696,0.275592,10,0
51,1.07803,3.71696,0.275592,10,0
52,1.17673,4.02556,0.281293,10,0
53,1.2597,4.20011,0.296875,10,0
54,1.12399,3.88715,0.288784,10,0
55,1.29618,3.88715,0.288784,10,0
56,1.30137,3.93151,0.289688,10,0
57,1.20968,3.89151,0.292665,10,0
58,1.06407,3.93151,0.289688,10,0
59,1.06875,4.24011,0.294075,10,0
60,1.28976,3.71696,0.275592,10,0
61,1.06029,4.02556,0.281293,10,0
62,1.06911,3.89151,0.292665,10,0
63,1,3.71696,0.275592,10,0
64,1.13506,3.71696,0.275592,10,0
65,1.04638,4.19575,0.293284,10,0
66,1.08861,4.20011,0.296875,10,0
67,1.34043,3.93151,0.289688,10,0
68,1.04175,4.02556,0.281293,10,0
69,1.28144,3.89151,0.292665,10,0
70,1.0625,4.24011,0.294075,10,0
71,1.17725,4.01333,0.304168,10,0
72,1.18289,4.02556,0.281293,10,0
73,1.16491,3.71696,0.275592,10,0
74,1.39306,3.89151,0.292665,10,0
75,1.08672,3.89151,0.292665,10,0
76,1.15584,3.93151,0.289688,10,0
77,1.13483,3.89151,0.292665,10,0
78,1.18961,3.89151,0.292665,10,0
79,1.3,3.89151,0.292665,10,0
80,1.09141,4.22787,0.315826,10,0
81,1.20141,4.02556,0.281293,10,0
82,1.17084,3.89151,0.292665,10,0
83,1.07317,4.01333,0.304168,10,0
84,1.15556,3.71696,0.275592,10,0
85,1.12234,4.01333,0.304168,10,0
86,1.27817,3.89151,0.292665,10,0
87,1.17241,3.89151,0.292665,10,0
88,1.20879,4.24011,0.294075,10,0
89,1.18935,4.10605,0.30527,10,0
90,1.1962,4.18351,0.315264,10,0
91,1.25466,4.01333,0.304168,10,0
92,1.32028,4.01333,0.304168,10,0
93,1.33437,4.01333,0.304168,10,0
94,1.14888,3.93151,0.289688,10,0
95,1.29766,4.02556,0.281293,10,0
96,1.09162,3.71696,0.275592,10,0
97,1.14578,4.02556,0.281293,10,0
98,1.24814,4.20011,0.296875,10,0
99,1.25,4.02556,0.281293,10,0
100,1.09513,4.18351,0.315264,10,0
101,1.17178,4.06169,0.304575,10,0
102,1.22384,3.89151,0.292665,10,0
103,1.29693,3.88715,0.288784,10,0
104,1.07489,3.89151,0.292665,10,0
105,1.38158,3.71696,0.275592,10,0
106,1.2057,3.71696,0.275592,10,0
107,1.17964,3.71696,0.275592,10,0
108,1.19601,4.02556,0.281293,10,0
109,1.08039,3.93151,0.289688,10,0
110,1.13004,3.93151,0.289688,10,0
111,1.18095,3.71696,0.275592,10,0
112,1.0609,4.02556,0.281293,10,0
113,1.07916,4.02556,0.281293,10,0
114,1.15193,3.71696,0.275592,10,0
115,1.07773,3.71696,0.275592,10,0
116,1.55718,3.71696,0.275592,10,0
117,1.24451,3.71696,0.275592,10,0
118,1.14076,3.71696,0.275592,10,0
119,1.05897,4.02556,0.281293,10,0
120,1.14775,3.88715,0.288784,10,0
121,1.12865,3.71696,0.275592,10,0
122,1.20124,3.88715,0.288784,10,0
123,1.12895,3.93151,0.289688,10,0
124,1.35376,4.06169,0.304575,10,0
125,1.083,3.89151,0.292665,10,0
126,1.43144,4.32193,0.307439,10,0
127,1.05051,3.71696,0.275592,10,0
128,1.25737,3.71696,0.275592,10,0
129,1.17667,3.89151,0.292665,10,0
130,1.10628,3.71696,0.275592,10,0
131,1.43333,4.02556,0.281293,10,0
132,1.20395,3.88715,0.288784,10,0
133,1.05278,3.71696,0.275592,10,0
134,1.09907,3.71696,0.275592,10,0
135,1.0913,3.88715,0.288784,10,0
136,1.15046,3.71696,0.275592,10,0
137,1.15042,3.93151,0.289688,10,0
138,1.10651,3.71696,0.275592,10,0
139,1.14628,3.93151,0.289688,10,0
140,1.21154,4.02556,0.281293,10,0
141,1.08874,3.71696,0.275592,10,0
142,1.16308,4.02556,0.281293,10,0
143,1.32258,3.71696,0.275592,10,0
144,1.11488,4.19575,0.293284,10,0
145,1.18378,3.93151,0.289688,10,0
146,1.20388,4.10169,0.301605,10,0
147,1.20366,3.89151,0.292665,10,0
148,1.30492,4.18351,0.315264,10,0
149,1.24012,3.71696,0.275592,10,0
150,1.08469,3.71696,0.275592,10,0
151,1.08808,3.88715,0.288784,10,0
152,1.10377,3.93151,0.289688,10,0
153,1.03239,3.88715,0.288784,10,0
154,1.11166,4.32193,0.307439,10,0
155,1.08934,4.01333,0.304168,10,0
156,1.54155,4.01333,0.304168,10,0
157,1.12958,3.88715,0.288784,10,0
158,1.26385,3.88715,0.288784,10,0
159,1.07327,4.10169,0.301605,10,0
160,1.0507,3.71696,0.275592,10,0
161,1.1278,4.01333,0.304168,10,0
162,1.12798,3.89151,0.292665,10,0
163,1.1768,4.02556,0.281293,10,0
164,1.03226,4.01333,0.304168,10,0
165,1.18132,4.01333,0.304168,10,0
166,1.06804,3.89151,0.292665,10,0
167,1.08389,4.20011,0.296875,10,0
168,1.15569,4.02556,0.281293,10,0
169,1.14332,4.02556,0.281293,10,0
170,1.25,4.01333,0.304168,10,0
171,1.04391,3.93151,0.289688,10,0
172,1.1825,3.71696,0.275592,10,0
173,1.07531,3.88715,0.288784,10,0
174,1.23442,4.10169,0.301605,10,0
175,1.59434,3.71696,0.275592,10,0
176,1.58163,3.93151,0.289688,10,0
177,1.06731,4.02556,0.281293,10,0
178,1.05088,4.01333,0.304168,10,0
179,1.3474,3.88715,0.288784,10,0
180,1.37113,3.88715,0.288784,10,0
181,1.08571,3.71696,0.275592,10,0
182,1.08617,3.93151,0.289688,10,0
183,1.14804,3.93151,0.289688,10,0
184,1.19178,4.10605,0.30527,10,0
185,1.39803,3.93151,0.289688,10,0
186,1.19048,4.10605,0.30527,10,0
187,1.2429,4.24011,0.294075,10,0
188,1.2137,4.06169,0.304575,10,0
189,1.05066,3.71696,0.275592,10,0
190,1.18325,3.89151,0.292665,10,0
191,1.17363,3.71696,0.275592,10,0
192,1.2707,4.10605,0.30527,10,0
193,1.23514,4.01333,0.304168,10,0
194,1.09214,4.10169,0.301605,10,0
195,1.11161,4.01333,0.304168,10,0
196,1.12963,3.93151,0.289688,10,0
197,1.09657,4.02556,0.281293,10,0
198,1.43855,3.89151,0.292665,10,0
199,1.14114,3.71696,0.275592,10,1
200,1.1875,3.89151,0.292665,10,0
201,1.2047,4.22787,0.315826,10,0
202,1.08687,3.71696,0.275592,10,0
203,1.06542,3.71696,0.275592,10,0
204,1.57143,4.01333,0.304168,10,0
205,1.1433,3.89151,0.292665,10,0
206,1.18161,3.71696,0.275592,10,0
207,1.17889,4.02556,0.281293,10,0
208,1.19048,4.32193,0.307439,10,0
209,1.12647,3.88715,0.288784,10,0
210,1.13018,4.02556,0.281293,10,0
211,1.44322,4.02556,0.281293,10,0
212,1.18232,3.88715,0.288784,10,0
213,1.17841,4.20011,0.296875,10,0
214,1.06567,3.71696,0.275592,10,0
215,1.19222,3.71696,0.275592,10,0
216,1.23885,4.01333,0.304168,10,0
217,1.04545,3.93151,0.289688,10,0
218,1.12465,4.18787,0.318843,10,0
219,1.2107,4.20011,0.296875,10,0
220,1.04592,3.89151,0.292665,10,0
221,1.19035,4.02556,0.281293,10,0
222,1.08316,3.71696,0.275592,10,0
223,1.12773,4.10169,0.301605,10,0
224,1.07908,4.24011,0.294075,10,0
225,1.07862,4.02556,0.281293,10,0
226,1.05698,3.93151,0.289688,10,0
227,1.06916,4.01333,0.304168,10,0
228,1.09554,3.93151,0.289688,10,0
229,1.14697,4.18351,0.315264,10,0
230,1.20968,4.10169,0.301605,10,0
231,1.16766,4.10169,0.301605,10,0
232,1.21714,3.89151,0.292665,10,0
233,1.06867,3.88715,0.288784,10,0
234,1.30314,3.89151,0.292665,10,0
235,1.2069,4.32193,0.307439,10,0
236,1.33333,3.93151,0.289688,10,0
237,1.04228,4.02556,0.281293,10,0
238,1.37582,4.32193,0.307439,10,0
239,1.04715,3.89151,0.292665,10,0
240,1.2449,4.19575,0.293284,10,0
241,1.20782,3.88715,0.288784,10,0
242,1.08056,4.32193,0.307439,10,0
243,1.37539,3.88715,0.288784,10,0
244,1.01705,3.89151,0.292665,10,0
245,1.17372,4.19575,0.293284,10,0
246,1.06354,3.71696,0.275592,10,0
247,1.00762,4.01333,0.304168,10,0
248,1.10363,3.71696,0.275592,10,0
249,1.10846,3.89151,0.292665,10,0
250,1.22973,4.02556,0.281293,10,0
251,1.2449,3.89151,0.292665,10,0
252,1.05665,4.02556,0.281293,10,0
253,1.0697,4.01333,0.304168,10,0
254,1.23988,3.93151,0.289688,10,0
255,1.06015,3.89151,0.292665,10,0
256,1.24299,3.93151,0.289688,10,0
257,1.14706,3.88715,0.288784,10,0
258,1.15438,3.71696,0.275592,10,0
259,1.17892,4.32193,0.307439,10,0
260,1.18497,4.02556,0.281293,10,0
261,1.31058,3.93151,0.289688,10,0
262,1.17134,4.06169,0.304575,10,0
263,1.21807,3.88715,0.288784,10,0
264,1.04558,4.18787,0.318843,10,0
265,1.18095,4.06169,0.304575,10,0
266,1.06383,3.93151,0.289688,10,0
267,1.07295,4.02556,0.281293,10,0
268,1.1831,4.01333,0.304168,10,0
269,1.16071,3.71696,0.275592,10,0
270,1.08592,4.24011,0.294075,10,0
271,1.0654,4.01333,0.304168,10,0
272,1.19519,3.93151,0.289688,10,0
273,1.20545,4.02556,0.281293,10,0
274,1.30408,3.71696,0.275592,10,0
275,1.25064,3.71696,0.275592,10,0
276,1.14375,3.93151,0.289688,10,0
277,1.07725,4.02556,0.281293,10,0
278,1.33333,4.22787,0.315826,10,0
279,1.13123,4.01333,0.304168,10,0
280,1.07852,3.88715,0.288784,10,0
281,1.09254,3.89151,0.292665,10,0
282,1.28753,4.01333,0.304168,10,0
283,1.10838,3.89151,0.292665,10,0
284,1.14613,4.22787,0.315826,10,0
285,1.08721,3.88715,0.288784,10,0
286,1.18182,3.88715,0.288784,10,0
287,1.18433,3.88715,0.288784,10,0
288,1.33718,3.71696,0.275592,10,0
289,1.08403,4.01333,0.304168,10,0
290,1.19899,4.18351,0.315264,10,0
291,1.23869,3.93151,0.289688,10,0
292,1.19345,3.89151,0.292665,10,0
293,1.11212,4.20011,0.296875,10,0
294,1.26502,3.93151,0.289688,10,0
295,1.27182,4.10605,0.30527,10,0
296,1.33187,3.93151,0.289688,10,0
297,1.20909,3.89151,0.292665,10,0
298,1.14673,3.71696,0.275592,10,0
299,1.09627,3.93151,0.289688,10,0
300,1.05927,3.71696,0.275592,10,0
301,1.39326,3.71696,0.275592,10,0
302,1.35068,4.06169,0.304575,10,0
303,1.07431,4.02556,0.281293,10,0
304,1.16427,4.18787,0.318843,10,0
305,1.47826,3.71696,0.275592,10,0
306,1.1746,3.93151,0.289688,10,0
307,1.12437,4.24011,0.294075,10,0
308,1.07917,3.88715,0.288784,10,0
309,1.47403,4.06169,0.304575,10,0
310,1.15339,3.93151,0.289688,10,0
311,1.23077,3.88715,0.288784,10,0
312,1.13118,4.10605,0.30527,10,0
313,1.1129,3.71696,0.275592,10,0
314,1.20603,4.02556,0.281293,10,0
315,1.09586,3.89151,0.292665,10,0
316,1.10054,3.71696,0.275592,10,0
317,1.08709,3.71696,0.275592,10,0
318,1.04638,4.18351,0.315264,10,0
319,1.32686,3.88715,0.288784,10,0
320,1.25697,4.02556,0.281293,10,0
321,1.34406,3.89151,0.292665,10,0
322,1.27405,3.89151,0.292665,10,0
323,1.22157,3.88715,0.288784,10,0
324,1.27451,3.71696,0.275592,10,0
325,1.44828,3.71696,0.275592,10,0
326,1.21914,3.89151,0.292665,10,0
327,1.08705,4.22787,0.315826,10,0
328,1.25664,4.01333,0.304168,10,0
329,1.14059,3.71696,0.275592,10,0
330,1.09828,3.93151,0.289688,10,0
331,1.18894,3.71696,0.275592,10,0
332,1.10177,4.10605,0.30527,10,0
333,1.13932,3.71696,0.275592,10,0
334,1.27891,3.71696,0.275592,10,0
335,1,4.02556,0.281293,10,0
336,1.45195,3.93151,0.289688,10,0
337,1.05205,3.89151,0.292665,10,0
338,1.16785,4.02556,0.281293,10,0
339,1.40111,3.71696,0.275592,10,0
340,1.0733,4.18787,0.318843,10,0
341,1.03099,3.88715,0.288784,10,0
342,1.13016,3.93151,0.289688,10,0
343,1.23558,4.01333,0.304168,10,0
344,1.08009,4.02556,0.281293,10,0
345,1.05859,4.01333,0.304168,10,0
346,1.40336,4.10605,0.30527,10,0
347,1.07843,3.88715,0.288784,10,0
348,1.03614,4.01333,0.304168,10,0
349,1.08431,4.10605,0.30527,10,0
350,1.15811,3.71696,0.275592,10,0
351,1.21447,4.01333,0.304168,10,0
352,1.11411,3.88715,0.288784,10,0
353,1.21981,3.89151,0.292665,10,0
354,1.18095,3.71696,0.275592,10,0
355,1.08308,3.88715,0.288784,10,0
356,1.08274,3.93151,0.289688,10,0
357,1.13429,4.01333,0.304168,10,0
358,1.13607,3.93151,0.289688,10,0
359,1.19935,3.93151,0.289688,10,0
360,1.07053,3.89151,0.292665,10,0
361,1.20802,3.71696,0.275592,10,0
362,1.0565,3.71696,0.275592,10,0
363,1.03597,3.89151,0.292665,10,0
364,1.20384,3.71696,0.275592,10,0
365,1.07907,4.10169,0.301605,10,0
366,1.09244,4.02556,0.281293,10,0
367,1.09016,4.18787,0.318843,10,0
368,1.21166,4.01333,0.304168,10,0
369,1.20846,3.71696,0.275592,10,0
370,1.456,4.01333,0.304168,10,0
371,1.26651,4.01333,0.304168,10,0
372,1.10736,4.10605,0.30527,10,1
373,1.10843,3.71696,0.275592,10,0
374,1.25795,3.93151,0.289688,10,0
375,1.02887,4.02556,0.281293,10,0
376,1.15705,3.71696,0.275592,10,0
377,1.0708,4.02556,0.281293,10,0
378,1.04866,4.10605,0.30527,10,0
379,1.20244,3.89151,0.292665,10,0
380,1.19304,4.01333,0.304168,10,0
381,1.0566,3.71696,0.275592,10,0
382,1.14722,3.93151,0.289688,10,0
383,1.0398,4.18787,0.318843,10,0
384,1.1853,3.71696,0.275592,10,0
385,1.03125,4.02556,0.281293,10,0
386,1.11416,3.71696,0.275592,10,0
387,1.23602,4.20011,0.296875,10,0
388,1.09959,3.71696,0.275592,10,0
389,1.03602,3.71696,0.275592,10,0
390,1.11598,4.01333,0.304168,10,0
391,1.05303,3.71696,0.275592,10,0
392,1.17007,4.06169,0.304575,10,0
393,1.16086,3.88715,0.288784,10,0
394,1.14697,3.89151,0.292665,10,0
395,1.19585,4.19575,0.293284,10,0
396,1.21472,3.71696,0.275592,10,0
397,1.06214,4.01333,0.304168,10,0
398,1.1,3.93151,0.289688,10,0
399,1.10927,3.71696,0.275592,10,0
400,1.19614,3.71696,0.275592,10,0
401,1.20067,3.71696,0.275592,10,0
402,1.17478,4.02556,0.281293,10,0
403,1.43299,3.93151,0.289688,10,0
404,1.4451,3.89151,0.292665,10,0
405,1.39695,3.89151,0.292665,10,0
406,1.2,4.02556,0.281293,10,0
407,1.02278,3.71696,0.275592,10,0
408,1.20724,3.88715,0.288784,10,0
409,1.33514,3.88715,0.288784,10,0
