session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.13811,2.45236,0.0311388,2,136
2,1.09006,3.12473,0.183289,6,80
3,1.03059,2.92533,0.123312,5,44
4,1.15665,2.50364,0.0653595,3,184
5,1.32915,3.25769,0.146451,5,268
6,1.33592,2.87636,0.0960809,3,326
7,1.00609,2.16,0,1,15
8,1.04179,2.97818,0.1337,4,39
9,1.03774,3.45745,0.215608,6,47
10,1.04439,3.29878,0.175271,6,51
11,1.03485,3.21769,0.148271,5,41
12,1.04533,3.46242,0.185367,6,47
13,1.17089,3.27309,0.17998,5,138
14,1.19322,3.22824,0.152293,5,147
15,1.13164,2.93987,0.103158,4,146
16,1.37571,2.76,0.0869565,3,327
17,1.07126,3.15187,0.144445,5,80
18,1.01163,3.41442,0.203202,7,22
19,1.06593,3.35115,0.183384,6,67
20,1.06538,2.94205,0.095666,4,72
21,1.04526,3.26289,0.0800183,3,58
22,1.14191,3.24569,0.118647,4,111
23,1.19876,3.68993,0.210499,7,163
24,1.14465,2.96,0.121622,4,118
25,1.06107,3.41042,0.161217,5,65
26,1.07849,3.21405,0.159753,5,74
27,1.07903,3.01842,0.118545,4,68
28,1.17568,2.89309,0.120664,4,131
29,1.19934,3.27538,0.144771,5,149
30,1.28094,3.24569,0.118647,4,204
31,1.10942,3.21418,0.192329,6,95
32,1.13277,3.08473,0.153248,5,121
33,1.25876,3.64313,0.114387,4,236
34,1.16588,2.96436,0.0932287,3,173
35,1.08616,3.40047,0.148001,5,88
36,1.23729,3.04545,0.152836,5,211
37,1.09633,2.62545,0.0934903,4,108
38,1.04427,3.27296,0.125991,4,50
39,1.07553,2.99782,0.127365,4,68
40,1.12321,3.04945,0.152635,5,112
41,1.08421,3.27309,0.17998,5,85
42,1.10795,2.80145,0.109034,4,97
43,1.07365,2.88655,0.122827,4,68
44,1.03681,3.87016,0.229542,8,38
45,1.00241,3.20182,0.181715,6,13
46,1.09115,2.88655,0.122827,4,88
47,1.01166,3.4852,0.177895,6,18
48,1.01862,2.67236,0.0734794,3,29
49,1.06231,3,0.12,4,58
50,1.16738,3.35636,0.0585049,2,194
51,1,2.66545,0.0920873,4,6
52,1.04698,3.43975,0.167031,6,60
53,1.09552,3.08,0.155844,5,83
54,1.01617,3.13769,0.152052,5,21
55,1.17197,3.14715,0.146973,5,138
56,1.30137,3.67842,0.240815,8,221
57,1.15591,3.08024,0.10377,4,144
58,1.06407,3.09055,0.160019,5,66
