session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.13647,2.42909,0.0284431,2,2
2,1.04178,2.36945,0.0276243,2,1
3,1.07297,2.28655,0.023855,2,1
4,1.03431,2.54182,0.0321888,2,0
5,1.10052,2.84144,0.0280268,2,1
6,1.06233,2.54182,0.0321888,2,1
7,1.06528,2.36945,0.0276243,2,1
8,1.02093,2.34909,0.0294118,2,1
9,1.07268,2.16,0,1,1
10,1.01587,2.31636,0.0243328,2,0
11,1.14247,2.20364,0.019802,2,1
12,1.07714,2.28655,0.023855,2,0
13,1.1608,2.54909,0.0271041,2,1
14,1.10633,2.31636,0.0243328,2,1
15,1.14619,2.20364,0.019802,2,2
16,1.14433,2.31636,0.0243328,2,1
17,1.08169,2.54909,0.0271041,2,1
18,1.07632,2.54182,0.0321888,2,1
19,1.13784,2.89455,0.0326633,2,2
20,1.13319,2.31636,0.0243328,2,1
21,1.06616,2.42909,0.0284431,2,1
22,1.13811,2.54182,0.0321888,2,2
23,1.0445,2.28655,0.023855,2,0
24,1.12529,2.54909,0.0271041,2,1
25,1.17593,2.27636,0.0247604,2,2
26,1.09214,2.54182,0.0321888,2,0
27,1.07447,2.28655,0.023855,2,0
28,1,2.31636,0.0243328,2,1
29,1.08718,2.54182,0.0321888,2,1
30,1.08406,2.36945,0.0276243,2,0
31,1.05376,2.89455,0.0326633,2,0
32,1.16021,2.20364,0.019802,2,5
33,1.07876,2.27636,0.0247604,2,1
34,1.18277,2.89455,0.0326633,2,1
35,1.12629,2.31636,0.0243328,2,1
36,1.02993,2.32545,0.028147,2,0
37,1.09091,2.20364,0.019802,2,3
38,1,2.16,0,1,1
39,1.19681,2.54909,0.0271041,2,2
40,1.09091,2.28655,0.023855,2,1
41,1.02609,2.45236,0.0311388,2,0
42,1.05189,2.28655,0.023855,2,0
43,1.02228,2.45236,0.0311388,2,0
44,1.22989,2.16,0,1,4
45,1.06122,2.31636,0.0243328,2,0
46,1.06427,2.41624,0.023026,2,1
47,1.16456,2.31636,0.0243328,2,2
48,1.15885,2.89455,0.0326633,2,2
49,1,2.16,0,1,0
50,1.13802,2.54909,0.0271041,2,1
51,1.07198,2.20364,0.019802,2,1
52,1.19059,2.42182,0.0337838,2,2
53,1.12308,2.54909,0.0271041,2,1
54,1.02821,2.36945,0.0276243,2,1
55,1.10233,2.36945,0.0276243,2,1
56,1.04025,2.45236,0.0311388,2,0
57,1.12113,2.42909,0.0284431,2,1
58,1.034,2.34909,0.0294118,2,0
59,1.06281,2.54909,0.0271041,2,1
60,1.13682,2.20364,0.019802,2,2
61,1.20876,2.41624,0.023026,2,2
62,1.13636,2.28655,0.023855,2,1
63,1.08796,2.27636,0.0247604,2,2
64,1.04854,2.20364,0.019802,2,0
65,1.01133,2.36945,0.0276243,2,0
66,1.11437,2.28655,0.023855,2,1
67,1.01429,2.36945,0.0276243,2,0
68,1.01504,2.45236,0.0311388,2,0
69,1.00882,2.45236,0.0311388,2,0
70,1.12617,2.20364,0.019802,2,2
71,1,2.28655,0.023855,2,0
72,1.08505,2.31636,0.0243328,2,0
73,1,2.36945,0.0276243,2,0
74,1.0625,2.36945,0.0276243,2,1
75,1.16269,2.28655,0.023855,2,2
76,1.09308,2.34909,0.0294118,2,1
77,1.04202,2.16,0,1,1
78,1.17609,2.28655,0.023855,2,1
79,1.0649,2.28655,0.023855,2,1
80,1.09255,2.27636,0.0247604,2,2
81,1.03546,2.27636,0.0247604,2,1
82,1.19543,2.34909,0.0294118,2,3
83,1.15,2.20364,0.019802,2,2
84,1.02079,2.54909,0.0271041,2,0
85,1.05108,2.42909,0.0284431,2,0
86,1.02895,2.27636,0.0247604,2,1
87,1.1138,2.16,0,1,3
88,1.18863,2.54909,0.0271041,2,2
89,1.00732,2.27636,0.0247604,2,0
90,1.04847,2.16,0,1,1
91,1.09662,2.62884,0.0257286,2,2
92,1.04852,2.36945,0.0276243,2,1
93,1.21951,2.45236,0.0311388,2,3
94,1.18135,2.27636,0.0247604,2,2
95,1.11436,2.27636,0.0247604,2,1
96,1.20541,2.41624,0.023026,2,3
97,1.1881,2.45236,0.0311388,2,3
98,1.1159,2.20364,0.019802,2,1
99,1.26344,2.20364,0.019802,2,3
100,1.16377,2.16,0,1,2
101,1.18873,2.32545,0.028147,2,3
102,1.09812,2.34909,0.0294118,2,2
103,1.19451,2.20364,0.019802,2,3
104,1.08995,2.36945,0.0276243,2,1
105,1.02433,2.31636,0.0243328,2,0
106,1.10987,2.16,0,1,1
107,1.02835,2.54182,0.0321888,2,0
108,1.20056,2.31636,0.0243328,2,2
109,1.17128,2.28655,0.023855,2,2
110,1.14286,2.54182,0.0321888,2,2
111,1.04942,2.54182,0.0321888,2,1
112,1.18904,2.41624,0.023026,2,2
113,1.13984,2.16,0,1,2
114,1.10256,2.54182,0.0321888,2,1
115,1.06872,2.27636,0.0247604,2,1
116,1.18182,2.20364,0.019802,2,2
117,1.15068,2.54182,0.0321888,2,1
118,1.18481,2.54182,0.0321888,2,3
119,1.14899,2.62884,0.0257286,2,2
120,1.06533,2.27636,0.0247604,2,1
121,1.22715,2.31636,0.0243328,2,3
122,1.0419,2.54182,0.0321888,2,0
123,1,2.16,0,1,1
124,1.10938,2.42909,0.0284431,2,1
125,1.02985,2.54909,0.0271041,2,1
126,1.10989,2.36945,0.0276243,2,1
127,1.1005,2.54182,0.0321888,2,1
128,1.13882,2.16,0,1,1
129,1.144,2.20364,0.019802,2,1
130,1.08884,2.42182,0.0337838,2,1
