session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.12952,3.04047,0.0918517,4,1
2,1.07038,2.37273,0.0475096,3,3
3,1.11446,2.60109,0.103453,5,7
4,1.02446,2.99587,0.125263,5,0
5,1.08974,2.39091,0.0547529,3,51
6,1.21203,2.96533,0.121648,5,0
7,1.03448,2.69018,0.103406,4,0
8,1.13918,2.50364,0.0653595,3,77
9,1.06646,2.69018,0.103406,4,0
10,1.08782,2.864,0.139665,5,0
11,1.11799,2.99224,0.137568,5,0
12,1.13854,2.672,0.11976,5,2
13,1.32121,2.37273,0.0475096,3,81
14,1.07095,2.80364,0.101167,4,1
15,1.13854,2.50364,0.0653595,3,196
16,1.14286,2.63855,0.088892,4,8
17,1.10567,2.69018,0.103406,4,9
18,1.04313,2.94205,0.095666,4,1
19,1.23611,2.49382,0.0809274,4,3
20,1.07553,2.20364,0.019802,2,73
21,1.15282,2.9206,0.126002,5,1
22,1.03889,2.99224,0.137568,5,1
23,1.01824,2.84969,0.111272,5,1
24,1.20308,3.09818,0.128521,4,10
25,1.02371,2.512,0.0636943,3,38
26,1.00804,2.39091,0.0547529,3,12
27,1.15427,2.38909,0.0707763,4,4
28,1.1437,2.69673,0.101133,4,1
29,1.12553,2.41818,0.0571429,3,642
30,1.16431,2.60109,0.103453,5,3
31,1.06079,2.69018,0.103406,4,2
32,1.00872,2.59855,0.0902603,4,0
33,1.15753,2.43491,0.0537634,3,568
34,1.24432,2.38909,0.0707763,4,219
35,1.12689,2.69018,0.103406,4,3
36,1.16987,2.85927,0.142439,5,2
37,1.04706,2.9206,0.126002,5,0
38,1.03261,2.39091,0.0547529,3,69
39,1.13993,2.53382,0.0796498,4,9
40,1.01567,2.96533,0.121648,5,0
41,1.05946,2.69296,0.0862855,4,8
42,1.0155,2.82291,0.131393,5,1
43,1,2.66545,0.0920873,4,4
44,1.18491,2.74327,0.0974284,4,354
45,1.09496,2.66545,0.0920873,4,3
46,1.07872,2.69018,0.103406,4,1
47,1.09568,2.73696,0.0848983,4,2
48,1.0777,2.69018,0.103406,4,1
49,1,2.47187,0.0450156,3,433
50,1.14851,2.49818,0.055313,3,55
51,1.01072,2.65273,0.10281,4,1
52,1.03866,2.16,0,1,74
53,1.00231,2.37273,0.0475096,3,86
54,1.02007,2.97356,0.0902498,4,1
55,1.17347,2.69673,0.101133,4,1
56,1.13043,2.92533,0.123312,5,1
57,1.08312,2.33273,0.0483242,3,63
58,1.14,2.34109,0.0465983,3,14
59,1.09476,2.58909,0.0730337,3,57
60,1.27485,2.99224,0.137568,5,2
61,1.27835,2.59855,0.0902603,4,3
62,1.00514,2.52873,0.0603969,3,23
63,1.14667,2.78291,0.133281,5,1
64,1.18349,3.42725,0.131141,5,1
65,1.105,3.19125,0.115771,5,1
66,1.06593,3.03429,0.0992294,4,2
67,1.04644,2.49818,0.055313,3,45
68,1.16725,2.67673,0.116832,5,1
69,1.25342,2.69673,0.101133,4,1
70,1.1284,2.41818,0.0571429,3,2560
71,1.1118,2.37273,0.0475096,3,46
72,1.06076,2.28655,0.023855,2,885
73,1,2.56569,0.0518733,3,48
74,1.0618,2.69018,0.103406,4,1
75,1.26198,2.16,0,1,89
76,1,2.55455,0.0918149,4,9
77,1.058,2.58545,0.0949367,4,4
78,1.07295,2.78291,0.133281,5,1
79,1.00573,2.38909,0.0707763,4,11
80,1.19243,2.72387,0.0893113,4,4
81,1.05212,2.92533,0.123312,5,0
82,1.06061,2.53455,0.0688666,3,24
83,1.21006,2.49382,0.0809274,4,3
84,1.0112,2.62255,0.0665557,3,4
85,1,2.69673,0.101133,4,0
86,1.08657,2.38909,0.0707763,4,12
87,1.05672,2.20364,0.019802,2,67
88,1,2.80364,0.101167,4,3
89,1.04106,2.91587,0.1287,5,0
90,1.14154,2.58909,0.0730337,3,2
91,1.08207,2.42909,0.0696108,4,7
92,1.16024,2.56727,0.0807365,4,30
93,1.15658,2.62545,0.0934903,4,1
94,1.10067,2.81818,0.134194,5,0
95,1.07872,2.592,0.0925926,4,2
96,1.00562,2.76364,0.102632,4,2
97,1.19865,2.66545,0.0920873,4,5
98,1.18027,2.712,0.117994,5,1
99,1.26582,2.27636,0.0247604,2,959
100,1,2.8286,0.0975748,4,13
101,1.13889,2.72364,0.104139,4,1
102,1.11401,2.69673,0.101133,4,1
103,1.02179,2.34109,0.0465983,3,81
104,1.09416,2.69647,0.0501665,3,2
105,1.18531,3.05356,0.121944,5,1
106,1.10127,2.93455,0.141264,5,1
107,1.15878,2.96533,0.121648,5,0
108,1.05755,2.84144,0.0280268,2,19
109,1.00656,2.69673,0.101133,4,0
110,1.03855,2.34109,0.0465983,3,84
111,1.01531,2.62545,0.0934903,4,3
112,1.09677,2.43491,0.0537634,3,134
113,1.22924,2.592,0.0925926,4,2
114,1.22093,2.60509,0.0879397,4,111
115,1.18123,2.91587,0.1287,5,1
116,1.12952,2.49818,0.055313,3,101
117,1.20478,2.62364,0.0623701,3,55
118,1.12618,2.84169,0.0932863,4,2
119,1.18269,2.42655,0.0554473,3,141
