session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.15361,3.18956,0.14308,6,0
2,1.15836,2.96109,0.171927,6,0
3,1.1747,3.10569,0.174226,7,0
4,1.04893,3.1446,0.175539,7,0
5,1.08974,2.77055,0.106313,4,0
6,1.21203,3.05551,0.147572,6,0
7,1.14828,2.69018,0.103406,4,0
8,1.23711,2.85455,0.145223,5,0
9,1.17722,2.78291,0.133281,5,0
10,1.08782,2.964,0.168691,6,0
11,1.15634,3.13515,0.164122,6,0
12,1.1864,2.99818,0.172832,6,0
13,1.50606,3.1446,0.175539,7,0
14,1.10473,3.00945,0.181247,7,0
15,1.1461,3.23805,0.190687,7,0
16,1.18182,2.92145,0.152477,6,0
17,1.10567,3.00836,0.184939,7,0
18,1.28302,2.95564,0.156865,6,0
19,1.31597,2.82764,0.128601,5,0
20,1.07553,3.004,0.166445,6,0
21,1.30565,3.24084,0.16898,7,0
22,1.04444,3.36907,0.150567,6,0
23,1.10942,2.96533,0.121648,5,0
24,1.23907,2.86873,0.136899,5,0
25,1.11638,2.87564,0.161229,6,0
26,1.00804,3.14291,0.194377,7,0
27,1.29752,3.10291,0.196883,7,0
28,1.15836,2.91855,0.155744,6,0
29,1.12553,3.19805,0.193072,7,0
30,1.16431,2.904,0.137741,5,0
31,1.1307,2.93927,0.138562,5,0
32,1.15407,2.864,0.139665,5,0
33,1.18721,2.79709,0.124805,5,0
34,1.39205,3.13515,0.164122,6,0
35,1.22054,3.23502,0.155121,6,0
36,1.16987,3.19915,0.189596,7,0
37,1.07353,3.10096,0.160068,6,0
38,1.03261,3.08364,0.182783,6,0
39,1.15017,2.90291,0.127772,5,0
40,1.05643,2.96533,0.121648,5,0
41,1.05946,3.10096,0.160068,6,0
42,1.02326,2.87855,0.157908,6,0
43,1,3.0526,0.150691,6,0
44,1.20438,2.91855,0.155744,6,0
45,1.09792,3.04836,0.182512,7,0
46,1.19534,2.78291,0.133281,5,0
47,1.14198,3.05551,0.147572,6,0
48,1.22973,2.69018,0.103406,4,0
49,1.00786,3.10678,0.170653,7,0
50,1.20462,2.95855,0.153638,6,0
51,1.01072,2.81818,0.12,4,0
52,1.05155,3.09805,0.163152,6,0
53,1.2037,3.0926,0.148742,6,0
54,1.04682,2.97356,0.0902498,4,0
55,1.30952,2.87855,0.157908,6,0
56,1.31056,2.78764,0.130446,5,0
57,1.08571,3.10291,0.196883,7,0
58,1.38571,2.93927,0.138562,5,0
59,1.09476,2.77818,0.136126,5,0
60,1.31579,2.99224,0.137568,5,0
61,1.42955,2.92533,0.123312,5,0
62,1.13625,2.96691,0.165461,6,0
63,1.25,2.91564,0.159017,6,0
64,1.24465,3.24084,0.16898,7,0
65,1.1375,3.1446,0.175539,7,0
66,1.07418,3.13465,0.12807,5,0
67,1.12693,2.964,0.168691,6,0
68,1.22648,2.91855,0.155744,6,0
69,1.28082,2.87855,0.157908,6,0
70,1.23735,2.68364,0.105691,4,0
71,1.1118,2.93927,0.138562,5,0
72,1.11899,3.20024,0.186123,7,0
73,1.09544,3.064,0.195822,7,0
74,1.1264,3.10291,0.196883,7,0
75,1.33866,2.79236,0.127621,5,0
76,1,3.19915,0.189596,7,0
77,1.17401,2.78291,0.133281,5,0
78,1.12462,3.10096,0.160068,6,0
79,1.14613,3.15745,0.210757,7,0
80,1.38486,3.04969,0.153816,6,0
81,1.10423,2.92533,0.123312,5,0
82,1.09366,2.94036,0.148405,5,0
83,1.31361,2.964,0.168691,6,0
84,1.02241,2.62255,0.0665557,3,0
85,1.07283,2.78764,0.130446,5,0
86,1.19403,3.23805,0.190687,7,0
87,1.15522,2.864,0.139665,5,0
88,1,3.00945,0.181247,7,0
89,1.15249,3.04969,0.153816,6,0
90,1.19385,2.91587,0.1287,5,0
91,1.09726,2.86764,0.126807,5,0
92,1.24036,3.00109,0.169635,6,0
93,1.27402,3.04969,0.153816,6,0
94,1.24832,3.14351,0.17907,7,0
95,1.18659,2.87855,0.157908,6,0
96,1.00562,3.00836,0.184939,7,0
97,1.23906,2.91855,0.155744,6,0
98,1.28912,3.00945,0.181247,7,0
99,1.40759,2.96109,0.171927,6,0
100,1.11382,2.78291,0.133281,5,0
101,1.30556,3.10096,0.160068,6,0
102,1.27362,2.92533,0.123312,5,0
103,1.0339,3.04655,0.182024,6,0
104,1.22727,3.05356,0.121944,5,0
105,1.18531,3.14665,0.14792,6,0
106,1.16139,3.20473,0.222399,8,0
107,1.15878,3.14569,0.17201,7,0
108,1.1223,3.18351,0.17682,7,0
109,1.02295,2.87855,0.157908,6,0
110,1.06506,2.96109,0.171927,6,0
111,1.02806,2.99587,0.125263,5,0
112,1.15633,2.92145,0.152477,6,0
113,1.299,3.10569,0.174226,7,0
114,1.25872,2.69018,0.103406,4,0
115,1.37217,3.0126,0.152692,6,0
116,1.14157,2.77673,0.098219,4,0
117,1.22184,2.74327,0.0974284,4,0
118,1.32492,2.70327,0.0988701,4,0
119,1.31731,2.82764,0.128601,5,0
120,1.09172,3.05551,0.147572,6,0
