session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.36022,2.16,0,1,5
2,1.63333,3.024,0,1,6
3,1.23123,3.36,0,1,4
4,1.34877,2.16,0,1,4
5,1.20141,2.16,0,1,3
6,1.09333,2.16,0,1,1
7,1.13948,2.16,0,1,2
8,1.06753,2.16,0,1,1
9,1.62222,2.16,0,1,8
10,1.20037,2.16,0,1,4
11,1.0883,2.16,0,1,2
12,1.2377,2.16,0,1,3
13,1.32134,2.16,0,1,4
14,1.34831,2.16,0,1,3
15,1.11695,2.16,0,1,1
16,1.39737,3.36,0,1,5
17,1.45509,2.16,0,1,4
18,1.24648,2.16,0,1,3
19,1.2792,2.16,0,1,3
20,1.19505,2.16,0,1,1
21,1.13386,2.16,0,1,3
22,1.35246,2.16,0,1,4
23,1.24554,2.16,0,1,5
24,1.33693,2.16,0,1,5
25,1.3588,3.024,0,1,4
26,1.36,3.36,0,1,5
27,1.14183,2.16,0,1,1
28,1.30947,2.16,0,1,5
29,1.0829,2.16,0,1,0
30,1.85811,2.16,0,1,7
31,1.1194,2.16,0,1,1
32,1.33333,2.16,0,1,6
33,1.09651,2.16,0,1,1
34,1.29319,2.16,0,1,4
35,1.51703,2.16,0,1,5
36,1.40573,2.16,0,1,7
37,1.53939,2.16,0,1,5
38,1.35542,2.16,0,1,4
39,1.2982,2.16,0,1,4
40,1.11905,2.16,0,1,1
41,1.25751,2.16,0,1,5
42,1.26471,2.16,0,1,2
43,1.33181,3.36,0,1,4
44,1.11634,2.16,0,1,1
45,1.23481,2.16,0,1,2
46,1.07598,2.16,0,1,1
47,1.44192,2.16,0,1,6
48,1.27128,2.16,0,1,3
49,1.13317,2.16,0,1,2
50,1.20822,2.16,0,1,2
51,1.37265,2.16,0,1,4
52,1.30623,2.16,0,1,3
53,1.11556,2.16,0,1,2
54,1.19284,2.16,0,1,2
55,1.30317,2.16,0,1,4
56,1.18159,2.16,0,1,2
57,1.19382,2.16,0,1,2
58,1.36124,2.16,0,1,6
59,1.21149,2.16,0,1,2
60,1.13184,2.16,0,1,1
61,1.25059,2.16,0,1,3
62,1.44582,2.16,0,1,3
63,1.83673,2.16,0,1,9
64,1.11591,2.16,0,1,2
65,1.5431,3.36,0,1,7
66,1.10468,2.16,0,1,2
67,1.022,2.16,0,1,1
68,1.01987,2.16,0,1,1
69,1.26178,3.36,0,1,3
70,1.25067,2.16,0,1,3
71,1.26269,2.16,0,1,3
72,1.05924,2.16,0,1,1
73,1.19332,2.16,0,1,2
74,1.4132,2.16,0,1,7
75,1.06173,2.16,0,1,1
76,1.38409,2.16,0,1,6
77,1.16595,2.16,0,1,4
78,1.1383,2.16,0,1,1
79,1.375,3.36,0,1,4
80,1.32494,2.16,0,1,4
81,1.16465,2.16,0,1,1
82,1.10204,2.16,0,1,2
83,1.33017,2.16,0,1,6
84,1.04545,2.16,0,1,1
85,1.41205,2.16,0,1,5
86,1.2449,2.16,0,1,3
87,1.25377,2.16,0,1,3
88,1.30056,2.16,0,1,3
89,1.33626,2.16,0,1,2
90,1.12304,2.16,0,1,1
91,1.23145,2.16,0,1,2
92,1.25,2.16,0,1,4
93,1.22691,3.36,0,1,5
94,1.03448,2.16,0,1,1
95,1.17426,2.16,0,1,2
96,1.08861,2.16,0,1,1
97,1.06883,2.16,0,1,1
98,1.45699,2.16,0,1,6
99,1.19222,2.16,0,1,3
100,1.3912,2.16,0,1,4
101,1.5829,2.16,0,1,6
102,1.4893,2.16,0,1,6
103,1.51829,2.16,0,1,5
104,1.59587,2.16,0,1,6
105,1.27461,2.16,0,1,4
106,1.4752,2.16,0,1,7
107,1.29157,2.16,0,1,4
108,1.3641,2.16,0,1,5
109,1.08747,2.16,0,1,1
110,1.22931,2.16,0,1,4
111,1.22927,2.16,0,1,3
112,1.3984,2.16,0,1,5
