session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.10753,2.66909,0.0708447,3,92
2,1.25455,2.76364,0.102632,4,108
3,1.03953,3.3166,0.119399,4,22
4,1.04087,3.02291,0.122699,5,1
5,1.04684,3.5686,0.147957,5,1
6,1,3.53915,0.153298,5,1
7,1.08511,2.52727,0.0820144,4,502
8,1.06753,2.16,0,1,105
9,1.27222,3.55647,0.141509,5,2
10,1,2.79115,0.0969299,4,10
11,1.01437,2.41624,0.023026,2,264
12,1.07377,3.16993,0.128939,5,1
13,1.08483,2.62545,0.0934903,4,3
14,1.10955,3.22315,0.143507,5,1
15,1.06444,2.78545,0.0881201,4,63
16,1.10263,2.49818,0.055313,3,260
17,1.09281,3.22315,0.143507,5,1
18,1.11033,2.52727,0.0820144,4,60
19,1.08832,3.07224,0.133986,5,1
20,1.19505,2.16,0,1,122
21,1,2.48727,0.0833333,4,41
22,1.11202,3.1526,0.142105,5,1
23,1.02772,2.31636,0.0243328,2,225
24,1.08356,2.69405,0.101503,5,1
25,1.15972,2.58545,0.0949367,4,38
26,1.0625,2.96533,0.121648,5,0
27,1.04087,2.52727,0.0820144,4,106
28,1.03233,2.83115,0.0955604,4,2
29,1.0829,2.16,0,1,20
30,1.25,3.61453,0.148492,5,1
31,1.03234,3.22351,0.154772,5,0
32,1.06849,3.49525,0.101124,4,1
33,1.09651,2.16,0,1,187
34,1.05236,3.10751,0.111636,4,0
35,1.25077,2.62545,0.0934903,4,6
36,1.10501,2.74364,0.132538,5,3
37,1.26667,3.79587,0.16209,5,1
38,1.11446,3.08182,0.162832,5,1
39,1.07712,3.65478,0.160388,5,1
40,1.02381,3.1126,0.143931,5,1
41,1.12232,2.74364,0.132538,5,7
42,1.2,2.20364,0.019802,2,68
43,1.16934,3.03491,0.102444,4,229
44,1.05693,2.82364,0.128783,5,8
45,1.11602,2.65273,0.10281,4,3
46,1.03922,2.37273,0.0475096,3,63
47,1.01515,3.14678,0.135434,5,0
48,1.02128,3.79587,0.16209,5,0
49,1.07286,2.20364,0.019802,2,145
50,1.08767,2.63273,0.118785,5,1
51,1.16354,2.53382,0.0796498,4,12
52,1.18157,3.79587,0.16209,5,1
53,1.02667,2.55455,0.0918149,4,25
54,1.05785,3.79587,0.16209,5,1
55,1.18326,3.71224,0.175537,5,7
56,1.05627,2.9206,0.126002,5,2
57,1.01124,3.83224,0.170041,5,0
58,1.04067,3.74265,0.150015,5,1
59,1.10183,2.59636,0.106443,5,4
60,1.01493,3.18787,0.142814,5,0
61,1.04728,3.64496,0.154834,5,1
62,1.3096,2.38909,0.0707763,4,38
63,1.30904,3.38629,0.155064,5,3
64,1.00227,2.72387,0.0893113,4,6
65,1.13218,3.07224,0.133986,5,2
66,1.03341,2.55733,0.0534649,3,5
67,1.022,2.16,0,1,299
68,1,2.28655,0.023855,2,231
69,1.17801,2.84969,0.111272,5,2
70,1.056,3.83224,0.170041,5,0
71,1.0597,3.64496,0.154834,5,0
72,1.05213,2.27636,0.0247604,2,62
73,1.15752,3.22678,0.132076,5,1
74,1.01711,2.67673,0.116832,5,0
75,1.03951,2.32545,0.028147,2,266
76,1.12045,2.72387,0.0893113,4,113
77,1.01509,2.54182,0.0321888,2,419
78,1.07447,2.52727,0.0820144,4,24
79,1.06915,2.75455,0.0778878,3,22
80,1,3.1126,0.143931,5,0
81,1.10169,2.38909,0.0707763,4,8
82,1,2.74327,0.0974284,4,43
83,1.02613,3.4766,0.113904,4,3
84,1,2.27636,0.0247604,2,690
85,1.26506,2.38909,0.0707763,4,202
86,1.20408,2.34909,0.0294118,2,1151
87,1.03266,2.84496,0.114013,5,1
88,1.08146,3.10751,0.111636,4,1
89,1.14912,3.18315,0.145311,5,0
90,1.10209,3.10751,0.111636,4,1
91,1.04451,2.99696,0.134924,5,0
92,1.05435,2.56109,0.105069,5,9
93,1.02209,2.49382,0.0809274,4,1036
94,1,2.28655,0.023855,2,74
95,1.03753,2.672,0.0898204,4,6
96,1,3.1126,0.143931,5,0
97,1.03239,2.45818,0.056213,3,53
98,1.1129,2.592,0.0925926,4,71
99,1.0216,2.48727,0.0833333,4,62
100,1.19213,2.31636,0.0243328,2,47
101,1.20984,3.58775,0.164601,5,2
102,1.16043,3.26824,0.150429,5,2
103,1.19512,2.97382,0.141844,5,1
104,1.26844,3.70629,0.141676,5,2
105,1.0285,3.64496,0.154834,5,1
106,1.03133,3.64496,0.154834,5,0
107,1.2574,2.89964,0.0702282,3,1664
108,1.08974,2.99455,0.0716454,3,63
109,1.03546,2.80969,0.112856,5,11
110,1,3.10182,0.103751,4,9
111,1.08293,3.64496,0.154834,5,0
112,1.01604,3.64496,0.154834,5,0
113,1.05339,3.64496,0.154834,5,4
114,1.10951,3.15636,0.163594,5,0
115,1.14684,2.16,0,1,167
116,1,2.46655,0.0545481,3,3
117,1,3.78775,0.155909,5,0
118,1.05556,3.79587,0.16209,5,0
119,1.08586,2.28655,0.023855,2,155
120,1.07989,3.01018,0.152211,5,1
121,1.11898,2.65273,0.10281,4,2
122,1.01299,3.64496,0.154834,5,0
123,1.04803,3.45333,0.15079,5,1
124,1.1016,2.88496,0.112432,5,1
125,1.21557,3.12024,0.10244,4,202
126,1.10084,2.52873,0.0603969,3,853
127,1.04157,2.49382,0.0809274,4,8
128,1.13802,3.18315,0.145311,5,1
129,1.03704,3.64496,0.154834,5,0
130,1.14583,3.18787,0.142814,5,1
131,1.16406,2.94738,0.106597,5,4
132,1.056,2.38909,0.0707763,4,264
133,1.05141,2.62569,0.0781093,4,5
134,1.04416,3.89356,0.157276,5,0
135,1,2.33273,0.0483242,3,1272
136,1.02564,2.36945,0.0276243,2,1161
137,1.09051,2.62545,0.0934903,4,215
138,1.03912,2.78909,0.0677966,3,55
139,1.01681,2.41818,0.0571429,3,910
140,1.11078,3.22315,0.143507,5,1
141,1.06477,2.42909,0.0284431,2,204
142,1.12527,2.65951,0.0582473,3,455
143,1.07552,2.16,0,1,63
144,1.05227,2.62569,0.0781093,4,21
145,1.13904,2.672,0.11976,5,4
146,1.01504,3.18315,0.145311,5,0
147,1.08309,2.58545,0.0949367,4,3
148,1.05707,3.10751,0.111636,4,1
149,1.28652,2.31636,0.0243328,2,68
150,1.03835,3.89356,0.157276,5,0
151,1.01044,2.31636,0.0243328,2,94
152,1.06573,2.95587,0.126958,5,3
153,1.11944,2.16,0,1,277
154,1.10227,2.16,0,1,578
155,1.0098,3.30678,0.128881,5,2
156,1.07013,2.37273,0.0475096,3,140
157,1.09052,2.38909,0.0707763,4,3978
158,1,2.69927,0.0990166,4,7
159,1.00924,2.16,0,1,105
160,1.18304,2.77673,0.098219,4,233
161,1.0281,3.55647,0.141509,5,0
162,1.0339,3.83224,0.170041,5,0
163,1.04865,3.1726,0.124819,4,1
164,1.21944,2.62545,0.0934903,4,6
165,1.03646,3.83224,0.170041,5,1
166,1.02005,2.16,0,1,142
167,1.05738,3.30351,0.151024,5,0
168,1.07627,2.16,0,1,33
169,1.02667,2.92956,0.0916053,4,2
170,1.03535,2.66545,0.0920873,4,3
171,1.03643,2.33273,0.0483242,3,743
172,1.08763,3.53915,0.153298,5,1
173,1.12104,3.24569,0.118647,4,1
174,1.11472,2.78545,0.0881201,4,610
175,1.16923,2.63224,0.0758429,4,369
176,1.0463,2.16,0,1,85
177,1.07612,2.63273,0.118785,5,14
178,1.1619,2.31636,0.0243328,2,831
179,1.11321,2.97491,0.151571,5,1
180,1.06186,3.72798,0.135779,4,6
181,1,2.38909,0.0707763,4,186
182,1.1371,2.92533,0.123312,5,1
183,1.00228,2.55455,0.0918149,4,21
184,1.14912,2.42909,0.0696108,4,691
185,1.14706,3.64496,0.154834,5,1
186,1.03823,2.84496,0.114013,5,31
187,1.03325,2.33273,0.0483242,3,238
188,1.05444,3.59175,0.142144,5,0
189,1.01272,3.83224,0.170041,5,0
190,1.03351,3.1126,0.143931,5,1
191,1.06479,3.43647,0.14645,5,1
192,1.14286,2.76727,0.0749014,3,150
193,1.10298,2.16,0,1,271
194,1.01606,2.62569,0.0781093,4,8
195,1.06965,3.53805,0.145123,5,1
196,1.17839,2.47187,0.0450156,3,21
197,1.05913,3.64496,0.154834,5,0
198,1.00225,2.38909,0.0707763,4,273
199,1.20896,2.92133,0.123481,5,1
200,1.04822,2.82764,0.128601,5,1
201,1.02546,2.89018,0.0962506,4,56
202,1.15534,2.38909,0.0707763,4,223
203,1.07865,3.1126,0.143931,5,1
204,1.13333,2.88605,0.12247,5,2
205,1.04782,2.54364,0.0643317,3,1304
206,1.06425,2.37273,0.0475096,3,16
207,1.08,2.99587,0.125263,5,2
208,1.12536,3.33878,0.151607,5,1
209,1.04775,2.43491,0.0537634,3,32
210,1.19956,2.61551,0.0592271,3,224
211,1.07103,2.65951,0.0582473,3,36
212,1.04798,3.22315,0.143507,5,1
213,1.04119,2.34109,0.0465983,3,98
214,1,2.72278,0.0595647,3,16
215,1.08122,2.99696,0.134924,5,1
216,1.07752,2.49818,0.055313,3,72
217,1.07709,2.34909,0.0294118,2,1034
218,1.00821,2.59733,0.0526415,3,8
219,1.1054,2.92133,0.123481,5,1
220,1.0984,3.64496,0.154834,5,1
221,1.05336,3.22315,0.143507,5,1
222,1.01222,3.75951,0.153985,5,1
223,1.05316,2.65273,0.10281,4,38
224,1.11294,2.9606,0.124299,5,1
225,1.11346,3.57502,0.110158,4,1
226,1.16171,2.41624,0.023026,2,1148
227,1.25307,2.98182,0.107927,4,42
228,1.0348,2.99696,0.134924,5,0
229,1.10407,2.74364,0.132538,5,4
230,1.01121,3.11733,0.14138,5,0
231,1.09115,2.56109,0.105069,5,10
232,1.15405,3.70629,0.141676,5,1
233,1.03342,2.80387,0.0867631,4,4
234,1.06532,3.03151,0.138185,5,3
235,1.01546,3.22351,0.154772,5,0
236,1.22222,2.89455,0.143216,5,1
237,1.03472,2.33273,0.0483242,3,77
238,1.03922,2.712,0.0589971,3,50
239,1.19424,3.16036,0.163387,5,1
240,1.08951,2.33273,0.0483242,3,382
241,1.04598,2.672,0.11976,5,29
242,1.05612,3.83224,0.170041,5,1
243,1.07727,2.82205,0.0997339,4,15
244,1.0331,3.22824,0.152293,5,0
245,1.03672,3.64496,0.154834,5,0
246,1,2.62545,0.0934903,4,18
247,1.04817,3.8572,0.149331,5,0
248,1.06863,3.10315,0.149057,5,1
249,1.01985,3.79587,0.16209,5,0
250,1.15686,2.34909,0.0294118,2,295
251,1.02579,3.89356,0.157276,5,0
252,1.22995,2.85927,0.142439,5,1
253,1.07615,2.44545,0.0921933,5,54
254,1.01923,3.64496,0.154834,5,1
255,1.02434,2.67673,0.116832,5,23
256,1.05852,2.80969,0.112856,5,1
257,1,2.48727,0.0833333,4,417
258,1.04918,2.33273,0.0483242,3,646
259,1.05882,2.38909,0.0707763,4,4
260,1,3.49405,0.146951,5,0
261,1.24533,2.66569,0.0769372,4,14
262,1.03563,3.11587,0.120439,5,1
263,1.16718,3.62265,0.154984,5,1
264,1.02646,3.99125,0.152697,5,1
265,1.0651,3.37405,0.152177,5,1
266,1.11957,2.9206,0.126002,5,1
267,1.11579,3.08291,0.139774,4,27
268,1.05204,3.78775,0.155909,5,2
269,1.17889,2.49818,0.055313,3,82
270,1.11893,2.16,0,1,54
271,1.08721,3.89356,0.157276,5,1
272,1.1691,2.80387,0.0867631,4,4
273,1.12154,2.72364,0.104139,4,1980
274,1.07417,3.18424,0.154397,5,1
275,1.12299,3.14678,0.135434,5,1
276,1.0429,3.79587,0.16209,5,0
277,1.05394,2.48727,0.0833333,4,178
